,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.2635972499847412,1.5890146493911743,1.0111708641052246,1.0914769172668457,1.0000001192092896,1.1490670442581177,1.4515414237976074,1.2533817291259766,1.3787579536437988,1.0142090320587158,1.2000868320465088,1.291935920715332,1.3363733291625977,1.0000001192092896,1.3464628458023071,1.0095398426055908,1.08638334274292,1.0070778131484983,1.000000238418579,1.0000003576278689,1.000000238418579,1.000000238418579,1.0602517127990725,1.0,1.3245174884796145,1.0000001192092896,1.0000001192092896,1.0,1.0103436708450315,1.002389669418335,1.2933759689331057,1.0
batch_metrics_ASW_batch,0.6523914337158203,0.9064173698425292,0.9722511768341064,0.8701164126396179,0.9426203966140748,0.6789857149124146,0.9280173778533936,0.858947217464447,0.940065860748291,0.9153876304626464,0.9279890060424804,0.9550407528877258,0.9299728274345398,0.9469707012176514,0.8145084977149963,0.9379726648330688,0.8794490098953247,0.870680570602417,0.9021550416946412,0.8661935925483704,0.7497224807739258,0.8080917596817017,0.6414803266525269,0.9150066375732422,0.3065196275711059,0.9238039255142212,0.7011675834655762,0.8141600489616394,0.5947777032852173,0.8873672485351562,0.7452062368392944,0.9078363180160522,0.4665488600730896
batch_metrics_PCR_comparison,0.0,0.9623820038096464,0.9427394676109712,0.4354501208353349,0.8469674145760847,0.0,0.5203789026932176,0.8644797129298163,0.5235940455348547,0.7291631700800053,0.3565398649404667,0.8052194575039513,0.6540133989200866,0.9462505378880918,0.9910577001130046,0.8378224376342941,0.0819692876577777,0.8328140902141133,0.9993997278687212,0.0,0.0,0.7806699434918095,0.0,0.8956551016330023,0.0,0.9132115784170068,0.0,0.9999990022537084,0.0,0.3649887908225446,0.4105287961289812,0.9302319729810584,0.0
batch_metrics_kBET,0.0004207935867933,0.1903631618468863,0.3221235112342745,0.0087733677633565,0.1619148760764489,0.0044709997859799,0.176642555301562,0.1737264839202873,0.2094806233498089,0.2638593244679711,0.0325959361344522,0.2492478892768158,0.2453679454051469,0.3403945419541611,0.0040451569148605,0.3637365955292617,0.0187693680347286,0.0824096809011578,0.0173179716049087,0.0048192657457145,0.1340981899966563,0.0285296761443566,0.0194361997373637,0.1717391434459611,0.0,0.4176719396459775,0.009089896041229,0.1189538525881988,0.0001008815495406,0.0452596730922965,0.1769681152868911,0.2672155587697791,0.0002383102898318
batch_metrics_graph_connectivity,0.573572072344962,0.7979894930643125,0.6017733076627161,0.8063619506859233,0.4237521004316331,0.5618518613370659,0.6059976818684476,0.7370195882963285,0.474555520794382,0.3841566633123324,0.5713963687843691,0.5245586797036192,0.6777147003058344,0.391636545893774,0.7540621087940612,0.5620393629337062,0.7597106342222075,0.7917628194029943,0.7563860793838002,0.583579013131898,0.3541339796894189,0.7351044742683333,0.749942313130394,0.7121013715674628,0.496749501040457,0.4060445789433117,0.5365068060822163,0.784517966480442,0.5697772069227229,0.7462672361889933,0.7384853068176999,0.6014372357755778,0.5898709553376483
bio_metrics_ARI_kmeans,0.2997736606684707,0.4022982987344105,0.1166830058905313,0.4673921293342378,0.1166578951672173,0.0616779423123319,0.1183310329380579,0.1114247286404261,0.0386512800234136,0.0784723972947161,0.1324786248498255,0.2215201724323098,0.2307267684216047,0.2381817952287373,0.4807950911829479,0.2017321357421004,0.3225362971242104,0.4676323702834882,0.3248726422494304,0.2669631510180634,0.1782085710705634,0.4516935742373132,0.2564068302764326,0.3347213716181927,0.3797396677800611,0.1188880178116857,0.288049918119262,0.395025852561166,0.3930592765837506,0.5168719888905108,0.4784775625064338,0.23835426172763,0.3635535889988531
bio_metrics_ARI_mclust,0.4496319521278483,0.4004930625871793,0.1415670036078049,0.5736892104649594,0.182325782040726,0.0700162932866935,0.1260005947728681,0.1041717285137519,0.0305217392377389,0.0604535858964082,0.164236418682045,0.1815948685597238,0.1868572295864068,0.2380119494468856,0.5614013909296706,0.1545889526192768,0.4915405542633944,0.5980535160653063,0.4871952875686498,0.1931328183588213,0.1720601315458866,0.4660500245755286,0.2064562162584611,0.2684809558297779,0.3637738020983622,0.1789606268307101,0.2810808599283328,0.5567583722228133,0.4342599277512637,0.5663063118783702,0.4800816083824088,0.1963872826906471,0.3553028987742456
bio_metrics_ARI_leiden,0.4063632962192559,0.5160454559417451,0.1557393015937405,0.4229838859415682,0.1297735534878834,0.0717691611005202,0.1710142162969731,0.1186449993305903,0.0427862547532357,0.0577466153893805,0.1332010814362813,0.2383002937713781,0.2467082948078751,0.2318625820587785,0.4547725761226132,0.1816790906373084,0.4388532521953559,0.4509647275472103,0.3932425165344024,0.1724413134427998,0.2226509971574594,0.3033927204093291,0.2727607231863551,0.2547893944003593,0.3921234325114531,0.1803572902001312,0.2169603365233742,0.3953206000274508,0.3604173336129866,0.2615059586311663,0.5462522338620324,0.2495243794044851,0.3593252506832087
bio_metrics_NMI_kmeans,0.4476022160742309,0.509376146576558,0.1852731205576632,0.534881312470887,0.1604802110758037,0.1090711405839634,0.1699630503994539,0.2056336158584865,0.0557799909346096,0.1182312017591911,0.2100892625090308,0.2777792712040379,0.2682447546355989,0.2672754926763935,0.5913195386542375,0.2423057867807391,0.4438243811145269,0.578853113546597,0.4180254497911128,0.3625186550253569,0.2828309333051702,0.5657936804422661,0.4229090716816181,0.4299029716608326,0.5429441231412617,0.1786553987887721,0.4730576947722182,0.5183851556195744,0.5550042249648628,0.5975451979259145,0.608995581751239,0.302989739735337,0.5173750812441658
bio_metrics_NMI_mclust,0.5692721980387109,0.5491455169607609,0.2249641296487277,0.6147678275531403,0.1936279347196712,0.1133315309153922,0.1906519806432561,0.233469712943249,0.0563359109968622,0.0949179572192288,0.2361449685232999,0.2323470899720269,0.2619209625601708,0.2603647651652468,0.6008077111043486,0.215186718400851,0.5900019658492301,0.6608021930774661,0.5279043856040013,0.2891301023637707,0.2736498965299824,0.5824205391269491,0.2958960272368028,0.3512570244094928,0.5343036755580767,0.2230216146215048,0.4566309313986179,0.6221086473659997,0.5818880616275922,0.6502346291154408,0.6153468305483593,0.2595232319690916,0.5139684700076171
