,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.000000238418579,1.9273897409439087,2.4731996059417725,1.5767313241958618,2.227733612060547,1.4181602001190186,1.98534905910492,2.001303672790528,2.310434103012085,2.328531265258789,2.0074195861816406,2.118818521499634,2.191655158996582,2.0987706184387207,1.0000001192092896,1.923117756843567,2.2923789024353027,1.434743046760559,1.4391480684280396,1.9428671598434448,1.7377690076828003,1.6634390354156494,2.0543816089630127,1.0,2.4109115600585938,1.3440128564834597,1.4336541891098022,2.2308335304260254,1.0000005960464478,1.0636298656463623,1.410446286201477,1.0050796270370483,1.656191110610962,2.151442527770996,2.2779128551483154,1.9880634546279907
batch_metrics_ASW_batch,0.8295266628265381,0.9323838949203492,0.9873819351196288,0.9557639956474304,0.9759477376937866,0.8592774271965027,0.9611064195632936,0.9403839111328124,0.9603052139282228,0.9473958015441896,0.9719796776771544,0.9674431681632996,0.9642189145088196,0.9708590507507324,0.8534682393074036,0.9164124727249146,0.9430719614028932,0.9430769681930542,0.9217267632484436,0.9637384414672852,0.961494505405426,0.5888597369194031,0.9201905727386476,0.5520155429840088,0.9612841606140136,0.9242005944252014,0.7624491453170776,0.9540232419967652,0.8427944183349609,0.8998154401779175,0.9312912225723268,0.8933348655700684,0.9541130065917968,0.8679889440536499,0.9675838351249696,0.8746834993362427
batch_metrics_PCR_comparison,0.0,0.9081123576775098,0.989611954505144,0.6370846550499271,0.9219811845238242,0.0,0.0519298237893843,0.951887011043595,0.7731725948209375,0.6897387184863699,0.3602311639126168,0.8351860878168156,0.2410426022332065,0.9840496454581118,0.0,0.946736979735268,0.9394550474420164,0.3668902340928396,0.0,0.9962368881314748,0.0,0.0,0.9902939939588776,0.0,0.9356846282715358,0.0,0.0,0.9572696788172054,0.0,0.0,0.999999465454922,0.0,0.0,0.6477217853279007,0.9738704775225238,0.0
batch_metrics_kBET,0.0,0.222284490673425,0.5972326571874675,0.1180736647880942,0.5245504056574023,0.0739517680576767,0.2463393205559284,0.3198496053842502,0.4281975517684727,0.4305697003932772,0.2308056893423588,0.4146093821862395,0.3485560162488084,0.5296769759984685,0.0023315326640715,0.2882873043116783,0.4155777416312366,0.1241415287018984,0.0906055621452131,0.3582867401193006,0.1483740384725371,0.0001901743264659,0.2910736632712993,0.0,0.4770948209119482,0.0515360564818043,0.0172241565317687,0.5803156306635909,0.0291353141094184,0.0033514105526159,0.1577580436011762,0.0,0.0850738647645991,0.3939110703977613,0.6097874157808669,0.2274272048102774
batch_metrics_graph_connectivity,0.8103815211048013,0.9581737179898856,0.6130181849596534,0.9801283687834856,0.2625876682529774,0.5543002235465446,0.5424307339355692,0.9486219277767648,0.4258660348260625,0.2126138649546857,0.606326718982124,0.5238314619938629,0.6909767959561279,0.3017410860817852,0.820312812066796,0.8998859211038355,0.5647780014384528,0.9120689924237836,0.9644681677015776,0.9042784704738164,0.59400899914769,0.2791982220172475,0.8378384237174612,0.4451377965027884,0.7847138605667672,0.7261285415901224,0.7240827078079666,0.4084789885080245,0.7605482651849214,0.9402995414881736,0.95548676432032,0.7896946001682064,0.8794219311490896,0.950467332098594,0.697313970763104,0.9090557932878116
bio_metrics_ARI_kmeans,0.2735443240386964,0.5012141180583486,0.1933169840769016,0.5477173060249354,0.2445177398306613,0.0109304623349173,0.1160693344662261,0.5076346482212283,0.0135963538503949,0.0283387480077703,0.1747125859232708,0.2418980641491483,0.2447050858417756,0.2497664816798731,0.2650438999258861,0.4490604560409705,0.1286449945462006,0.2780174127193623,0.3994651237956416,0.3076059419394275,0.2885134764745761,0.1258756623920928,0.4390669779070975,0.0365998526210955,0.2667253490558608,0.2389155660072182,0.409732630584908,0.2418517041226371,0.3730240988832508,0.2865831184823493,0.5670937938869032,0.336529346832485,0.5100585569199557,0.4328439213140848,0.2757770990850918,0.5841282174861487
bio_metrics_ARI_mclust,0.3784997087588709,0.6444963346544953,0.1764329207356257,0.6037436035822339,0.1680653519170071,0.0107948854369004,0.121128550322481,0.6013469047125007,0.0204897448540657,0.0291269520305541,0.2147458206542345,0.2262202610555455,0.258054286215798,0.2408568531513371,0.3890647344447405,0.4691785408184015,0.2222649306485706,0.4364376867367372,0.6536407028805346,0.4245638968875506,0.2688124254741513,0.1262972284063171,0.4512422874751686,0.1172995058640415,0.2690919913619869,0.1903709867768183,0.3551905996839943,0.1731399897975246,0.3894597788180718,0.6221656915756144,0.5817131183862263,0.2913952298821103,0.5616264102507242,0.613808688476835,0.2623018409240679,0.5876742481860237
bio_metrics_ARI_leiden,0.315510227931682,0.6807669417011075,0.2401266987277273,0.6196608697350986,0.2303643124902339,0.0551205246985433,0.2202116339092687,0.5566395360293828,0.017751061522392,0.0185627592762192,0.2155818275726428,0.2435118809844821,0.241554529374413,0.2408859527928342,0.2304887551482726,0.5370435051213414,0.2409951237614768,0.4876938147644752,0.5998938458436834,0.4259364469846662,0.2514416807740969,0.1384664444365795,0.2648177884426049,0.0510854892820162,0.2468680823918417,0.2829919534964455,0.3124429620560157,0.2459714143564758,0.3062800414138979,0.3558398833324552,0.5727298726995165,0.3898097725256954,0.2532518794805602,0.6002415079591592,0.2483180500606752,0.441604313874347
bio_metrics_NMI_kmeans,0.3852605565017275,0.6225446225075281,0.2263645775033498,0.5751750269092503,0.2604285211348125,0.0191606071809163,0.1853670435449085,0.5297570201446693,0.0231080703916335,0.0651202996248776,0.2076428136480055,0.2837605332505516,0.2761258598412733,0.2631771115229637,0.4245390803755781,0.5866293679499073,0.2349002417577678,0.4154668741956273,0.5113615346743882,0.4311246973616272,0.3002604159214821,0.1993028027040391,0.5004961518647891,0.0679924017111351,0.3085641591511697,0.296769289379475,0.5354789938717659,0.2529462038087022,0.490943654618276,0.3776711042600789,0.5903691260177849,0.424674956854453,0.5041189440115641,0.5981747669047223,0.2931289126390777,0.6005506968740204
bio_metrics_NMI_mclust,0.4989220716984633,0.659176875088613,0.2685244296395234,0.6117564866251578,0.2548217224237192,0.0150652010607365,0.2079857362314706,0.6255364412424839,0.0243302253145524,0.0631931634967828,0.244078543561164,0.2150037055288036,0.2793119867474721,0.2532129450350647,0.5194868235781174,0.5959825221489155,0.2259221883378676,0.5382885696111508,0.6704714452665522,0.5512555589003908,0.2873686008564705,0.1997635128896105,0.5329238925589402,0.1562331194711536,0.3627667434674254,0.314220921983554,0.5392711386595923,0.2478147663560341,0.5218112709140558,0.6015941137311516,0.6607179702221939,0.4685801320579437,0.5820504187613124,0.6726103243416411,0.3019419731445245,0.6153831661146952
bio_metrics_NMI_leiden,0.4331799348731337,0.6972620696833848,0.2483923659938227,0.6366796769051828,0.2418154165474761,0.0868017173598822,0.2051652616646264,0.5875154789001498,0.0283446403603478,0.0513154265094895,0.2385668945750643,0.2601948002911098,0.2579224196277265,0.2538735715977877,0.4119699946822071,0.6241729324516874,0.2558484498397168,0.5403564692372514,0.6432479776392609,0.4970263335650381,0.2646634897717225,0.1345165818850771,0.3374292822152411,0.1074722789103525,0.2637990609426025,0.40248772484197,0.4650397632301878,0.2573465922009755,0.460376286825235,0.4724005517757024,0.6165111633997027,0.5149330906040787,0.2883971309465254,0.6536755207497733,0.2638512197406735,0.5892589232362619
bio_metrics_cLISI,0.9902082085609436,0.99571031332016,0.8056287169456482,0.9771838188171388,0.799940288066864,0.7380618453025818,0.7821234464645386,0.9749640226364136,0.640934944152832,0.7188719511032104,0.7833524346351624,0.83901447057724,0.8505431413650513,0.834966242313385,0.9975117444992064,0.9802393913269044,0.8285332918167114,0.9654558897018432,0.9833760857582092,0.9602106809616088,0.8450499773025513,0.687842071056366,0.988281548023224,0.9333691000938416,0.9333155751228333,0.9193018078804016,0.9742251038551332,0.7742332816123962,0.9817463755607604,0.972452998161316,0.9916566014289856,0.9904220700263976,0.9823015928268432,0.998554229736328,0.9485149383544922,0.9627402424812316
bio_metrics_isolated_labels,0.5488665103912354,0.5698956251144409,0.4998213052749634,0.5246874094009399,0.4781978726387024,0.4697474539279938,0.4922152161598205,0.5556659698486328,0.4795651137828827,0.4728331565856933,0.4997244477272033,0.4949382245540619,0.5085679888725281,0.4933194518089294,0.5526444315910339,0.5779892802238464,0.4970472455024719,0.5320329070091248,0.5527232885360718,0.5320324301719666,0.5043448209762573,0.4561441540718078,0.5608614683151245,0.4872252345085144,0.5092077851295471,0.5170503258705139,0.5545139908790588,0.4802041351795196,0.5284874439239502,0.5428287982940674,0.5612941384315491,0.5286819934844971,0.5439165234565735,0.6131552457809448,0.5282222032546997,0.6134301424026489
bio_metrics_ASW_label,0.5500460267066956,0.563007116317749,0.4995234906673431,0.5317366123199463,0.4847829639911651,0.4642000496387481,0.4935738742351532,0.5744513869285583,0.4756898581981659,0.4636963605880737,0.4997678101062774,0.4938620328903198,0.5085851550102234,0.49810391664505,0.5509280562400818,0.5963178277015686,0.492974042892456,0.5341856479644775,0.5533024072647095,0.5328109264373779,0.5107086896896362,0.4579314589500427,0.5957123637199402,0.4774006009101867,0.5109488368034363,0.5283811092376709,0.5681168437004089,0.4862541258335113,0.5331799983978271,0.5473886728286743,0.5704147219657898,0.5164835453033447,0.547022819519043,0.6042343378067017,0.5346011519432068,0.6352535486221313
spatial_metrics_moran_i_mean,0.2618878978935475,0.2851259274682203,0.0512977750936502,0.0777569150722117,0.0225195795341514,0.0444473100423628,0.0216750702190363,0.0715299701487989,0.0112180617395223,0.0137747878740846,0.0254584725116373,0.0272811440947506,0.0925746608582633,0.0265666364819982,0.1988152032407286,0.0846292992407426,0.0681952676987443,0.1689191878176053,0.2368933899061749,0.1790555508356857,0.1179618893631077,0.0642910780741243,0.3788424521436901,0.2086188888102602,0.1330088797075951,0.2689848735675438,0.3435578812394919,0.0404980625181781,0.101043895062629,0.1313329570817882,0.1326650304125543,0.1830183118081859,0.2523835540044464,0.1319205626168063,0.0948106372228246,0.0637767334575844
