,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.4629327878228759,0.1609948376820974,0.4436986127215903,0.1462122243381386,0.1554895805301566,0.1790270605160387,0.2919494506631637,0.1473027320831725,0.1193374108836373,0.1494950937672707,0.2110476493071111,0.2014270914008704,0.176744496810984,0.4837678585531534,0.199250029656803,0.4582078769265346,0.3383930522569575,0.2432897842570591,0.2257407248007797,0.3345555827300665,0.298367329383242,0.0308039074124558,0.1763769774744551,0.404737005170089,0.3935116201526158,0.0340554937921449,0.2453265009271845,0.308832773602986
bio_metrics_cLISI,0.9696809649467468,0.8226897120475769,0.9455072283744812,0.7914214134216309,0.818225085735321,0.8064399361610413,0.8962103724479675,0.809482753276825,0.7711353898048401,0.8101404309272766,0.849282443523407,0.8651345372200012,0.823291003704071,0.9651209712028505,0.821722686290741,0.969825565814972,0.9394590854644777,0.8724806904792786,0.7791754603385925,0.9148554801940918,0.9279184937477112,0.6733620762825012,0.7865416407585144,0.9903029799461364,0.9671497344970704,0.7296249270439148,0.9137150645256042,0.906728744506836
bio_metrics_isolated_labels,0.5183653235435486,0.4968464076519012,0.4905414879322052,0.4673463404178619,0.4674038589000702,0.4792623221874237,0.4931768774986267,0.4860437214374542,0.3965940177440643,0.4877951443195343,0.4858326911926269,0.494886189699173,0.4735119044780731,0.5208431482315063,0.4785391092300415,0.5044937133789062,0.5015612840652466,0.4947490692138672,0.4086184799671173,0.4924370944499969,0.502566933631897,0.4556808769702911,0.4306904077529907,0.5354843139648438,0.5199038982391357,0.4094444811344147,0.4847580194473266,0.51142418384552
bio_metrics_ASW_label,0.4958374202251434,0.4879236817359924,0.4820908010005951,0.4653322994709015,0.4603674411773681,0.470569759607315,0.4814941883087158,0.480916678905487,0.3856998682022095,0.4820916056632995,0.4775416851043701,0.483584851026535,0.4695099592208862,0.5110859870910645,0.4572533369064331,0.4949027001857757,0.4884298741817474,0.484849065542221,0.3914046287536621,0.484304130077362,0.4922349750995636,0.4425971210002899,0.4079594612121582,0.4910650253295898,0.5049864649772644,0.3932241201400757,0.4775629639625549,0.504214882850647
spatial_metrics_moran_i_mean,0.8450486572355329,0.1805126698439586,0.5515808695819642,0.1084910369715208,0.1428097714898809,0.141757951985647,0.6444103171316821,0.0918364864658745,0.0820699055695851,0.1233518153203646,0.1419216208141478,0.3854695112267372,0.1353968025621858,0.5562312262883884,0.2774664546595785,0.8493219850025744,0.6702134551100344,0.3199734913659435,0.4255342260689444,0.3671238469915364,0.52381647809172,0.6033247133937002,0.2685367033097828,0.5570628256112955,0.7249191405125348,0.5323745251283489,0.4102312891303372,0.6296778118672667
spatial_metrics_moran_i_std,0.0150278333278032,0.0328433074252774,0.0091298640802711,0.0101800861094844,0.0136398109368263,0.0170324107822862,0.0042904961459842,0.0112970290833819,0.0139872601866971,0.0154967987125344,0.0157176745531943,0.0432464255143052,0.0161151729387676,0.00865934801722,0.037300612091106,0.0131776068907835,0.0227807328987139,0.0290152319299831,0.0340203054351442,0.0375695152309905,0.0397167800016579,0.0123687477042909,0.0304291017092324,0.0152049773149633,0.0293375240977498,0.0127906311801515,0.0211071640215766,0.0280797403005098
spatial_metrics_greay_c_mean,0.1555249519214775,0.8198391159018301,0.4534557335913616,0.8914538377304587,0.8576452847881739,0.8601895326881526,0.3656458486576193,0.907488596231926,0.919051673302699,0.8765654421975131,0.8579370323438964,0.6167694781476544,0.8627061925207162,0.4462465665318642,0.7236139844749973,0.1489022860552512,0.3294358408762458,0.6807639781683305,0.4975099551358397,0.6319783091355542,0.4799167618688942,0.3966834461766017,0.7381896282565001,0.4405258441998924,0.2784916272270507,0.4677634559733581,0.5909440683399507,0.3713466656034644
spatial_metrics_greay_c_std,0.0151400671480103,0.0328481321186689,0.0092178655814554,0.0107366062778161,0.0136311828276124,0.0174864078249147,0.0037867756522025,0.0116626560690487,0.0136908970368063,0.0157629844584381,0.0166976656030486,0.0436263685077841,0.0171057395057903,0.0074562675657839,0.0376391352514768,0.0124021979091789,0.0222262952138908,0.0297261341848077,0.0127140764929832,0.037448193893575,0.0395214286257287,0.01231848903013,0.0304611076637565,0.0151349307323809,0.0293606498626923,0.012384575034882,0.0225678033983138,0.0276869784010203
downstream_metrics_CHAOS_kmeans_mean,0.0075786593370139,0.0132055194117128,0.0079524298198521,0.0123070920817554,0.0137109654024243,0.0123069393448531,0.0080974341835826,0.0131411892361938,0.0131683968938887,0.0134405987337231,0.0123254605568945,0.0115354950539767,0.0121329501271247,0.0071230016183108,0.0120927765965461,0.0079237355384975,0.008906775387004,0.0109936408698558,0.0089029853697866,0.0098650446161627,0.0097307758405804,0.0090401354245841,0.0120187392458319,0.0068268626928329,0.0086269732564687,0.0071503049694001,0.0108196744695305,0.0074546583928167
downstream_metrics_CHAOS_kmeans_std,0.0010128733702003,0.0019956701435148,0.0009496235288679,0.0018187989480793,0.0019190041348338,0.0017853160388767,0.0009956799913197,0.001886851619929,0.0020188246853649,0.0018381113186478,0.001905329991132,0.0017028436996042,0.0018040845170617,0.0008304857183247,0.0018371017649769,0.0010117960628122,0.0013143315445631,0.001521011814475,0.0011990268249064,0.0013698292896151,0.0013391291722655,0.0010329545475542,0.0018051005899906,0.0007306332699954,0.0012433370575308,0.0009381207637488,0.0015659844502806,0.0010149623267352
downstream_metrics_PAS_kmeans_mean,0.1990200580959171,0.8172719530378605,0.2852185478390182,0.7694179895198492,0.8826233777166314,0.7780973463044673,0.3234139930088253,0.8189964798974982,0.8295291333043499,0.8102935043654904,0.7577734872191091,0.7229920416225218,0.7496780447515174,0.148824155823914,0.7508143701301947,0.2558324125081935,0.4899715404507886,0.560311409601966,0.5348181728255659,0.6059318944858778,0.55744180115687,0.3633569592035734,0.759302279115036,0.0880138800330062,0.401483028166105,0.1527298428901165,0.6566131648153648,0.2079836025221965
downstream_metrics_PAS_kmeans_std,0.0341106762929953,0.0352211753737379,0.0056528857098184,0.0264668000740496,0.0341432979831092,0.0305627907401689,0.0135745091784689,0.0223956458428912,0.0432884115061491,0.0137647976746938,0.0406373369843673,0.0430932822131794,0.0355122304991503,0.0114870980957948,0.0329241610919802,0.0139500194534029,0.0569778614306716,0.0730845100294845,0.0393949819109909,0.0420008220175482,0.0328857122959578,0.0107283346826489,0.037976184746216,0.0015092925218761,0.0620975533057698,0.0149272358137664,0.0376882559581244,0.0344189370620239
downstream_metrics_CHAOS_mclust_mean,0.00753462058492,0.0126769230701029,0.0075731454417109,0.0119470856152474,0.0121458284556865,0.012540444266051,0.0076673885341733,0.01297691417858,0.0130910906009376,0.0129310237243771,0.0119916084222495,0.0115387463010847,0.0117334290407598,0.0071153005119413,0.0119828018359839,0.0073695327155292,0.0082779377698898,0.0114452945999801,0.0095253423787653,0.011397433001548,0.0099844392389059,0.008818624773994,0.0121023966930806,0.006882457062602,0.0096328314393758,0.0071106043178588,0.0112258181907236,0.0074532458093017
downstream_metrics_CHAOS_mclust_std,0.0009685463737696,0.0018594558350741,0.0009336555376648,0.0017248536460101,0.0017176466062664,0.0018723267130553,0.0008776665199548,0.0018724058754742,0.0020756809972226,0.0019018156453967,0.0018662041984498,0.001619700808078,0.0017066686414182,0.0008067341987043,0.0018733670003712,0.0009984294883906,0.0011672619730234,0.001477578189224,0.0013064132072031,0.00137271406129,0.0014488287270069,0.0010542261879891,0.0017382870428264,0.0007311506196856,0.0013604462146759,0.0009176272433251,0.0016582091338932,0.0009831788484007
downstream_metrics_PAS_mclust_mean,0.1969490800839755,0.7775408682881733,0.2454054773299893,0.746721943173855,0.7554115108157915,0.7606741902314444,0.2308762342078373,0.8159579534111303,0.8323712622953077,0.7906265686865849,0.7387424200192519,0.7132306106516493,0.7495337346859998,0.1567484355116069,0.7441472188304745,0.1580357189917926,0.3806922413619693,0.7041488357936628,0.5853202505417283,0.7109401412184743,0.6059079025884506,0.3415629473545397,0.737569700200507,0.0935857996730752,0.5482565505242709,0.1478304909083607,0.6722534152130724,0.2067377261309154
downstream_metrics_PAS_mclust_std,0.026367864672325,0.0295997766733071,0.0164601105295592,0.0326807125498877,0.0223942264766092,0.0404562344520754,0.0070850530688957,0.0168785608546742,0.0330230313828309,0.0210144827632234,0.0394020575464636,0.0322302696859295,0.0419183964742339,0.0008891966126095,0.0351876888386052,0.0124958128885062,0.0588861721721563,0.0195552407035691,0.0214022921395461,0.024484348735457,0.0544614210923979,0.0030036586614875,0.0370228436421625,0.004468072910658,0.0756256065737896,0.0171553787830952,0.0325295974461355,0.0310289108556511
downstream_metrics_CHAOS_leiden_mean,0.0070367397274822,0.0124788535758852,0.0073180301114916,0.0120807443745434,0.0129725998267531,0.0113973715342581,0.0078868975397199,0.013584797270596,0.0127904000692069,0.0120800584554672,0.0105418907478451,0.0106487250886857,0.0111296740360558,0.0069344982039183,0.0114956237375736,0.0073779311496764,0.0080004879273474,0.0106965908780694,0.0089064380154013,0.0101423528976738,0.0093990284949541,0.0086549615953117,0.0113338343799114,0.0072139317635446,0.0087290243245661,0.0075002864468842,0.0107929809018969,0.0071798919234424
downstream_metrics_CHAOS_leiden_std,0.0009084541816264,0.0017550261691212,0.000850717537105,0.0016703731380403,0.0019190376624464,0.0015947301872074,0.0009684602264314,0.0020099319517612,0.001977174077183,0.0017370758578181,0.0014429977163672,0.0015267734415829,0.0014645741321146,0.0008654792327433,0.0017615910619497,0.0009574552532285,0.0011155749671161,0.0014847079291939,0.0010737786069512,0.0015072901733219,0.0012664496898651,0.0009518682491034,0.0015602633357048,0.0006307053845375,0.001229930203408,0.0008952233474701,0.0015344284474849,0.0009236901532858
downstream_metrics_PAS_leiden_mean,0.1052759548501532,0.7445264639057498,0.1308814606691072,0.7178258805101874,0.819379073930899,0.7087503491884743,0.2818322946364427,0.8417360731067105,0.8004773264457168,0.7388392506770747,0.6346533910889987,0.6492787014344579,0.6507309259888154,0.1008764557472684,0.7148136569130435,0.1508023669596316,0.3410354595423485,0.6074134119527869,0.4102547021430753,0.6128336250336022,0.5300407344186935,0.3628545534199903,0.7037336929232507,0.0330327024418127,0.4393191488880804,0.2215310663190199,0.6291322055118663,0.16073040574151
downstream_metrics_PAS_leiden_std,0.0200869811569699,0.0369570249254995,0.0107893999247528,0.026976875867808,0.0362594998757674,0.0302744659561193,0.0172560101136636,0.024296987943965,0.0419794115822341,0.0386858161031506,0.0403107992249652,0.0468906299890254,0.0295176125888625,0.0145662293984867,0.0387769899840955,0.0039051550100946,0.0507031491061746,0.0441970560894878,0.0092249317121977,0.0566332945591352,0.0311357589419971,0.0179975985982644,0.0282937160040071,5.7383114302027305e-05,0.0480216431834615,0.0032177993142582,0.0379828887547125,0.0247637679257889
downstream_metrics_average_confidence_score_mean,0.9534301161766052,0.8305538892745972,0.6933104395866394,0.7079447507858276,0.8612237572669983,0.9341803789138794,0.964854896068573,0.8346799612045288,0.9967098832130432,0.8020236492156982,0.8297854661941528,0.9508351683616638,0.8575043082237244,0.927148699760437,0.9943909645080566,0.9909993410110474,0.968563199043274,0.7524662613868713,0.9997289180755616,0.999969244003296,0.9309442043304444,0.9612675309181212,0.996243953704834,0.749466598033905,0.821572482585907,0.99301677942276,0.9513831734657288,0.983975112438202
