,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STAMP,STAIR,SpiceMix,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche,scGPT_sp
bio_metrics_NMI_leiden,0.507140019714072,0.4819915485915438,0.5289832142492141,0.4133715199587757,0.341052592284663,0.4217369191296484,0.3371554310302755,0.4634037814553821,0.5308666444861323,0.5221704320883169,0.5156177379208323,0.4732522025070724,0.524610531595752,0.4507013642623083,0.4051151290599552,0.3905148901688154,0.5079605633218134,0.0926946192131875,0.4484449859709167,0.4175261809053975,0.4092381575287919
bio_metrics_cLISI,0.9978023171424866,0.986285924911499,0.9972894191741944,0.9701211452484132,0.97118878364563,0.9866654872894288,0.9690999388694764,0.9790778756141664,0.9961214661598206,0.9950762391090392,0.985959768295288,0.9866312146186828,0.999105989933014,0.9990713000297546,0.9760944247245787,0.9908742904663086,0.9997453093528748,0.9205692410469056,0.9820714592933656,0.9780078530311584,0.9914746880531312
bio_metrics_isolated_labels,0.578991711139679,0.5370131731033325,0.5562822818756104,0.4872092604637146,0.5398789644241333,0.5222046971321106,0.4745319485664367,0.5546188354492188,0.5836811661720276,0.6369550824165344,0.5412776470184326,0.5640124678611755,0.6319428086280823,0.6967899799346924,0.3518825769424438,0.5907205939292908,0.6545411348342896,0.4815892279148102,0.4648571908473968,0.5521011352539062,0.5980278253555298
bio_metrics_ASW_label,0.4439308643341064,0.4763809442520141,0.4602953493595123,0.454067975282669,0.4385741353034973,0.4455188512802124,0.3669243454933166,0.4686802327632904,0.4533766806125641,0.4647968709468841,0.4590156972408294,0.439957708120346,0.4547311067581177,0.4188020825386047,0.3954102694988251,0.4202087521553039,0.4714802801609039,0.3303725123405456,0.4200739562511444,0.3910602927207947,0.3678005635738373
spatial_metrics_moran_i_mean,0.9100251805991008,0.4705737008046733,0.7876826278165754,0.3893482433020028,0.2420861002918429,0.7758454088098217,0.3298017867872344,0.3099519762358326,0.360309943100208,0.7876379668689029,0.5362746628576951,0.7517291044768574,0.9434697151460512,0.932042537027125,0.7326555921934582,0.9065676444056108,0.9103207670449598,0.4123069174730387,0.5603246510863831,0.8275111234630782,0.4635294949029342
spatial_metrics_moran_i_std,0.0115495881801913,0.0667244098701019,0.0455700870594419,0.0711505105476354,0.0148021313145628,0.0246284883808601,0.0402188549073891,0.068604006271854,0.0436097833571073,0.0441878694072048,0.0545902302679882,0.0558418652535778,0.0132898131470094,0.0437076857063133,0.0981949507290098,0.0396963465771804,0.0213413996281421,0.0789554918611508,0.0720583844683676,0.0355130817677932,0.0470335730643988
spatial_metrics_greay_c_mean,0.0898680640773985,0.529387970004302,0.2128242766012079,0.6112496763680536,0.7564707339446166,0.2240417921598732,0.6634539966190097,0.686188094539645,0.6314034571153486,0.2118937442543851,0.4637716614474945,0.2485380042549214,0.0545304895664882,0.0657937826298797,0.2663696146694227,0.0917260606655807,0.0892133978507195,0.5880440019578854,0.405283562062751,0.1683378434976531,0.5376931535554712
spatial_metrics_greay_c_std,0.0114242315647801,0.0666344037048715,0.0455599826978366,0.0711961597972499,0.0140338647068321,0.0241729646825978,0.0427540332006943,0.065713995247924,0.0432344617102155,0.0431019331756709,0.053756259427826,0.0552425128011132,0.0119255297180891,0.0416149480372248,0.0979248144298671,0.0381359766636072,0.0207403931577182,0.0793764200872727,0.049722620716642,0.0307788732718395,0.0457135357344568
downstream_metrics_CHAOS_kmeans_mean,0.017118643852882,0.0280769834062084,0.0175277030793949,0.0327624839264899,0.0196753062773495,0.018759197788313,0.0246093402383849,0.0211426243185997,0.0190875822445377,0.0198185214539989,0.0208377378294244,0.0205574374413117,0.0165511443046852,0.0152008302975445,0.0246426122030243,0.0148637897800654,0.0156725664855912,0.0193366000894457,0.0198423952097073,0.0150123124476522,0.0183300139615312
downstream_metrics_CHAOS_kmeans_std,0.0104600535020654,0.0197066392601943,0.0110952429057549,0.0221847502741006,0.0075259654170468,0.0120491375858399,0.0120809024392113,0.0094568669490134,0.0121094354425603,0.0116595014173192,0.0129275584271257,0.0119882455540999,0.0099942480779315,0.008851685457372,0.015507999967277,0.0084556723886337,0.0091012907964581,0.0110272959827376,0.0122283089757584,0.0083929156672436,0.0094559461215979
downstream_metrics_PAS_kmeans_mean,0.1806206442131436,0.5225754401833602,0.2068912738624863,0.6871584788539649,0.339958940709577,0.3164490385997324,0.544625553291914,0.3321244724991458,0.2655755632532049,0.3160670421182674,0.3887627787782902,0.44985348650321,0.1805421415025965,0.0588380764889484,0.6202098164874817,0.020383643921676,0.0955563492500791,0.6426218324346269,0.3416765616737164,0.046793906181639,0.3477942274764465
downstream_metrics_PAS_kmeans_std,0.0382960669246807,0.0727779467018865,0.061622556370651,0.0688709593706509,0.156971400366904,0.0555847976045197,0.1729879518663689,0.1743642779634068,0.0685202381536654,0.0410967534338454,0.0359133847798143,0.0965814684039603,0.0403213306621219,0.0217465330498553,0.0491613276475031,0.01289427904131,0.0140285610424705,0.0698953312366855,0.0315657800400466,0.0373533351018949,0.0562034855903225
downstream_metrics_CHAOS_mclust_mean,0.0171804494457319,0.0297206153627485,0.0166018396848812,0.0252593182958662,0.0179025665856897,0.017422899371013,0.0263707826379686,0.0174760282970964,0.01881960243918,0.0196934760315343,0.0204530513146892,0.0201066943118348,0.0157127364072948,0.0151832837145775,0.0235718166222795,0.0148690795758739,0.0159119735471904,0.0186100576538592,0.0188174600480124,0.0150011088699102,0.0169255773071199
downstream_metrics_CHAOS_mclust_std,0.0106651414747302,0.021095662495192,0.0100338751112,0.0188198247852785,0.007708863941598,0.0107685655222234,0.0143154193999631,0.008861396871359,0.0108557280282074,0.0120395012540079,0.0128304435155179,0.0113430773697024,0.0092688830409757,0.0089100423152858,0.015631075115784,0.008456521105151,0.0094148812800312,0.0107204828823795,0.0110573218424338,0.0084088983648036,0.008947431048679
downstream_metrics_PAS_mclust_mean,0.1703633819147499,0.5342552929302746,0.1683860492204125,0.4315493969996893,0.2122008336692017,0.2728004200566407,0.6203027527923473,0.1169219125977624,0.2641701635161032,0.3356469378136472,0.3457805551867257,0.442478292576712,0.1015437694400933,0.0552309314309307,0.4462310184164587,0.0211236626936806,0.1446973929773801,0.5840448449421549,0.2510234342714997,0.0482846296462233,0.2245528924190373
downstream_metrics_PAS_mclust_std,0.0392948378772375,0.0947941296663801,0.034721900526,0.096612075617479,0.1043907232904388,0.0539215867822894,0.2155498564070107,0.0846870647495566,0.0809697296555263,0.0624501276860025,0.0365127698340211,0.1038841642894556,0.0226485623827627,0.0238600920944023,0.0630235654662424,0.0164730964869757,0.040802259214473,0.0846428276040178,0.0440862885803955,0.0342828006383327,0.0325184994477233
downstream_metrics_CHAOS_leiden_mean,0.0164863930549472,0.0294481107266619,0.0161671846872195,0.0322930268011987,0.0175835454137995,0.0177889730548486,0.0234226987231522,0.0184889120282605,0.0170628495980054,0.0193645153194665,0.0214864849112927,0.0200395020656287,0.0153502135071903,0.0149134767707437,0.0255889933323487,0.0151089175487868,0.0150978128658607,0.018424111767672,0.020547667518258,0.0154117699712514,0.0165242075454443
downstream_metrics_CHAOS_leiden_std,0.0103070050659653,0.0218217725555585,0.0098421360329938,0.0232163707469525,0.008150349931065,0.0111858837626531,0.0120674114252504,0.0095070857179641,0.0100558134358911,0.0116973452556148,0.0135967926375204,0.0121004834152133,0.0089444983349985,0.0086183831323758,0.0164140868327013,0.008660226660041,0.0086983683048559,0.0097936401939078,0.0125225736869709,0.0090988237036278,0.0087766478249029
downstream_metrics_PAS_leiden_mean,0.0601558186227581,0.4037475061803616,0.0497171340610202,0.4810158645599161,0.1414308817519272,0.2170992023416827,0.45396672095829,0.1500443035075092,0.1173603908924516,0.1932009228320693,0.2926104180939234,0.3526801309735593,0.0342708457939032,0.0104662888552622,0.5595148782905106,0.0195180403113684,0.0165425898944806,0.5588042047111033,0.333401153521922,0.05036477739881,0.1204700254092017
downstream_metrics_PAS_leiden_std,0.0302560278757096,0.1091605222268717,0.027095067864911,0.1568453173175958,0.0823084223499592,0.056944260333566,0.1636468427674355,0.0987310875409505,0.0377684352775401,0.0435450268935315,0.0513358315121409,0.0978836682745181,0.0149967458389435,0.0066937374710368,0.0711666101772439,0.0200941957659372,0.0063745524043574,0.0547015967731182,0.0297224628924512,0.0192262013351074,0.0732115135816364
downstream_metrics_average_confidence_score_mean,0.8914518356323242,0.7688645124435425,0.7072625160217285,0.6413628458976746,0.7133035659790039,0.9385258555412292,0.9709535837173462,0.7170212864875793,0.8139318227767944,0.923025131225586,0.8680389523506165,0.9737887978553772,0.9725914001464844,0.8074657320976257,0.9901637434959412,0.4925923645496368,0.8496519923210144,0.957088053226471,0.9524499773979188,0.8108645677566528,0.834398090839386
downstream_metrics_average_confidence_score_std,0.0241508223116397,0.0344272628426551,0.0472030527889728,0.0316398926079273,0.0723170712590217,0.0219718348234891,0.0102080451324582,0.0377751253545284,0.0490964464843273,0.0195357631891965,0.0151296546682715,0.017561187967658,0.0104742674157023,0.1050617471337318,0.0064630210399627,0.2570627331733703,0.0283584371209144,0.0419636219739913,0.0059799309819936,0.2410759180784225,0.0432907454669475
