,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.372442364692688,1.934624433517456,2.541130542755127,1.2302045822143557,1.7411730289459229,2.104213237762451,2.354187250137329,2.1762917041778564,2.5144503116607666,2.4568207263946533,2.317998170852661,2.50704288482666,2.533381700515747,1.05055832862854,1.6049004793167114,2.182943344116211,2.475834369659424,1.8875788450241089,1.6819289922714231,1.975716590881348,2.399077653884888,1.0,1.462260603904724,2.481238842010498,2.18263578414917,2.4650561809539795,2.3789796829223637,2.4539356231689453,2.6219706535339355,1.4272615909576416,2.0654454231262207,1.3285691738128662,1.5630245208740234,2.1947028636932373,2.3035926818847656,2.4533159732818604,2.4463775157928467
batch_metrics_ASW_batch,0.8305702805519104,0.8942301273345947,0.9662205576896667,0.903068780899048,0.9206796288490297,0.9442527294158936,0.8998420238494873,0.9153276085853576,0.915938913822174,0.9547874927520752,0.9486613869667052,0.9355477094650269,0.8874348402023315,0.8637345433235168,0.8860065937042236,0.8104249835014343,0.885744035243988,0.8850399851799011,0.8850984573364258,0.9004701972007751,0.8834336996078491,0.5747482776641846,0.7881572246551514,0.8300356268882751,0.8575266003608704,0.9035723209381104,0.7803499698638916,0.8740180730819702,0.8771764636039734,0.8730943202972412,0.8839943408966064,0.8845463991165161,0.8380593061447144,0.9058620929718018,0.8800556659698486,0.8463952541351318,0.7612478733062744
batch_metrics_PCR_comparison,0.0,0.7297908331279475,0.9656384760210488,0.485958088151627,0.6970955007136111,0.0,0.0,0.9077034307447662,0.4118080410079378,0.0412649856753081,0.145819860829165,0.476718098440841,0.9193345095454908,0.0,0.3814478336578292,0.0,0.2359614415447909,0.0,0.0980210965385773,0.9305918218816248,0.0,0.0,0.4228684897749795,0.0,0.2154713424495136,0.6166658712813493,0.0,0.4881220076669061,0.9150470766213382,0.0,0.0,0.9999983038110948,0.0,0.0919704802852875,0.6027631138431812,0.910002044885464,0.1553369395581847
batch_metrics_kBET,0.0923403011933963,0.2593135650110986,0.6399249555160836,0.2371686743386429,0.3792088907675602,0.2415874830427449,0.3931913212395198,0.3403166177107903,0.3977229334638208,0.5819150881113971,0.489339080703306,0.5895404879705919,0.4724895483744049,0.0457601123309823,0.3103112989570026,0.3146053436561936,0.5267291233598715,0.2245794294910132,0.3068632729265083,0.385381969216838,0.4963110718468613,0.0,0.2273491245823843,0.3244927263633872,0.3639789016331953,0.4452620642398506,0.3771658044158966,0.5535026697847962,0.2672519306465966,0.1664950660099347,0.3208066708980944,0.2518070442372599,0.100470183662037,0.4219215362861424,0.3663345901236451,0.5686442187980884,0.4129789324781885
batch_metrics_graph_connectivity,0.8500230676885815,0.8115272773318191,0.8553838726377128,0.8656939762926428,0.8391933438491762,0.7667971536144301,0.8378189205515353,0.7941574712016024,0.7096412180624708,0.810002239551072,0.7552103390956536,0.9384033768579556,0.7358523059293253,0.763367718475488,0.8617669900461571,0.797688687792266,0.9127646428475916,0.8862231469746998,0.8615045598974852,0.8631111948339741,0.8624004466522186,0.3544548222807804,0.8756729281951394,0.7809120691381263,0.8820129339492453,0.7876918624571971,0.7459241854859555,0.7156377273867032,0.7345019602972434,0.7492988756972437,0.8712107511860578,0.8477620123585343,0.786569510840171,0.8896466945566104,0.7530867802543039,0.7475967386639614,0.4676867935863441
bio_metrics_ARI_kmeans,0.3377920537093121,0.2591935959657595,0.4358382862799342,0.5804324826751417,0.6226399950537204,0.2222626240793565,0.1468206685213751,0.3660543611367334,0.2513148917277963,0.473952295899557,0.5664032530801428,0.4955406814771274,0.4598152845640174,0.3167628313705532,0.3958133727446525,0.5113684826715162,0.6107441555067552,0.5383961536243761,0.5044451299129964,0.543367029298689,0.5946611595024006,0.0792338840918061,0.4181163117116533,0.4167874806176781,0.5537584880600166,0.6342870483556697,0.4031966888808211,0.45632983411374,0.2567634093696073,0.3704123311760254,0.5788906520937629,0.5526943321161194,0.2802738681616358,0.5186813401903151,0.3175935192285312,0.5077522879859423,0.472201581524782
bio_metrics_ARI_mclust,0.3729767709927913,0.2279171198529852,0.4538987281212803,0.5981975132692403,0.5552549253364047,0.3972481248800115,0.1808677098111851,0.3584079496318708,0.2491842939614522,0.5807378232861102,0.6104000377346601,0.5773278254562939,0.5044552026706014,0.3853686317713458,0.4357844567541756,0.4282933319879048,0.5154649470144106,0.460293921984433,0.3801385704379973,0.527339635466276,0.5170238757678216,0.0383834620653321,0.4322963020895052,0.3728636649076347,0.564802542838144,0.5106526929169654,0.4423334166893856,0.4650245778112475,0.2596860435383682,0.3664149340467206,0.4803010220066419,0.462987932680895,0.4699869380520701,0.4339926789632883,0.3152341544121628,0.4215424615032075,0.4710558391713096
bio_metrics_ARI_leiden,0.3620830943306006,0.3822640801411891,0.5822803747021656,0.4129413489163701,0.659902180417516,0.3399595909496704,0.1946089736926116,0.3912568663777316,0.2572316779994538,0.4593966815367964,0.6514709449731835,0.6545302195426209,0.4440024897717801,0.3244808511370922,0.3947914204837513,0.4089467859457265,0.6482655701456886,0.575030441581192,0.4883318005208755,0.5014125248233615,0.5757870963072775,0.0305913563338606,0.5460513220636697,0.39291788515925,0.5310406147728516,0.5899427165844857,0.352346702857563,0.4313196412562983,0.2654234265625146,0.3228097941118777,0.5034039950227264,0.4997490099592223,0.3200933514377216,0.5109761981947671,0.3293548324607238,0.4369093469842173,0.3254257496103754
bio_metrics_NMI_kmeans,0.4786665227078067,0.3912471908807258,0.5518085620127554,0.6107290285512013,0.6195104280465372,0.3049206925920076,0.2911267889873806,0.3831409228977483,0.3287841417917146,0.5388284213874723,0.6160392640307876,0.5778370974635314,0.4958241035814536,0.4424424823091173,0.5281427421206055,0.5569920071734332,0.6386179236430459,0.6024245092107192,0.5615032238812626,0.6049514806111657,0.6291573583483374,0.1650001478329345,0.5299177859840772,0.5176989066928691,0.6236785599041385,0.6637096699929276,0.5262415567381497,0.5531682425011585,0.3614633917876733,0.5046378946978771,0.6016532141091686,0.6172753345416746,0.3981119290984673,0.6096292585969281,0.5076510173170946,0.5953554421000393,0.5540291981107597
bio_metrics_NMI_mclust,0.549712433907909,0.4131747072998171,0.5579773337053818,0.6378399842129655,0.6287620374864379,0.4728120570256262,0.3306229686343369,0.439059351593948,0.3440317155001702,0.6110968050015078,0.6499304936805395,0.6436746988648652,0.5528664691868108,0.5370614461578407,0.5706243703510241,0.5507335453931572,0.6091635770278752,0.5862313986209311,0.5383214194524255,0.6094329705034605,0.5971669703472712,0.1070715926140317,0.5287700453232729,0.4977638566658622,0.6331934107583007,0.6273754273132699,0.5206462343039666,0.5546786021800887,0.3632839234130938,0.5078668044633624,0.6007810420193679,0.6043445399424408,0.5481384077742841,0.5633215454766034,0.5210006996311564,0.5281628295681227,0.5576637512347854
bio_metrics_NMI_leiden,0.5184370937881901,0.5110379775512983,0.5976233124320156,0.5579483331456017,0.6542661940269222,0.4097756277168008,0.3240009242879768,0.4460944925431723,0.3334936486639647,0.5394103284894315,0.6971401950972235,0.6729227503760097,0.4764569982168436,0.4726716595549995,0.5307486226336097,0.5468397018922193,0.6745756028916298,0.6409775019280871,0.564217281037295,0.599570368601977,0.6395557510497902,0.1006715824767159,0.6283078229863899,0.5211607180446486,0.6213969716432238,0.6504960839228964,0.5122083764797479,0.5366484752280317,0.3723288336473657,0.4641613548156913,0.6012973222855249,0.5864002215395538,0.4440051944938256,0.6016286178930864,0.4950446047128474,0.5218791908266432,0.5176810755783421
bio_metrics_cLISI,0.9651767015457152,0.9539793729782104,0.9757272005081176,0.9810954332351683,0.9946486949920654,0.9328359961509703,0.9299983978271484,0.933767020702362,0.9022666215896606,0.9865183234214784,0.996837079524994,0.993114709854126,0.9723735451698304,0.9511210918426514,0.978796660900116,0.981362760066986,0.9990697503089904,0.9885139465332032,0.9781644344329834,0.9863767623901368,0.9957417249679564,0.92054283618927,0.9925715923309326,0.9776328206062316,0.9969654083251952,0.9987223148345948,0.9616119861602784,0.9837613701820374,0.8890374302864075,0.9468003511428832,0.9891109466552734,0.9892259240150452,0.9296786189079284,0.9929111003875732,0.937551498413086,0.992522656917572,0.9668961763381958
bio_metrics_isolated_labels,0.7033766508102417,0.6340887546539307,0.5267089009284973,0.5707350373268127,0.5254650712013245,0.5325278043746948,0.5550499558448792,0.5772842764854431,0.4934340119361877,0.5810877680778503,0.6050500273704529,0.5611185431480408,0.4546608030796051,0.6188955307006836,0.65302574634552,0.6393839716911316,0.6570753455162048,0.6510149836540222,0.6508805155754089,0.5900988578796387,0.637856662273407,0.736183226108551,0.5599126219749451,0.6446147561073303,0.6075108647346497,0.5673725008964539,0.8382179737091064,0.4067719578742981,0.6187357902526855,0.6746326684951782,0.614297091960907,0.6064666509628296,0.6520742177963257,0.6169243454933167,0.6075589060783386,0.525564432144165,0.6817181706428528
bio_metrics_ASW_label,0.5719143748283386,0.5075177550315857,0.5047164559364319,0.5772606134414673,0.5533532500267029,0.5118914842605591,0.5053369998931885,0.5352738499641418,0.5084769129753113,0.5470943450927734,0.5667397975921631,0.5290661454200745,0.5460801720619202,0.5489712953567505,0.5675737261772156,0.621033787727356,0.586395263671875,0.6041989326477051,0.5845475196838379,0.6147617101669312,0.5677505135536194,0.4491184055805206,0.5633468627929688,0.5760720372200012,0.6419969797134399,0.6303974390029907,0.5637980699539185,0.6429370045661926,0.511430561542511,0.5700315833091736,0.6021004319190979,0.603297770023346,0.5278819799423218,0.5687281489372253,0.5312323570251465,0.5894704461097717,0.6098513603210449
spatial_metrics_moran_i_mean,0.9248574835540336,0.8570648858469188,0.2662810585752568,0.7195397796579357,0.3599004526131442,0.1322507328896147,0.1716448351518796,0.6241695699747914,0.118022287571455,0.1478242636982214,0.1287621776233551,0.4608025269506372,0.224057445618028,0.9052696579423598,0.5430861258073617,0.8971807295876933,0.6392067384711554,0.8173155763994236,0.9094969727252034,0.8623799704380958,0.7201968906392407,0.9965441567173912,0.9005488783208011,0.5255195901474236,0.7313682690609274,0.7460603524865719,0.8484340234922101,0.4886762002346132,0.8639353217550555,0.6246701854089668,0.6444582373932511,0.6834176420245727,0.9176655360629744,0.7381071995767226,0.8723098677535498,0.384341099846493,0.4329313894879488
spatial_metrics_moran_i_std,0.006119487016155,0.0101831701735939,0.0086568188184078,0.0042942678473848,0.0037534176021034,0.0152833089936276,0.0124398274329378,0.0107920741139322,0.0110822765876182,0.0041703705289767,0.0036527433246785,0.0172950850519823,0.0173617600465412,0.0027904966320814,0.0090576950272156,0.0070746426799327,0.0113529084219584,0.010258519359243,0.0070535667405643,0.0038604478027376,0.0160094100634926,0.0001585364469252,0.0071342954757188,0.0191755068806785,0.0123533857893736,0.0043568301296289,0.0334014631096949,0.0098193300695446,0.0112356430251318,0.0002584515030377,0.0112968305988652,0.0058248933896876,0.0049239301504691,0.0086594137759222,0.002308714046921,0.0135415278293252,0.004424191621409
spatial_metrics_greay_c_mean,0.0747261122302631,0.1428971897880112,0.7337244000031614,0.2811667416368057,0.6408265873892142,0.8674326780154855,0.8263848030432285,0.3763434275856203,0.8830190488682833,0.8518977118146633,0.8701584970696689,0.5403071472634321,0.7576336507440683,0.1005404271578956,0.457563360320117,0.1030103027465374,0.3625258255621362,0.1829018568939203,0.0897391166227728,0.1380083133238273,0.2802611053934026,0.0021907406128285,0.0991533948989226,0.4755914714674977,0.2702374605171285,0.2554307275590122,0.1517921244011673,0.5130634731906609,0.1359818621030127,0.3742500971911706,0.3570882064261778,0.3165294209814994,0.0818510249310362,0.2616376280182257,0.1280124849131815,0.608126363203603,0.5666260146827456
spatial_metrics_greay_c_std,0.0055926877035095,0.0101216937176182,0.0086592998045373,0.0040133050597011,0.0040315737725379,0.0153906880973248,0.011739763547282,0.0107092664342387,0.0104559599807637,0.0044021593398681,0.0039003674854298,0.017335261911118,0.0045815174486369,0.0018472845879598,0.0086493140089197,0.0071330291495127,0.0111809893611984,0.0103040760739753,0.0068986686902362,0.0038210645193962,0.0159859469305868,0.000105415444502,0.0070644151559705,0.0193564637408723,0.0121743428920816,0.0050983682303433,0.0331337877540146,0.0099514327901148,0.0108637435003462,0.0003956708044458,0.0114587309974846,0.0052386704271865,0.0045513081411852,0.0085092692778277,0.0016909613277038,0.0139823295865054,0.0052893768838993
downstream_metrics_CHAOS_kmeans_mean,0.0280701822290817,0.0283328300962845,0.0324447018404801,0.0278028032431999,0.0300489465395609,0.0346930374701817,0.0336933868626753,0.029126226902008,0.0341890081763267,0.0317784448464711,0.0307826399803161,0.0314650715639193,0.0312219504266977,0.0280526311447223,0.027946263551712,0.0281237065792083,0.0297124714901049,0.0281450028220812,0.0281895492225885,0.0281447103867928,0.02893060259521,0.0276344809681177,0.0289605880777041,0.0285436641424894,0.0284641832113266,0.0288041010499,0.0297104076792796,0.0309591541687647,0.0278895739465951,0.0276755752662817,0.0281367140511671,0.0278957188129425,0.0279594572881857,0.0278802371273438,0.0276574629048506,0.0288448842863241,0.0279938448220491
downstream_metrics_CHAOS_kmeans_std,0.0003848898668241,0.0003499072338741,0.0004078388845379,0.0003424341539897,0.0004116762993755,0.0004954371048095,0.000100507583709,0.0004216138556711,0.00054159448285,0.0002267790355029,0.0001990238245621,0.0003696582408962,0.0003423939345174,0.0003374982538512,0.0004163066432117,0.0003860571852088,0.0004320902534064,0.000373703523355,0.0005147208522974,0.0003689669832579,0.0003003570944633,0.0004038697055845,0.0003786008937157,0.0002593363462193,0.0004183017030039,0.0004359578381163,0.0007215785281185,0.0003662248309848,0.0004127068273532,0.0004039201054543,0.0003101946497142,0.0003926400623496,0.0002825839044644,0.0003894436852905,0.000399119339359,0.0004399087461637,0.000330313032314
downstream_metrics_PAS_kmeans_mean,0.1143487107591495,0.1263794027728495,0.4321838108636475,0.059330666528034,0.1779087278867547,0.5276733292193105,0.6746231140698317,0.2590471135624924,0.5956978504188227,0.3400046098227114,0.3277175410572945,0.3588501811193314,0.201810489244106,0.1531239297079507,0.0830259807908457,0.1468682765457736,0.2454962903569336,0.1384544690703703,0.0908049472113388,0.132143105779367,0.2104684654295596,0.0021999979332302,0.186271382463205,0.1512914586169476,0.2049121827144333,0.1437387227138557,0.1281552692166336,0.2792112626876173,0.0768489038191443,0.0204758357063791,0.1410083396535259,0.0600787033153981,0.0737809447268854,0.0653089933402345,0.0093445813640501,0.062127763078875,0.111015563619298
downstream_metrics_PAS_kmeans_std,0.0204464424668683,0.0086582753515587,0.0123257569006067,0.0024702891049314,0.0143172308839171,0.0082652757485741,0.0137204284295335,0.0239125296897846,0.0223225503431513,0.0413391137736015,0.0250144844330335,0.01845767084389,0.0094321381532216,0.0113440010941827,0.0025895641062042,0.0151191128610508,0.0087409283185708,0.0057661754194268,0.0110935275004392,0.0114578069024749,0.0087915209080503,0.0005198764161191,0.0105052185956543,0.0042039108262872,0.0051288590420709,0.0053963021616708,0.0226257928142963,0.0045725854573564,0.0019209237446433,0.0028272924303864,0.0055452217315251,0.0038361162739982,0.0033972503398542,0.0056911009888263,0.0004625907068544,0.0073984248331897,0.0079052563430032
downstream_metrics_CHAOS_mclust_mean,0.0277424796173969,0.028372539828221,0.0320481074353059,0.0278594139963388,0.0298272259533405,0.0309851604203383,0.0328045636415481,0.0285874182979265,0.0342272333800792,0.0296499741574128,0.0302493901302417,0.0297684172789255,0.0309624951332807,0.0277152849982182,0.027938753987352,0.0280552754799524,0.0295529092351595,0.0280612607796986,0.0278462755183378,0.0278905294835567,0.0286030763139327,0.0276341369996468,0.0290370136499404,0.0288365390151739,0.0285417356838782,0.0281923282891511,0.0295702200382947,0.0308337075014909,0.0278790301332871,0.0276775881648063,0.0279988801727692,0.027871295188864,0.0277798896034558,0.0278890437136093,0.0276401080191135,0.0283018549283345,0.0280592360844214
downstream_metrics_CHAOS_mclust_std,0.0004059785394515,0.0002941624432279,0.0004236215335871,0.0003607904699692,0.000301107972029,0.0001344366132639,0.0002512310067639,0.0003227263899631,0.0002881799742868,0.0003653893621007,0.0002900019951596,0.0003549388429232,0.0001361110565181,0.0004252314819386,0.0003742900155089,0.0003528872159391,0.000320992427786,0.0003358289905731,0.0004222322701055,0.0004244053847092,0.0002989165608133,0.0004046143383985,0.0004275116185009,0.0002365286795273,0.0004095721104214,0.0005099734777998,0.0005923742964492,0.0003204504514155,0.0004033792635455,0.000398600043286,0.0004010567981984,0.0004139521611495,0.000397914783298,0.0003877261035297,0.0004012853132582,0.0004022468971449,0.0003515537453051
downstream_metrics_PAS_mclust_mean,0.0557514874990057,0.1158587535061334,0.4205571864292177,0.0674591570985424,0.1574654397306058,0.3020449004515317,0.4362710640620102,0.1775633440308596,0.3961876225883792,0.1757537021561333,0.2130835826970655,0.2164233441861202,0.1646373566620093,0.0162604120145422,0.0752708692109222,0.1335815513587065,0.2464825188175957,0.1224503977544811,0.0833449660077735,0.085158373340072,0.1703988515025231,0.0015594847533562,0.1860498429064772,0.1642985667548837,0.2148978904971272,0.0438826306941755,0.1457132875953176,0.3585248273906231,0.0661480559997429,0.0217349245679463,0.1293089154721966,0.0436539053059509,0.0439494282883425,0.072225373778281,0.0096794082828109,0.039371969152246,0.1153333197975417
downstream_metrics_PAS_mclust_std,0.0103931502798717,0.0074714754383247,0.0141607337045274,0.0070575785400958,0.008070125010289,0.0087030886318044,0.0246298869338021,0.0084165219539701,0.0159588140418805,0.0115374473048364,0.011850951050945,0.0116890033224866,0.0234248972366721,0.0051456800053749,0.0044616566363898,0.0120670996511736,0.0149173049636259,0.00653671215191,0.0044920542053373,0.0041975336597976,0.0017532225221535,0.0007673783286031,0.01368781328011,0.0038087430555245,0.0004689592535519,0.0012057375226112,0.0290019840630669,0.0108725229420994,0.0017245874289265,0.0011947365881759,0.0039750214337359,0.0020628069828567,0.0005803868689076,0.0090267445540772,0.0006432594659284,0.0034470381171002,0.0079613758712726
downstream_metrics_CHAOS_leiden_mean,0.027835459758838,0.0279820375144481,0.0324882082641124,0.0279047321528196,0.0306229330599308,0.032494648049275,0.0344548883537451,0.0285088842113812,0.0325366047521432,0.0311294881006081,0.0303325497855742,0.0301563410709301,0.0322474042574564,0.0277647866557041,0.0278692183395226,0.0280412714928388,0.0300705283880233,0.027863448485732,0.0278319753706455,0.0279839678357044,0.0288404803723096,0.0276346690952777,0.0287046115845441,0.0288687379409869,0.0282182575513919,0.0288501102477312,0.0293398244927326,0.0306278100858132,0.0277259219437837,0.0276493479808171,0.0279582949976126,0.0280624156196912,0.0279567595571279,0.0279511467864116,0.0276469017068545,0.0315722233305374,0.0281348284333944
