,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,2.946523904800415,3.4664225578308105,1.97911536693573,3.1938698291778564,1.4825553894042969,2.584578037261963,2.441670656204224,2.986642599105835,3.122013568878174,2.157681465148926,2.519359827041626,2.3660202026367188,3.0734751224517822,1.0,2.2506141662597656,2.9579553604125977,1.4530372619628906,1.6977709531784058,2.466093301773072,2.0199391841888428,2.128482818603516,2.527458906173706,1.465206742286682,3.33726453781128,1.000000238418579,2.9314684867858887,1.0000001192092896,1.0,1.5856881141662598,2.869982957839966,3.2290914058685303,2.5918240547180176
batch_metrics_ASW_batch,0.7791526317596436,0.95042622089386,0.9851803183555604,0.9736617803573608,0.984598696231842,0.8663676381111145,0.964811384677887,0.9325516819953918,0.9372410774230956,0.9534285068511964,0.9729681015014648,0.9751499891281128,0.9644539952278136,0.9670567512512208,0.8322416543960571,0.9252723455429076,0.9514492750167848,0.9615114331245422,0.9401341676712036,0.9674695730209352,0.971396803855896,0.918144702911377,0.9340488910675048,0.8857303261756897,0.9582256078720092,0.7031340003013611,0.9533084630966188,0.7826809883117676,0.7737460136413574,0.9600428342819214,0.8779036998748779,0.959486484527588,0.8712746500968933
batch_metrics_PCR_comparison,0.0,0.9566320380685656,0.9867293143496396,0.765264171195299,0.9484301664779088,0.0,0.5262611486372579,0.9352433551295076,0.8650405979021486,0.9558642481855516,0.3638776474407518,0.8905080473001893,0.6621816312788044,0.9921364373346188,0.0,0.9840653343988484,0.935214346516706,0.327134319679074,0.6975892330667558,0.9973039460276582,0.0,0.568690035819256,0.9681683317360188,0.1152008048029426,0.9892421974981856,0.0,0.9877910067895382,0.0,0.0,0.355784619811512,0.6918226211157307,0.9891932789768052,0.0585663838457394
batch_metrics_kBET,0.0,0.1705705723658632,0.5605920488955348,0.1601554063399664,0.5442630454388702,0.0102002145990178,0.2128514089355403,0.1590167386287485,0.2915353676007349,0.3069597081220445,0.1828473545729908,0.3565600205455106,0.1357933654365515,0.587289579129955,6.442091454272864e-05,0.1803596080687353,0.3238501409048872,0.0641502999557115,0.0411308638629936,0.3716869635790424,0.2214068729656309,0.0535648146931186,0.2653658364725927,0.0005038852171969,0.5012845449153513,0.0,0.5916872380137637,0.0013455726583805,0.0,0.0168846271710566,0.1968895490376946,0.5826378008605786,0.1258278770306928
batch_metrics_graph_connectivity,0.4050612519792047,0.9679078121104054,0.6373480995612597,0.973756900928472,0.2897992988542941,0.5803811094185666,0.5830719387070996,0.9598540073891306,0.4494259355860286,0.2521174979670101,0.6139079254519851,0.5118050907213627,0.7032560599515567,0.3034674953084461,0.8832356751324679,0.9290912632620044,0.5684709925750232,0.920539126567922,0.9754246973782292,0.9093086851557224,0.577730089346254,0.5148446768753305,0.8831296756380791,0.8125912933058128,0.7958394234362565,0.6736124374216295,0.4093346476180013,0.74686322842588,0.436646709105288,0.910733035513244,0.9652601453153004,0.7028546355186197,0.952480327886334
bio_metrics_ARI_kmeans,0.3367736045382006,0.5532682614660474,0.2013340883850934,0.4448467145401206,0.221135206031717,0.0159046038260217,0.1781605008480712,0.606920257808303,0.0207920226486358,0.0785134521821495,0.1862198059258048,0.2450839227271735,0.261317240529691,0.1899654879403996,0.3027657406592967,0.4612992422595192,0.2237186987305535,0.3256417425784348,0.4287944827387059,0.3610633324536612,0.3069737085137664,0.2311056479599812,0.4647187739919452,0.183019234037954,0.3142672606804665,0.2806566906297381,0.1705662899076576,0.2773330293354644,0.3991737963975498,0.4175960570785986,0.5036925374501692,0.2573788613178165,0.5262687796937393
bio_metrics_ARI_mclust,0.3219329079590217,0.6115431398943699,0.1948957452548625,0.3828724507834561,0.2204327175298142,0.024226755702745,0.2095689985287318,0.6124507965360619,0.0231843159602728,0.0909115501338235,0.2426397195737643,0.1741839262122728,0.2457983038410207,0.2411011331084557,0.4094999430603808,0.4368212217488844,0.1978599953043275,0.3727207214067227,0.4831314231910203,0.4046439431319229,0.2854499873951779,0.1843972755473283,0.471390756548657,0.2010656283731675,0.2716447713948265,0.2713320475778608,0.1902437770580881,0.3604416292211853,0.3703724749273628,0.4465925173310749,0.5963815677610101,0.2272897431094628,0.5668749905390672
bio_metrics_ARI_leiden,0.0648151672393806,0.6742799655694859,0.2253805901232012,0.5636486249753158,0.2075315677845507,0.1699507386190738,0.2160116007863475,0.6299247092622855,0.0317931727476669,0.076569105078804,0.2117201372571135,0.223202704529395,0.2230319238694185,0.2096822213157273,0.0697593382788245,0.6465612623334923,0.173467891647327,0.5104270439345716,0.6602005367106852,0.5171819299818992,0.2296377186851445,0.2326898107378015,0.2883786269531596,0.1532798121625136,0.2258409861994935,0.2456488947760386,0.2299736727624466,0.189470535048622,0.0993986954640523,0.2348008588000182,0.5665919824816553,0.2269934840955267,0.5275313184276754
bio_metrics_NMI_kmeans,0.3671204950663168,0.6008206246521726,0.2309290475817743,0.5497601487302768,0.2337452684488025,0.0289178654281453,0.2186968768203329,0.5993134762066863,0.0312218376963517,0.0904852946922147,0.2134167931018097,0.2376909923404317,0.2769553908291568,0.1923975030556844,0.4146987671958476,0.5787884103072005,0.2525113804855164,0.4180881476417097,0.5181624284790944,0.4588626893045153,0.3424761240643872,0.254940070277821,0.5028546215555013,0.2859934476260045,0.3448364160874549,0.4116701609106304,0.229180057650082,0.4199558109153177,0.4983129434964289,0.4894205991439782,0.6378515807004965,0.3074956786931885,0.5884168572581231
bio_metrics_NMI_mclust,0.3856477352371276,0.6459836416033172,0.2303035462963596,0.5702179393983599,0.2337335721044235,0.0478188035743372,0.1924156989805077,0.6421802838511597,0.0297295618076547,0.0939078367691742,0.2545946689553873,0.2084050996405974,0.2687367938753749,0.2632507944911279,0.4907710510295589,0.58449669771046,0.2230399273578867,0.5433151894861376,0.6021321151691972,0.5604675998693291,0.3089904026380313,0.2485639180933421,0.5281572293888018,0.2748396337142285,0.3342335007103672,0.4078934756275781,0.2642210423756376,0.471008970030081,0.4902556419598809,0.4720492149173864,0.6634400326166047,0.2441485615225793,0.6235594899995347
