,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0000001192092896,1.2642757892608645,1.5721096992492676,1.1117823123931885,1.4229648113250732,1.443984031677246,1.3385469913482666,1.2325425148010254,1.4525182247161863,1.1702075004577637,1.3883808851242063,1.3761014938354492,1.340869426727295,1.532336711883545,1.1410720348358154,1.382481813430786,1.0470845699310305,1.1548231840133667,1.201916217803955,1.0230073928833008,1.7560999393463137,1.0000003576278689,1.392014503479004,1.0000001192092896,1.4102294445037842,1.0000001192092896,1.0049200057983398,1.028700590133667,1.420297145843506,1.728679060935974
batch_metrics_ASW_batch,0.8271937370300293,0.8800488114356995,0.9658471941947936,0.92078298330307,0.9472641944885254,0.9436832070350648,0.9360702633857728,0.8806636333465576,0.9577059149742126,0.8643319010734558,0.9583298563957214,0.9505276083946228,0.918579876422882,0.9568710923194884,0.8200556635856628,0.9212484359741212,0.9041916728019714,0.8744574189186096,0.9061112999916076,0.8999167084693909,0.6654937863349915,0.6254414916038513,0.9142012000083924,0.6537262797355652,0.888725996017456,0.8368107676506042,0.8934807777404785,0.641059398651123,0.9239515662193298,0.8796350955963135
batch_metrics_PCR_comparison,0.0,0.8463635127021921,0.981401172825187,0.4397815065071869,0.883307693994768,0.0158629032476668,0.0,0.2458629664972099,0.282474594835338,0.0,0.3451357528227572,0.3580349631973909,0.0,0.8301872469864262,0.9807307032831688,0.6598074453912071,0.0,0.2226874303690298,0.9809992468786556,0.0,0.9488738490739403,0.9326590894398644,0.9460577042420154,0.0,0.5248571525499299,0.0,0.0,0.6108274099862485,0.8172047546242193,0.5957944721706528
batch_metrics_kBET,0.3357101952730518,0.4823956148530672,0.6775223959213732,0.4342074144382526,0.6698578284870497,0.6867763413496458,0.6477307020989441,0.5536527733804409,0.6660856600555085,0.6349113291948999,0.6247901333439057,0.6412485955729925,0.6368627596359898,0.6449760954168972,0.4755168214117158,0.6480867702236937,0.5289580237693502,0.4798911150356608,0.487299583938149,0.6287237433875231,0.0,0.5756100833629694,0.5863539183170982,0.4261941605660079,0.6513494899803501,0.3370350742556605,0.4760514888366822,0.5505261133813865,0.6371573065805812,0.5183328035504422
batch_metrics_graph_connectivity,0.8746142941443382,0.8153598925420568,0.384040857057271,0.922236275560942,0.1543422357592299,0.291371766351756,0.3241177729237017,0.6984644148833155,0.2944238923140401,0.1803151360882391,0.2854047560263694,0.305543680496834,0.460473149439873,0.221118615871733,0.7862017329246923,0.3500996540281463,0.7799004868725626,0.8477078671164417,0.7486266726118191,0.3748835902967159,0.0080006752863264,0.544125571859713,0.5711669946540816,0.7250156675314343,0.2435366654956151,0.8607338121010583,0.7684726587189983,0.7941267967329495,0.5149994441086068,0.6671874582991701
bio_metrics_ARI_kmeans,0.1196475164005077,0.1018920165680616,0.0428893180988003,0.1286901812465197,0.0396589242511444,0.0258030003052529,0.0567081352153099,0.0778378306617391,0.0466956116435515,0.0402532612442241,0.0448056349061332,0.0558923842127944,0.0513544695887389,0.0497190339451002,0.1617546006968585,0.0394758337504671,0.086596677573603,0.0816058105159174,0.0695763617374017,0.0963579035046206,0.05064865656937,0.1177944138108905,0.0840285578052764,0.2187355093388124,0.0468831700046294,0.2076207630996824,0.1225483688419941,0.1710228452257108,0.0848263263088569,0.0684935074214626
bio_metrics_ARI_mclust,0.1895483041141846,0.1117364305446451,0.0411625071976759,0.1352811627441837,0.0438917875079139,0.0447604688713684,0.0365410297666269,0.1126606327595614,0.0446171844063591,0.0386525165963182,0.0446885605442726,0.0473185787103381,0.0564723499343101,0.0444834591424974,0.1718123068755015,0.0412431003752268,0.1055831146208491,0.1418851644926586,0.0811286076621239,0.0612510443027318,0.0469863831469344,0.0989124246240862,0.0741409318620835,0.2088684562641354,0.0489149754490038,0.1847051714376157,0.1126010795593111,0.1873588800749397,0.0748788143843486,0.0652861397516714
bio_metrics_ARI_leiden,0.1649204512215542,0.153760965011333,0.0507497247270634,0.1277201548359982,0.0414552001882356,0.0318533232956365,0.059531884276857,0.1175137090256769,0.0420736220570111,0.0170392418818584,0.0435930674436937,0.0572606387611405,0.0573967713579081,0.0574174418653186,0.1592232866991619,0.0458242991918529,0.1133613894520088,0.1180541795662831,0.0979078128148783,0.0992528199442808,0.0338579299428429,0.1319960643527874,0.1008119321525996,0.1797019648385588,0.0488660476205027,0.244437720533642,0.1434739030660873,0.1674869201491636,0.0634640998582512,0.0713142952241343
bio_metrics_NMI_kmeans,0.2977026431884672,0.2559435966802192,0.1047482401967831,0.2689254494751792,0.1001067815331011,0.0700306737101738,0.1158767894384961,0.2036030664014184,0.1171842771570235,0.0822519304774021,0.1082520714571705,0.1291470218506995,0.1339957529209491,0.1234293124656854,0.3085841070454095,0.1185412822752669,0.2043008789489447,0.2214869093572952,0.1810395729340208,0.2313432191532361,0.0813144023699468,0.2588319465440442,0.1927345629238314,0.3939768868954648,0.1105452477201816,0.4443556529150363,0.2929487255791432,0.3703241968265889,0.1661314198566456,0.1973152324526339
bio_metrics_NMI_mclust,0.3921332686556266,0.2624269518359998,0.1041587698611664,0.2648549032502026,0.1137038579570042,0.1099214356041751,0.1041787957709455,0.2307473898231682,0.1157152907028625,0.0859340026747963,0.1086776775679052,0.130132166772516,0.142197108420885,0.1053850360351872,0.2945326484089832,0.1154844937082808,0.2297164443478027,0.3082097805475146,0.207886545778195,0.1514072627439915,0.0895329820717893,0.2365660570664795,0.1780953731431004,0.4107980776431208,0.1128835973390986,0.4373414185353469,0.2573257064730405,0.3822442582758497,0.1459877288233181,0.1905961509564203
bio_metrics_NMI_leiden,0.3946737106296007,0.3236899330962629,0.1013936148822871,0.295092365852161,0.0907047747399525,0.0898293555770003,0.1300214372914404,0.2195329722256188,0.1035222504281303,0.0633081469717774,0.1096714446650618,0.1345924167629225,0.1505329481710698,0.1023769002409972,0.3322188462232758,0.1197828194188671,0.2650253794455846,0.2812691488830677,0.2283856904765931,0.2295773111004242,0.0701828753717088,0.2785943716080052,0.2042733431199385,0.3764714851271556,0.11532918864957,0.4823449236078154,0.3446710634445913,0.3692393208413883,0.1524286209055305,0.1964675460030684
bio_metrics_cLISI,0.9600186944007874,0.9382507801055908,0.8431864976882935,0.933648943901062,0.8468156456947327,0.833339273929596,0.8388561606407166,0.8947018384933472,0.8367639183998108,0.820447564125061,0.8422730565071106,0.8650487065315247,0.8637176156044006,0.8459845185279846,0.9300775527954102,0.845272421836853,0.9229745268821716,0.9366992712020874,0.919408679008484,0.8797764182090759,0.7409670948982239,0.9002050161361694,0.8937222361564636,0.9290658235549928,0.8313732147216797,0.9749632477760316,0.9346122145652772,0.9376487135887146,0.8883534669876099,0.8918119072914124
bio_metrics_isolated_labels,0.4683957099914551,0.5031903982162476,0.482102483510971,0.4714322984218597,0.4679245352745056,0.4684549570083618,0.4560301303863525,0.4449962675571441,0.4768143892288208,0.4376640915870666,0.4785999953746795,0.4647178053855896,0.4786776006221771,0.4709160923957824,0.4878976941108703,0.4647845029830932,0.4631582498550415,0.4628459513187408,0.4651873409748077,0.479922205209732,0.367333173751831,0.3662949502468109,0.465522825717926,0.4876262545585632,0.3986026048660278,0.5266497135162354,0.4988979399204254,0.4794951677322387,0.4673748612403869,0.4816410541534424
bio_metrics_ASW_label,0.4808560013771057,0.4827268719673157,0.4858674705028534,0.4800884127616882,0.4708899855613708,0.4623451232910156,0.4633458256721496,0.4586283266544342,0.478513091802597,0.4240901172161102,0.4810446202754974,0.4668500125408172,0.4810746908187866,0.468073695898056,0.4886281788349151,0.4660265743732452,0.4741066992282867,0.4808253049850464,0.4771033525466919,0.48219895362854,0.3556833863258362,0.4123318791389465,0.4804245233535766,0.446582555770874,0.4137594103813171,0.4943254888057709,0.4980235993862152,0.3846081495285034,0.4681745767593384,0.4646003246307373
