,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.900413990020752,2.5650906562805176,1.684194803237915,2.395686149597168,2.266016960144043,2.3019206523895264,2.3647778034210205,2.5245423316955566,2.502443552017212,2.5008199214935303,2.4615578651428223,2.436779022216797,2.5068204402923584,1.919052243232727,2.587457656860352,1.644782304763794,1.936572313308716,2.182101488113404,2.7954063415527344,2.3746652603149414,2.583799362182617,2.4180941581726074,2.550891399383545,2.599379062652588,1.4444828033447266,2.073059558868408,2.179443836212158,2.3131465911865234,2.182886838912964
batch_metrics_ASW_batch,0.9219449162483216,0.9808245897293092,0.957707941532135,0.9822126030921936,0.927088499069214,0.943105399608612,0.9154906868934632,0.9326422214508056,0.939876139163971,0.9760940074920654,0.9706559777259828,0.9428412318229676,0.9785855412483216,0.9312236309051514,0.9505226612091064,0.903682291507721,0.9439491629600524,0.9685381650924684,0.8388753533363342,0.9378378987312316,0.8954589366912842,0.9579085111618042,0.935822367668152,0.9351893663406372,0.950087547302246,0.9447981715202332,0.8247285485267639,0.9516093134880066,0.9349434971809388
batch_metrics_PCR_comparison,0.7459921594905835,0.9262972224051684,0.0,0.4813001772932871,0.0,0.0,0.7149337658623566,0.0,0.8050727494780876,0.1589629027830758,0.6126942612403988,0.0,0.9257473634751076,0.5348596792808196,0.781257809899693,0.0,0.9231425146738816,0.0,0.8953475872244517,0.9047543199491856,0.2214409510805784,0.5977359412965174,0.6006980343032232,0.8080084319290579,0.0,0.0,0.4769285783429907,0.8838158214036448,0.0174745497276508
batch_metrics_kBET,0.1985972093054417,0.6300771280689985,0.2984016485524801,0.6438081749553474,0.3482447446087439,0.3630638986191995,0.407582406633679,0.4430701626499324,0.4135839519283959,0.5639402858301941,0.6283839775342028,0.5072198578988792,0.6681757963660451,0.2613074918559693,0.5492108651504102,0.147507780290686,0.3138621799779588,0.4850345946756638,0.0,0.5316035939479419,0.4614546008503524,0.4821050794613347,0.5022431510239275,0.613448960398162,0.1276757754384822,0.3412554541298716,0.2862358359821822,0.5349155431750824,0.2451057542355878
batch_metrics_graph_connectivity,0.7871372209153713,0.5328910656443748,0.8370296464760494,0.3003438675919755,0.432478112847391,0.4635330036011336,0.7017917031816405,0.4141600401587839,0.4109735454764598,0.4283448142186672,0.4670727286555211,0.5745150528968488,0.4125931731031826,0.7415984671826128,0.5021136151103505,0.7916262580595811,0.7533285721328532,0.4504316204668169,0.0048513622005092,0.6599705126177575,0.6268271126773861,0.6264666284317403,0.6674111446848063,0.3898338678808897,0.7867318201491347,0.6913027551646432,0.6794546656701819,0.5928750192207581,0.664429886176354
bio_metrics_ARI_kmeans,0.287855411924604,0.0992160455257979,0.3405260583513642,0.1775594635171431,0.0390916283977645,0.1308443365366116,0.2183405293140315,0.0232011133887621,0.1613782385572826,0.1380863102642069,0.1996974651203488,0.2143539109128186,0.1695177708716408,0.3352826983435324,0.2013204090224716,0.2784425074952575,0.2242421247198813,0.2359636820411277,0.013559806308392,0.3121004320188001,0.2892345719593627,0.2352375802509128,0.4118025001983109,0.1473659946196868,0.4002196082764873,0.3993095726835101,0.3641082574028871,0.2168584291846854,0.2690087720519274
bio_metrics_ARI_mclust,0.2731391593898559,0.1504322721867396,0.2885552145180465,0.1705481110268079,0.0711876130902901,0.1573529525990354,0.2484504159279049,0.0202830477231942,0.1523064795131172,0.1414372787767868,0.2051201395824993,0.2204336921515659,0.1890057174863412,0.2669349666351548,0.1343275091439137,0.3343847381229031,0.2673956523336119,0.2251016021362701,0.0100251658328662,0.3043946301223346,0.1931647527190225,0.244997748857446,0.402819508650403,0.1590068830142281,0.3563294198052923,0.3704439948367725,0.4028316044968897,0.2178900938471284,0.2659207803824587
bio_metrics_ARI_leiden,0.3244669381373453,0.1729320304549168,0.3293634611059043,0.2044524155897442,0.0782149480640245,0.1688921896374668,0.2812911635551899,0.1101576620146579,0.1611692256152986,0.1764643843062879,0.2093269453974984,0.2129288822953991,0.2083684897770936,0.288693288698909,0.1374349138224249,0.2923913719343238,0.3065387721218087,0.2309774749082701,0.0158177275904128,0.3112667455998422,0.2498272956942571,0.26489302938878,0.3474002019751978,0.1475211691424459,0.4085320176118817,0.2745675435000266,0.4112721227609236,0.2274463619781996,0.2723551014110337
bio_metrics_NMI_kmeans,0.3602408298536844,0.1553006960930974,0.4079457817702918,0.2244661978916242,0.0594182299042097,0.1804255041172499,0.3235934091477738,0.0366288102212595,0.1814883977001683,0.1972486590296775,0.2338729851494765,0.2431120962058315,0.223886437635042,0.4325906208654991,0.2273071246280181,0.346132215345334,0.306010554298057,0.2990558911581384,0.02046798058702,0.4018509497556154,0.3963852486264514,0.3047010605952082,0.4811811450174612,0.2155696445841854,0.4927487266820589,0.4496978392508427,0.5024033785850879,0.2771283343139138,0.3011559787846473
bio_metrics_NMI_mclust,0.347072151540185,0.2123105227384932,0.3807694577345711,0.2259042962190389,0.1226564464519546,0.1905340530963782,0.3808209298457909,0.0324608731468931,0.176971006692899,0.2069348887242119,0.2446363850378567,0.2455489095680117,0.2299148263307709,0.4068249014416847,0.234818936854365,0.4500489471318045,0.355539596569238,0.2550276866212286,0.0187892151268601,0.389331698129547,0.2770085818813844,0.3034911425856537,0.4705832482658246,0.2286050836287793,0.4476782405729922,0.4591050228836935,0.5050097263851624,0.2469271474737927,0.3036781328539593
