,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,2.885878562927246,6.624482154846191,10.419161796569824,1.454824924468994,1.465140461921692,9.21071720123291,9.30195426940918,4.8971266746521,11.013503074645996,9.365161895751951,8.68580150604248,5.8871684074401855,8.738311767578125,9.451212882995604,2.1145553588867188,8.526864051818848,10.72804832458496,5.397650241851807,6.512874603271484,6.977518081665039,3.582777500152588,3.6435084342956543,6.0843586921691895,5.191625118255615,3.496056079864502,6.9281392097473145,6.810104846954346,5.151492595672607,1.7755351066589355,10.020573616027832,8.817922592163086,2.663713932037353,8.574175834655762,3.232921838760376,5.170423030853272,10.634576797485352,5.569514751434326,14.567863464355469,9.348822593688965,9.935994148254396
batch_metrics_ASW_batch,0.7002190947532654,0.7714243531227112,0.8788208365440369,0.8031302094459534,0.7992839813232422,0.8244677782058716,0.8053625226020813,0.7827548384666443,0.7323337197303772,0.756298840045929,0.9112434387207032,0.8858272433280945,0.8261039853096008,0.8172717690467834,0.7708401083946228,0.7683138251304626,0.5159695744514465,0.6921523213386536,0.72226881980896,0.7612966895103455,0.8127580881118774,0.8265507221221924,0.7838897109031677,0.8395231366157532,0.7557160258293152,0.8013470768928528,0.7960532903671265,0.8444933295249939,0.2630543410778045,0.5425099730491638,0.7364376783370972,0.8912250995635986,0.8354255557060242,0.8882620930671692,0.7514908909797668,0.5400218963623047,0.8958232998847961,0.4295388460159302,0.7533285021781921,0.6948078274726868
batch_metrics_PCR_comparison,0.1525717527595831,0.9896515020532202,0.9996874576803512,0.3377105645186117,0.4529967899318445,0.638406552393198,0.5112251233711272,0.8647081112892927,0.9905480998217652,0.5786870905204037,0.6843268192418578,0.0,0.6596055162476466,0.584240960213786,0.5958282707491985,0.9878685616223938,0.6387617029153688,0.3580672503081529,0.3435111564761295,0.7342126937025651,0.6473615590640146,0.863708388357076,0.0288092922057594,0.0609730636540243,0.9084058387337562,0.566324589905697,0.161376431167047,0.3258689753249749,0.9987158881790656,0.7085994763298954,0.9997763316173648,0.1173441633652421,0.4496716167045086,0.9999998916612916,0.079825987038985,0.8199371859748528,0.4882131047064341,0.993894690953477,0.5738617992006353,0.9719547491933024
batch_metrics_kBET,0.1614779736969555,0.1931442656478399,0.5051133875626826,0.0542511495619746,0.0897692417674617,0.6126576696047761,0.6081393543651266,0.2583491103472321,0.593901503701843,0.6650154168722732,0.631124247407571,0.450128437746369,0.6060352928815576,0.7403264886473518,0.1180497828447744,0.5355652110072313,0.1932114587580114,0.2553609003124557,0.4719876002690234,0.4371953584517025,0.223444433121783,0.2686421241813423,0.3774346039253924,0.2974483005680507,0.2078905368640698,0.4266985419855882,0.4320740708052789,0.3371734557687456,0.1216690853048046,0.724467322519935,0.5293862468263856,0.1512693217012941,0.5667039330452555,0.2091099086772325,0.3056989454848586,0.4452211964844916,0.3409605599350761,0.0461200359055313,0.6576578766225798,0.35985142437417
batch_metrics_graph_connectivity,0.7216809643557249,0.10476606416198,0.0834065854177111,0.6908730891854613,0.5940216857619398,0.5097450778711622,0.5066359865518816,0.7758548973872266,0.0747480115017231,0.5233653627019529,0.5808919164346161,0.6359002265929505,0.7956233451630376,0.6276410108432312,0.6950257458965995,0.7627120021103451,0.0879113284573013,0.7005185370731586,0.7860479874305418,0.7477202590196955,0.8610296267544267,0.8615258856070217,0.8130384955315784,0.8006714803435534,0.817362153977987,0.827365503526588,0.8251254951580079,0.8361635976283623,0.0031816734442433,0.5080110469053196,0.097015322786433,0.6807044351121107,0.6006428173211668,0.8599900828290326,0.8260806621074084,0.1081602795988962,0.8629648653981891,0.0143632752928698,0.7179902534224513,0.3158733662958866
bio_metrics_ARI_kmeans,0.1137095016334439,0.0024313603728155,0.0015899695665337,0.2196864955783935,0.2531558920838138,0.0663430623547518,0.1141203689681021,0.2073330555665926,0.003115097274685,0.1591539740417134,0.1411483783516421,0.3630813829634718,0.3148537473492579,0.3495300505944834,0.0915289726250878,0.0949470099977727,0.0073002685628952,0.3886772764459091,0.1986945147050053,0.1357179055407994,0.2765719456273195,0.3187583565301224,0.3613045551903218,0.3100690067484252,0.4033446735729296,0.356989071375878,0.2754394667830982,0.3422452212047417,-0.0006839126127026,0.2259303986125047,0.0243662994528531,0.2531632721246034,0.1941460750879361,0.2622253063759569,0.3678681696365453,0.0621677101398955,0.342624048309063,0.0069687495295602,0.418760276505189,0.1736796875905086
bio_metrics_ARI_mclust,0.2877130551433063,0.0022518291393375,0.0021723260341631,0.3489157416135466,0.3329949951591072,0.0954480831392953,0.1569742215600649,0.2272162428115454,0.010936212701151,0.1851468986642747,0.1860997258346285,0.3222024271720128,0.3060170987130025,0.2576644266941296,0.2773277837904881,0.298010081674437,0.4100246873459526,0.3923250323979989,0.1624566076908461,0.2865882729057403,0.3368582329448717,0.3574714596512484,0.3928776997151428,0.3704543562270478,0.4988474981723225,0.363937872994185,0.3203611732882782,0.3417146882664736,-0.00062975497295,0.2202128704870641,0.0291058791556059,0.2768196886562449,0.2592794932059838,0.2877606768015829,0.5949136893506429,0.1146193617297051,0.379141314289901,0.007902075798191,0.4365320185656504,0.1831161199470914
bio_metrics_ARI_leiden,0.159164029216147,0.0026802420619963,0.0019780197565331,0.232162420459597,0.301683466913316,0.0833523545642132,0.1251235316899304,0.2480938667824183,0.0047471150978544,0.130215824604668,0.1829898280742173,0.315315736605339,0.3324258496558299,0.3004045697356641,0.1437939900558396,0.1611255731684492,0.0085460805746697,0.2519785995872177,0.2831029638208934,0.1926592674852548,0.3255908601707566,0.4007639899252486,0.3008535551104487,0.2952020606746785,0.3737222981080956,0.4072850886429525,0.3397885091260578,0.3813170749215695,2.9559103064130173e-06,0.265440214006496,0.0202258966342689,0.1599760244649054,0.1856174329474526,0.4254318528836681,0.3416265771071013,0.0524042867625748,0.3831301736829057,0.0042631122376322,0.3866213648071557,0.1266607410775661
bio_metrics_NMI_kmeans,0.2336973350736551,0.0097528608066734,0.0078466871556415,0.375148764251424,0.3726461915709994,0.1297687106854443,0.208167454506544,0.3694874875720514,0.0059176226837839,0.2371838347995191,0.2569472379834522,0.5006899330113576,0.4599534671690775,0.4833265443838606,0.2200682401987448,0.2329908131131448,0.0291138150202451,0.4279161551332331,0.4745228025971714,0.2568953550012414,0.4803678095642822,0.5037622815894862,0.4998850797175853,0.4587385786626964,0.5061391445741297,0.5453304010042209,0.487256360107617,0.5446732204605441,0.0025310379888005,0.441362529347938,0.0495327063842319,0.4598149576210589,0.2812344807114085,0.4408556915017764,0.4776633542278852,0.1271495583283757,0.547094517036722,0.0111700592109514,0.4816476265314107,0.1828755074380502
bio_metrics_NMI_mclust,0.4589618071421709,0.0111113386850693,0.0083625460967513,0.4505608098359003,0.4101241036746877,0.2004891865997649,0.2739534640273657,0.3986817478497992,0.0097853008984291,0.2575063879966704,0.2944300828495443,0.5305955201088998,0.5029690654771068,0.4918771291874249,0.448050729032854,0.5421429849859531,0.5176735820881534,0.4691117644993832,0.4557706682116697,0.4750874363261863,0.5518044432865822,0.5683118165940819,0.5464920144756233,0.4923765504432124,0.5358007575184704,0.5533133612940231,0.5311639852857419,0.5637356865058097,0.0026172612193417,0.4579619025580992,0.0493764290914749,0.5044283521625725,0.3218407072868616,0.4204229078920448,0.5626662690747195,0.1870312872302193,0.5798484004016204,0.011880447783556,0.4955884753831545,0.1828497667478698
