,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0616135597229004,1.6215742826461792,2.502896308898926,1.593677282333374,2.1904447078704834,2.4063925743103027,2.2637672424316406,2.09964370727539,2.5850205421447754,2.391470193862915,2.3778817653656006,2.1830575466156006,2.2701339721679688,2.356518745422364,1.0506069660186768,1.3221772909164429,2.287108421325684,1.815255641937256,1.5785362720489502,1.6479926109313965,2.1876139640808105,2.6556077003479004,1.4109532833099363,2.1470305919647217,2.1007537841796875,1.997295618057251,1.969642877578736,1.228925704956055,2.630476951599121,1.755537986755371,1.5909361839294434,1.99080491065979,2.5652575492858887
batch_metrics_ASW_batch,0.8596138954162598,0.9313939213752748,0.9822299480438232,0.980705201625824,0.9851329922676086,0.951386034488678,0.9617441296577454,0.9063273072242736,0.949443519115448,0.9430956244468688,0.9648728370666504,0.9724626541137696,0.9660580158233644,0.9518234729766846,0.9094645380973816,0.9249897003173828,0.9694671034812928,0.9442972540855408,0.9424808025360109,0.9462950825691224,0.967319667339325,0.8194807171821594,0.8599352836608887,0.8791084289550781,0.9351778626441956,0.8853960633277893,0.9420029520988464,0.9425727725028992,0.9404199719429016,0.9549861550331116,0.9069384932518004,0.8142762780189514,0.8893499970436096
batch_metrics_PCR_comparison,0.0,0.8946835088522225,0.9924617095735344,0.8207591583910782,0.9546014794117526,0.9246404199695476,0.5335454341901262,0.8781356491335108,0.7473140050597048,0.8444496462801093,0.6349849170540927,0.5847190084199488,0.2126611800847784,0.8709724004577651,0.0,0.9499461505038912,0.3776881246155986,0.0,0.0,0.50100714464682,0.0,0.6348659378480405,0.0,0.0,0.6721598629966756,0.7989810783696285,0.5799023086649241,0.0,0.8841295546689467,0.0,0.0203381367234588,0.9576763873794998,0.8616083946213228
batch_metrics_kBET,0.0091187848355762,0.0676975534799571,0.6112762999752664,0.1022970193372966,0.5296987950996738,0.4316478667399059,0.4067879468245453,0.1999993644200967,0.6887576407234032,0.5065690470767072,0.4731627923790462,0.3874950662212813,0.4358946903865833,0.5890890789784059,0.0097555953095029,0.0241491262089334,0.5433575444465842,0.1950025572009094,0.0968782147116188,0.1691683715486845,0.6707632417949553,0.5031644845552147,0.0923127187952179,0.2218688973238402,0.2536956034262276,0.2720174933493652,0.3759147783852521,0.038105208052444,0.1776435903620776,0.1983121805466088,0.0914626568224789,0.2095941617842048,0.0818171787830554
batch_metrics_graph_connectivity,0.9895182462195103,0.9549591398374474,0.7228607802154862,0.9957220927832634,0.3278138480920144,0.6155658909644105,0.8060870176609907,0.9250851104464736,0.5764894352548909,0.3477663207252142,0.6301713459315493,0.6055113284981749,0.7837196495029687,0.5818318317773519,0.9973837531335622,0.9853924064832243,0.7761949747147167,0.9552808710635802,0.9929651789984208,0.9564104142136544,0.6665300538451728,0.325396348486293,0.907117390091197,0.9138522312984624,0.8431423359839494,0.8410420143304634,0.5445398073546711,0.9354697186913256,0.9329576209601028,0.922298986080952,0.971684200391271,0.6025398385490993,0.7498549868972684
bio_metrics_ARI_kmeans,0.4645617334179069,0.1547280515530617,0.0643174998626257,0.2616373329678216,0.122144109687386,0.0246096492728482,0.179678682388454,0.0389762895823784,0.0022352512499883,0.0398563486003689,0.068165242224194,0.1767367878376576,0.2761541415250128,0.1332747875807366,0.3660104814296116,0.1992203578514398,0.1962817621569372,0.1645816793681147,0.4542937858362939,0.2313064768667752,0.5417083202293389,0.4459982056910358,0.4876092071708109,0.6327870677984124,0.2144562821622921,-1.5108076131736718e-05,0.0969063580289218,0.5010010427988859,0.0183151124276312,0.5015443453307787,0.4029081878115655,0.2253377647919883,0.0334672782105886
bio_metrics_ARI_mclust,0.4785745748679132,0.0789681739998284,0.0410847850916784,0.3228673138133583,0.0009757945160225,0.0263768477839925,0.2286260186141885,-0.0041754523370094,-0.0009520348109222,0.0945752728399171,0.0259218667624182,0.1285241751958896,0.3162520790174975,0.1560605428333416,0.5868055399716207,0.1651985118596363,0.1688666796978809,0.1479131287282294,0.5476820065542899,0.1721067226710964,0.583442714129686,0.4453921293464292,0.5015465778027538,0.5978377001698049,0.1652243305280594,0.396683838580856,0.0804987247126605,0.5530757053094956,-0.0106943421140012,0.6164675928502678,0.0419302324580889,0.0499789833677698,0.0253783802409501
bio_metrics_ARI_leiden,0.5725843100702861,0.4775427508177871,0.1069306293955437,0.4161497240727193,0.0035213308890733,0.0187223402687611,0.2127184847128513,0.1062081503517443,0.0187283265647718,0.0398937616365142,0.0093837716304477,0.2192752456248415,0.2972855150430968,0.1829779029999852,0.6057268638781834,0.5521238818063645,0.2165924571430006,0.4388444447771044,0.4529210624202789,0.4740975797782924,0.5992407969770606,0.1720311886062951,0.4143530235439349,0.5305707483870197,0.3168162755454365,0.3353486154552945,0.03239713905829,0.5998796508456823,0.0117328682560354,0.5795605604504961,0.6330606902373063,0.3565845008779394,0.028935884401311
bio_metrics_NMI_kmeans,0.4839991016535702,0.1555191750271247,0.055012502629639,0.3292249958688465,0.1444752407114873,0.0220294272400634,0.206671078816677,0.0314079554115438,0.0130399581667857,0.0526938643032418,0.1243886098086949,0.1657091044192057,0.2481373521052384,0.1757020256739749,0.3369456898815773,0.2612973266676388,0.219399012712193,0.2204660572250499,0.38792557348668,0.2577996976069494,0.4990443412058735,0.4556751699649414,0.4534393803440448,0.566661385623647,0.2265117979349314,9.728127701679512e-06,0.1357039390780371,0.4453260538952879,0.0235560851787509,0.4518354156656637,0.4517827064608463,0.1759678993926513,0.0297861155012616
bio_metrics_NMI_mclust,0.5025576995995664,0.1159601589814334,0.1157027204030932,0.2985095580330146,0.0618627750658601,0.0297057940769998,0.2630609249296076,0.0059397851088608,0.0139668295687917,0.0565752259452578,0.0886597746706882,0.1791254027507162,0.2805303876201037,0.1922212435819154,0.5139495049786507,0.2556474585246808,0.2572872914822882,0.23254631567264,0.4972288335577109,0.2392668048675544,0.5189318063353273,0.4550293818459822,0.4612875701111197,0.5478496781583084,0.2371985525104723,0.4038048463271715,0.1360182437112181,0.4996997329234965,0.035013189282533,0.5318567337737377,0.2373070434158566,0.0520745279067617,0.03211902056951
