,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STACI,INSTINCT,stClinic,STAligner,STAIG,STAGATE,SPIRAL,spCLUE,SpaVAE,SpaBatch,SEDR,scNiche,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_CHAOS_kmeans_mean,0.0443942286074161,0.0429430194199085,0.0596161354333162,0.0426308345049619,0.0517132077366113,0.0603300333023071,0.0588960368186235,0.0377881824970245,0.0599682163447141,0.0454422179609537,0.0495635643601417,0.0420482736080884,0.054108103737235,0.0631779804825782,0.0446444638073444,0.0614677034318447,0.0509764477610588,0.0553846918046474,0.0509653910994529,0.0452757533639669,0.0384289268404245,0.0473338849842548,0.0454976055771112,0.0438431780785322,0.058630621060729,0.0606507714837789,0.0360714644193649,0.0571163445711135,0.0446991827338933
downstream_metrics_CHAOS_kmeans_std,0.0037312023341655,0.0034370645880699,0.0039759334176778,0.0031302403658628,0.0031015183776617,0.0036306157708168,0.0042158644646406,0.0039717219769954,0.0037733409553766,0.0037264060229063,0.0044159069657325,0.0039252359420061,0.0036079231649637,0.0040329098701477,0.0042061135172843,0.0040542297065258,0.0030647106468677,0.0032024756073951,0.0043012239038944,0.0038123708218336,0.0030096787959337,0.0047026649117469,0.002406882122159,0.0041200127452611,0.0039365235716104,0.0035901982337236,0.0033684149384498,0.0037518441677093,0.0039564613252878
downstream_metrics_PAS_kmeans_mean,0.3106105785798744,0.2514558078740554,0.8217523938067688,0.2581137267744949,0.5384769698138278,0.822085945793886,0.7076078517055802,0.0937624244279878,0.8102096056512799,0.3643479757084366,0.5325696034421338,0.240774312152984,0.7514311406912754,0.83183020968478,0.1758611067240398,0.8848548019374598,0.5002577337068211,0.6109821365995105,0.315159150563962,0.3618959931451877,0.0988030481693962,0.5613960931058171,0.2700198613211791,0.2412388303282164,0.7189300886016138,0.8227130412932677,0.0232540479210288,0.6481659162352533,0.3954490945246444
downstream_metrics_PAS_kmeans_std,0.0008334762495805,0.0006959294546025,0.0158869172367975,0.0126562833572173,0.0220600109359189,0.0018755536995283,0.0128256835191567,0.0127087263530131,0.0090444587414521,0.0054320689201894,0.0064804443742513,0.0013736108460028,0.0112334996329394,0.014201030353473,0.0147668818000277,0.0133214898558531,0.0316571599102001,0.0384606192262239,0.0492017037554514,0.0037399647763934,0.0184715212328326,0.0006058195495861,0.0615404223667641,0.0137818901053187,0.0115663652990954,0.0136598057178771,0.0003021830820106,0.015714529560086,0.0144967135722634
downstream_metrics_CHAOS_mclust_mean,0.0426085777580738,0.0425079017877578,0.0584550518542528,0.040485929697752,0.0489743817597627,0.0575919933617115,0.0547985062003135,0.0362344142049551,0.0585848484188318,0.0452502388507127,0.04429348744452,0.0414593834429979,0.0507691036909818,0.0582607928663492,0.0446879994124174,0.0576143357902765,0.051175570115447,0.0511569492518901,0.0419968143105506,0.0386431366205215,0.03898885846138,0.0458721965551376,0.0475988499820232,0.0392847154289484,0.0548654124140739,0.0577778965234756,0.0359248220920562,0.0500198137015104,0.0515546537935733
downstream_metrics_CHAOS_mclust_std,0.0037790648639202,0.0035749040544033,0.0034781713038682,0.0042134784162044,0.0037808176130056,0.0059384368360042,0.003511868417263,0.0034979004412889,0.0044954251497983,0.0036191623657941,0.0041945967823266,0.0045239981263875,0.0032678004354238,0.0043291505426168,0.0042198579758405,0.0036475118249654,0.0035495180636644,0.0032957643270492,0.0053021647036075,0.0036629922688007,0.0033650211989879,0.0041459985077381,0.0028685666620731,0.0036937352269887,0.0036382935941219,0.0040514282882213,0.0034147314727306,0.0039823930710554,0.0038994550704956
downstream_metrics_PAS_mclust_mean,0.2557351805540887,0.2369860626783829,0.700297160827448,0.1671034090288833,0.3413151653678244,0.6729794872391133,0.403271619352507,0.0414818040971907,0.6218480104282029,0.3617106864856781,0.187696065749871,0.217118039776902,0.5871021235900948,0.6051647993891904,0.1727481567033856,0.589798759390082,0.4856267838289216,0.3443417196910167,0.1797634873372975,0.0963633386398055,0.1243274054580764,0.4612654175948149,0.2854779894445451,0.1175626223468042,0.3689454379680507,0.6313737820225249,0.0179176198453662,0.3284831838445536,0.2896404857020772
downstream_metrics_PAS_mclust_std,0.0072549373929944,0.0036421034816981,0.0350118563964629,0.008542112169714,0.0132947637101897,0.0876198114539055,0.0207405387022042,0.0025911442310766,0.055232002322833,0.004044126077645,0.001019267370945,0.0114442809116538,0.0019957406113714,0.0352559847995248,0.0037969294161685,0.000892984314094,0.0460348169816152,0.020146628839885,0.0599559898702255,0.0021384146276474,0.0051052186553987,0.0210425199251086,0.0374703388229321,0.0048473234612926,0.0307995413115157,0.0163788478786545,6.616941501876895e-05,0.0218207675232275,0.0001268078905271
downstream_metrics_CHAOS_leiden_mean,0.0390101931989192,0.0430838782340288,0.056860601529479,0.0413200631737709,0.0526204388588666,0.0560178086161613,0.0594780836254358,0.0361997839063406,0.0601950120180845,0.0444419179111719,0.0481111351400613,0.041897127404809,0.0524742510169744,0.0626363083720207,0.043671054765582,0.061556177213788,0.0522494744509458,0.0560824796557426,0.0480259712785482,0.0430461503565311,0.0380071066319942,0.0467321630567312,0.041804114356637,0.0445263814181089,0.0575559008866548,0.0596525594592094,0.0360492132604122,0.0555411968380212,0.0471422597765922
downstream_metrics_CHAOS_leiden_std,0.0033550970256328,0.0037810038775205,0.0043817963451147,0.0032608658075332,0.0037247519940137,0.0045218095183372,0.0039698313921689,0.0031280536204576,0.0041844341903924,0.0034462120383977,0.0039836894720792,0.0037621688097715,0.0040196608752012,0.0048973932862281,0.0041628088802099,0.0037273075431585,0.0042578149586915,0.0040285699069499,0.0022861380130052,0.0040540769696235,0.0032394230365753,0.0043079946190118,0.0024696793407201,0.0032750163227319,0.0042008887976408,0.0040612369775772,0.0034361518919467,0.0042990650981664,0.004063107073307
downstream_metrics_PAS_leiden_mean,0.0992607435068385,0.229426842868673,0.5592308312170424,0.1836508900048736,0.5416956536343198,0.5243407766052725,0.7614268806566977,0.0129086072399917,0.7232986022629536,0.3112574562716655,0.5198012882809646,0.2373876008124748,0.7463188973389803,0.7829547102449794,0.1770923261565154,0.8801843474250368,0.5478506203857026,0.6345604106169493,0.3491629225839645,0.248667083949811,0.0853680731240264,0.5532129671706039,0.1309162078005464,0.3031711823356164,0.5582701837305436,0.699381527921636,0.0270948211350682,0.5538796270548045,0.0729128414366038
downstream_metrics_PAS_leiden_std,0.0040226482687432,0.0030959534839105,0.0195432315995735,0.020756404827953,0.0284664537618301,0.0123866803349504,0.0052904445712658,0.0030301877871042,0.0535504352243817,0.0144770928671389,0.0113537269166037,0.0023318763950482,0.0082236592437421,0.0286487325347464,0.021823835781642,0.0134326738515589,0.0215516085909943,0.0088033178531621,0.0224176245284975,0.0120916026934787,0.0174688063085976,0.0141629193542188,0.0387899725439318,0.0085916483943803,0.0217703431184939,0.0146508935575939,0.0012739731911728,0.0329998055693088,0.0007243915885794
downstream_metrics_average_confidence_score_mean,0.982630968093872,0.9193223118782043,0.7174655795097351,0.6567232012748718,0.6374845504760742,0.759653627872467,0.6772025227546692,0.5313572287559509,0.8716263771057129,0.8935529589653015,0.6603797674179077,0.9586725234985352,0.628744900226593,0.8902834057807922,0.7590370178222656,0.9019849896430968,0.919760525226593,0.8617718815803528,0.9837051630020142,0.803191065788269,0.5108506679534912,0.8156969547271729,0.5669366121292114,0.974238932132721,0.8093926906585693,0.734660804271698,0.9960439205169678,0.7518327832221985,0.8471772074699402
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.0189923487919414,0.0049749097513427,0.4631096967782392,0.0561594881707928,0.4054540032929974,0.471152918205459,0.5019795325210171,0.0387458708712906,0.4100897159879054,0.1219616622304749,0.052581537486279,0.0385144221840672,0.0264134542258502,0.2593629756509537,0.1213522188218943,0.1888211257624894,0.2434191129121501,0.3171053053761564,0.0225931156082188,0.0088068429909332,0.0098788842004718,0.0967768881570227,0.3441561896528892,0.3518861575374492,0.4590878341260967,0.3224334926937467,0.0052630531202881,0.341407928034677,0.1065588211228712
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.3439591966847306,0.4297099139305068,0.299330570608862,0.4660503665922856,0.3356710232706407,0.3050685368186165,0.3057060886197003,0.62958240357029,0.302837105514823,0.3704175964297099,0.3398151099776857,0.4835830411220911,0.2856232068855595,0.3041122091169908,0.4590372967803634,0.4437360535543513,0.3850812878546382,0.4501115715651896,0.4775262990117947,0.2524705132291999,0.3930506853681861,0.3758367867389225,0.4992030602486452,0.3471469556901498,0.3079375199234938,0.3965572202741472,0.7886515779407077,0.3653171820210392,0.3363085750717245
