,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.010833501815796,1.3933533430099487,1.1163289546966553,1.2749314308166504,1.0213687419891355,1.0401666164398191,1.1797274351119995,1.1399661302566528,1.1036731004714966,1.004131555557251,1.068671464920044,1.091607689857483,1.198347091674805,1.0,1.0000001192092896,1.0819389820098877,1.0117429494857788,1.0086729526519775,1.0080931186676023,1.000000238418579,1.0000001192092896,1.0,1.0000001192092896,1.0051124095916748,1.0000004768371582,1.3719708919525146,1.0939937829971311,1.0,1.0,1.0,1.0,1.0000003576278689,1.2032145261764526,1.1265324354171753,1.0
batch_metrics_ASW_batch,0.6262553334236145,0.8481473922729492,0.961736798286438,0.9366880059242249,0.9803993105888368,0.8486095666885376,0.9282885193824768,0.8301295042037964,0.9405218958854676,0.8742161989212036,0.922210693359375,0.9478330016136168,0.9341934323310852,0.9473751783370972,0.6366628408432007,0.7747060060501099,0.9120101928710938,0.8905783295631409,0.8206917643547058,0.8791065812110901,0.8631632924079895,0.665894091129303,0.6432238817214966,0.4083233773708343,0.8798343539237976,0.8513846397399902,0.7939282655715942,0.8948625326156616,0.5787254571914673,0.7220260500907898,0.7716647982597351,0.5769624710083008,0.8862958550453186,0.8987715840339661,0.9142308831214904,0.3379766643047333
batch_metrics_PCR_comparison,0.0,0.9385864473607984,0.9948004498452812,0.8231503674570939,0.967702550519133,0.0,0.339488632207604,0.7152566230930062,0.4450486773124576,0.0,0.2182451122267039,0.4844007309935532,0.6395668400913567,0.7724219632782825,0.0,0.9008403909633468,0.7457569662948306,0.0,0.26855990407904,0.8828049376004663,0.0,0.0,0.540335723360019,0.0,0.805603464670693,0.966275801579606,0.0,0.3498039975259039,0.0,0.0,0.9999997666561206,0.0,0.3174408554707775,0.5179680052805682,0.66738930205096,0.0
batch_metrics_kBET,0.137922657183153,0.2893329072421932,0.5063477838089706,0.2811335980858276,0.4460874067707368,0.3162022432156983,0.3752934368157091,0.3428731131008075,0.4482797117707422,0.2714542703424292,0.3102763959992699,0.3886569665240383,0.3709183008416591,0.5341969737494855,0.2790955369845284,0.2746799676304255,0.4700894796777972,0.2866027476021741,0.2996506616521624,0.2839621226516325,0.2827278479235925,0.2892574589047244,0.280421384662174,0.1378781334845837,0.3261757199442044,0.2941961472848721,0.2006549982276407,0.5578018957504629,0.2780727658375737,0.136587240584166,0.2737945394946236,0.1374404573277877,0.28998324848379,0.2513238884944448,0.4211397239450239,0.1367682734528009
batch_metrics_graph_connectivity,0.696638038447167,0.8745859198997702,0.5884954991189021,0.9136700370965376,0.2819756561281806,0.5735644591772053,0.5531914647549551,0.8048782613602827,0.4815406921522391,0.3952428729929599,0.5740507823042781,0.5286860142882657,0.6678422780243267,0.3128724016992164,0.7018222604080179,0.8232703344166309,0.5335164090059846,0.8393304558644454,0.8870065175735999,0.8328015346853184,0.5937012256522136,0.2712022630471859,0.7409874163100469,0.6402548431494486,0.7825297281897124,0.6092386128691039,0.1304731454509768,0.3933090731317323,0.5941579346498241,0.6945102664696043,0.7459905752942906,0.6769044853164904,0.8098916901309611,0.1098076091387374,0.6227074176382661,0.5995657984624087
bio_metrics_ARI_kmeans,0.4306033528171603,0.3331576280894303,0.1320760698591787,0.2577647620727905,0.1147959288710735,0.1587439426326348,0.1927241118435576,0.1345442912192839,0.0676888460832579,0.1561271108155105,0.1504396228590422,0.0738159433208516,0.214809931897036,0.2266496567833065,0.3638584569125236,0.3057152196808715,0.0467929713254743,0.2737637673599891,0.3698395122367736,0.2371853322243133,0.2374541583109946,0.3452384164996726,0.4811484391610915,0.378494988928149,0.2900889288443367,0.213816357613977,0.0287968140832195,0.1906616839451222,0.6096736964110077,0.38766383666039,0.5256846592547738,0.4278837632122534,0.5255178673626564,0.0035356944905809,0.154140952706869,0.3503137256210946
bio_metrics_ARI_mclust,0.5182562350889048,0.3601209963174718,0.1535960509581043,0.3347445583561546,0.1113266916481004,0.1146227417108201,0.1757552928278211,0.1879593209604956,0.069463289766379,0.1356520678156873,0.2125677695093637,0.1233683664614731,0.2505013737942127,0.2451547944540002,0.4359669001172629,0.4636741152468212,0.1203192297184204,0.3461083750503221,0.467112008582871,0.3530680746563351,0.1818497806445844,0.20522682601489,0.6150504161997067,0.4166334170430248,0.1887815205558342,0.2665534206806008,0.0284373076809404,0.2244684653212597,0.5262489843112541,0.4964270241812414,0.6274741567858723,0.3773476918006214,0.6804165003834681,0.0107815305242874,0.2114857651234832,0.3144924318940067
bio_metrics_ARI_leiden,0.6197067535363395,0.5372096095095568,0.1316882628974482,0.4694327779556906,0.1696541596236514,0.1419008377841903,0.1500965222296463,0.1950730612554491,0.0659383776418816,0.1288054153848336,0.2119114843605152,0.1642296107151546,0.2096559223875888,0.2109792023830419,0.6332476512944797,0.4703329953586141,0.1565321898598487,0.4470184615947279,0.5757439622094743,0.3579837556860255,0.1705608920832811,0.1937561679562636,0.3887265018593702,0.3892090519365426,0.2408532093994382,0.3249347065659889,0.0288513069232222,0.1889893014554604,0.5736962849602776,0.4652902927567896,0.6141840912131612,0.6532418826891345,0.2406004596536663,0.0161664872630047,0.2184370393098175,0.4193002295984708
bio_metrics_NMI_kmeans,0.537140677684158,0.5082997211358522,0.1914252520671493,0.3897870129215392,0.1587043375363576,0.2198200131181338,0.2490862752984986,0.2351553688452529,0.0775067618933592,0.1573427556790389,0.2190874628145819,0.1728136657835568,0.2593523080318957,0.2659979457245361,0.4200858898580616,0.4633363024997236,0.153088006449089,0.3876222434533632,0.5167907164532102,0.3450058445431842,0.2950082333929532,0.3267454729757228,0.5490712484057125,0.4574491170521431,0.353057415132679,0.2848910381820017,0.04173708016488,0.2306376656455032,0.5712091937795414,0.4195703759873022,0.5315366974621213,0.5651820970427628,0.5175139669144401,0.029274189993783,0.1920518702856121,0.5384258457385329
bio_metrics_NMI_mclust,0.5719467306463522,0.5396245248257231,0.2170662039145206,0.4278190126209495,0.181044742613461,0.1708191377331707,0.2529216306813053,0.2906859960718243,0.065097681332366,0.1677055232888915,0.258333463382686,0.2251191126597722,0.2744283819281419,0.2589664739996475,0.5629352591134276,0.5973260733167336,0.2112404615549466,0.4421242055666159,0.6098079745767758,0.4742567770972734,0.2329553208592076,0.3233707647015001,0.5555148990508041,0.4333513513647038,0.3252672588796523,0.2755813812034133,0.041500491299051,0.2617130999852053,0.5703874995053149,0.4933907933058441,0.5963124952940165,0.5447477431527904,0.6767145083791015,0.0321822549261365,0.2496497307825413,0.5333793068426779
