,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,CELLama,Scanorama,scVI,Harmony,STACI,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.7490060329437256,3.080551862716675,1.000000238418579,1.013077735900879,1.000000238418579,2.423117160797119,1.9271451234817505,2.3283510208129883,2.727601766586304,1.0000001192092896,1.7508127689361572,2.307305335998535,2.028915882110596,1.4593806266784668,1.0686171054840088,1.0104961395263672,1.1890311241149902,1.0939764976501465,1.5957601070404053,1.7301298379898071,1.5386624336242676,1.531040906906128,1.6370110511779783,2.679049015045166,2.716537952423096,1.000000238418579,1.001930832862854,1.1391959190368652,1.7036380767822266,1.0142357349395752,1.3265905380249023,2.1670312881469727,2.182835578918457,1.0742262601852417
batch_metrics_ASW_batch,0.5429021120071411,0.8703783750534058,0.9490904808044434,0.7768246531486511,0.84712153673172,0.6175745129585266,0.93539959192276,0.8973780870437622,0.9019022583961488,0.9306923151016236,0.6267919540405273,0.7870648503303528,0.8408017754554749,0.8860966563224792,0.8493034243583679,0.8428320288658142,0.772639811038971,0.712078869342804,0.793031632900238,0.6441782712936401,0.8211957812309265,0.8800759315490723,0.8368800282478333,0.7917707562446594,0.7796331644058228,0.8497344851493835,0.731185793876648,0.7318248152732849,0.8550461530685425,0.7805876135826111,0.6195946335792542,0.8794947862625122,0.8312636613845825,0.8272208571434021,0.6447075605392456
batch_metrics_PCR_comparison,0.0,0.9653322532046704,0.9690963553627236,0.0,0.0,0.9897479864180068,0.4321345681118627,0.0,0.7182203711891962,0.9151683577252716,0.0,0.3736010375846992,0.3071172637186573,0.613439373966164,0.5199989344331007,0.998212667788276,0.0,0.0,0.9413106653653566,0.3294653894425638,0.4979596044100731,0.0,0.2432722654733042,0.9404753902836102,0.7105221914833693,0.0,0.0,0.0,0.999999667903484,0.6863709248443038,0.0,0.4941064461890811,0.9512818751628388,0.9381449492895012,0.0
batch_metrics_kBET,0.0011056311541003,0.1503934163886114,0.4586153196292267,0.0058636020957313,0.0095101024603383,0.007264127226677,0.3120652848078374,0.2400857724072364,0.218599289392426,0.4379393475973122,0.0011091112885689,0.154290064587434,0.3358523207372286,0.2307830630856127,0.146331865774789,0.0837020244009531,0.0840280623935887,0.1193369108555867,0.1381478689412464,0.0741829858392067,0.1840044050859868,0.2033853538916012,0.1526884020828013,0.0050312332778181,0.3675862763414043,0.0295255900574427,0.0087166596388207,0.02664603022857,0.106249069262811,0.2296921080965659,0.0799421528071801,0.1198442218530805,0.0175915533124007,0.2456595326665731,0.1223869244637258
batch_metrics_graph_connectivity,0.4338484322766504,0.6996494062272939,0.5807478384010574,0.6037876120532897,0.7120437832786305,0.1534388480108967,0.2575129065432089,0.6089033513775468,0.700819789647234,0.5059930132120556,0.4528297260814611,0.6284162182315263,0.7250106954039611,0.7534418648892339,0.760912200368984,0.7713283536123559,0.6958326579094497,0.4657701642608055,0.7715390608832688,0.4934899496098926,0.7605523511932699,0.7851606046958265,0.7154669585045801,0.0236295576567061,0.3649517721483177,0.3749186980138088,0.4694271456949028,0.7315759869034077,0.7275667378185842,0.7299886329452514,0.5407914998778074,0.7678290336765675,0.0274653026042558,0.6195729572797537,0.3129319920064456
bio_metrics_ARI_kmeans,0.2002650854017487,0.2266621832965805,0.221422193619701,0.3053592283488242,0.2500675127589368,0.0285209297871083,0.0859593173943115,0.2917558649201309,0.2608661848616817,0.2735314159764099,0.1791050125443647,0.2792816853240485,0.2578860201505922,0.2720958499928064,0.2472199653413807,0.3042626129317082,0.2857585033255797,0.2429893249616669,0.3508250949115863,0.1975022148166729,0.3213194465154357,0.3175065756693783,0.3123516391775265,0.0151421522191015,0.2461812320902424,0.1315481886254936,0.2242479589844677,0.3064072696085095,0.3027953226840991,0.3133039838636649,0.1482811567337399,0.2754896396566699,0.0106281579390568,0.2975220059259154,0.290422572308108
bio_metrics_ARI_mclust,0.2533531593716259,0.2369600668367557,0.2626093556716512,0.3223166241642486,0.1822682306048582,0.0210272050129431,0.08792244608593,0.3058267504399387,0.3019896957338773,0.2742105740730178,0.2338735794069837,0.2823212141489224,0.2364892313842232,0.2860832189701899,0.2657591787063993,0.3009575599780092,0.3066843794469943,0.2552380632457472,0.3542938588533594,0.1893510425085682,0.3191662940221302,0.3800954456232491,0.2939771687463275,0.0153371762829253,0.254552771294354,0.1347106216120734,0.2337370161540283,0.2904067744798897,0.3047587565182756,0.3141811915187538,0.2570394518690392,0.286704764460276,0.0113171585476715,0.3193161718424894,0.2883938060489288
bio_metrics_ARI_leiden,0.2118105287219418,0.2300170696363216,0.2541823482291884,0.228301752419683,0.248015792356861,0.0603893044956636,0.0741230845630089,0.3133608423580615,0.3003598312668821,0.31066926538463,0.202888695615912,0.2849237143842512,0.2629414089445487,0.2872276077704813,0.2493143865989214,0.3345952445864753,0.3061312279212423,0.2480866776895442,0.3400419496835614,0.2121792911344682,0.3082991537664234,0.356065890812094,0.345257742063256,0.0163064628364521,0.2407722146544759,0.1307094350273224,0.1938040624633306,0.280943275369175,0.3226831381171243,0.3383317750992832,0.181450632062265,0.3153282883431018,0.0116183845412507,0.328474298801736,0.2606490184140025
bio_metrics_NMI_kmeans,0.4561837293129681,0.4611968950540187,0.4434889642715495,0.5392144088449456,0.4869990229307057,0.1393910932996325,0.2286723762533205,0.5169910111288599,0.4854819310052843,0.5131837708541401,0.4293064696072201,0.4980333318721471,0.5117503185377109,0.5093819183694628,0.484213508716162,0.5484260822696061,0.5451641502710803,0.4798781277587914,0.5524900228615691,0.4404833633924232,0.5406446466294486,0.5291766172590261,0.530783028302133,0.0677104186239754,0.4332802371267532,0.3097987233149442,0.4847029063804042,0.5449030395241169,0.5362237119199352,0.5100681121238687,0.3927876552809139,0.5283721654702752,0.0557544137609231,0.5060652693765507,0.5206365550877443
bio_metrics_NMI_mclust,0.5126454322531551,0.4703072084942699,0.4638611395278492,0.541720071613138,0.48512142990604,0.1327877498625921,0.2445879321865742,0.5270168264822642,0.5210517269252508,0.5090596940224158,0.5005797771215502,0.4955824561326901,0.501600289916946,0.5150794434391224,0.508589142812634,0.5385288929403378,0.5614644756454482,0.4754384358893188,0.5686433618811636,0.4256302547712181,0.5412181648193691,0.5759966879220199,0.5092369862538693,0.0674270637602893,0.4430174415616607,0.316923622214563,0.4839129723145147,0.5348562927055913,0.527480970194478,0.5204359752089314,0.5108876071143366,0.5186917452658703,0.0600521387351493,0.5063794808888261,0.518764540346177
