,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STAGATE,SPIRAL,spCLUE,SpaVAE,scNiche,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_std,0.0059848856533807,0.0063229695257845,0.017131461904498,0.0033037417659969,0.0034164124482739,0.0387745708655618,0.0239680734835577,0.0071581279032473,0.0031618438421679,0.0249303237286882,0.0125960565335122,0.0039281709913483,0.0014302806746908,0.0151784674555988,0.0009982695542549,0.0072786126349075,0.0012749019620516
downstream_metrics_CHAOS_mclust_mean,0.0086552997430165,0.0088716316968202,0.0125477764134605,0.0089773877213398,0.0100718860824902,0.0116330500071247,0.0111195528879761,0.0090345299492279,0.0096585787832736,0.01020943125089,0.0118296224003036,0.0090258456766605,0.0084835321952899,0.0085638804982105,0.0083945306638876,0.0105232472221056,0.0089205640057722
downstream_metrics_CHAOS_mclust_std,6.17785600365536e-05,4.361373125031541e-05,3.1957650952108574e-05,3.793678265925071e-05,8.328944035795318e-05,1.3385125601918063e-05,5.724185313660039e-05,4.7031501647352494e-05,4.375136107843874e-05,9.104332669010469e-05,0.0001222710695202,7.616491974788572e-05,5.718619716824554e-05,6.171313405908887e-05,5.792192063023223e-05,3.96977478254629e-05,7.339862918260832e-05
downstream_metrics_PAS_mclust_mean,0.055007884350528,0.0903245432760243,0.5039821384038828,0.0996670055846504,0.1630318839230851,0.4160377496039745,0.2958606791268507,0.1085657440859336,0.177865331845621,0.1683436960193876,0.3102526121960417,0.0839994852199521,0.0352844244698955,0.0385124201578968,0.0178687376351634,0.2289812432161951,0.1149822984968532
downstream_metrics_PAS_mclust_std,0.0016315159068931,0.0048266029476097,0.0287276308836897,0.0049421214419176,0.0037572339748884,0.0171946312489947,0.0131673195110304,0.0113067827822803,0.0068730266316207,0.0198995772255357,0.0206030951836966,0.0056755666853215,0.0016026018517326,0.0015184794207656,0.0017806475083093,0.0082128046025124,0.0007110677227543
downstream_metrics_CHAOS_leiden_mean,0.0084724891930818,0.0085780682663122,0.012003888686498,0.0087932130942742,0.0104742866630355,0.0119182722022136,0.01094284063826,0.0088891284540295,0.0085685746744275,0.0102637888242801,0.0128127988427877,0.0087376634279886,0.0083305422837535,0.0091633976747592,0.0083774647985895,0.0104608951757351,0.0088182777787248
downstream_metrics_CHAOS_leiden_std,4.085632681868895e-05,3.378524683838169e-05,4.293676227940127e-05,6.117767783292725e-05,5.014476886484972e-05,2.125078009351268e-05,3.3228030864128006e-05,9.231467329284312e-06,3.414771669985133e-05,2.1210482336142345e-05,0.0001125825335781,0.000103182816639,7.96556892076531e-05,4.336435603812008e-05,6.059993733020195e-05,2.8821387916393808e-05,7.361535297567994e-05
downstream_metrics_PAS_leiden_mean,0.0270888780284147,0.0427157198479511,0.3821483844391584,0.0600778713232713,0.1982468871728282,0.4153020762618721,0.2433662524505188,0.0778044796885345,0.0402567528125233,0.2062582568368464,0.4740283143341975,0.0537353508507125,0.0081551134632758,0.0829637972549301,0.014553838536864,0.1802216936177807,0.0979554763237315
downstream_metrics_PAS_leiden_std,0.0017952769390034,0.0051217816837322,0.0275421812680352,0.0107569088017744,0.0085111740672071,0.0146326220721226,0.0132228977400725,0.006528413513328,0.0025558502883616,0.0146854728556258,0.0196148854185662,0.0080071729430859,0.0007863895501512,0.00391475325481,0.0004618238125122,0.0060942128487137,0.0013634069044669
downstream_metrics_average_confidence_score_mean,0.9519983530044556,0.9789445400238036,0.92545485496521,0.8699634671211243,0.8615118265151978,0.9219554662704468,0.92124605178833,0.930671215057373,0.9043726921081544,0.9870615005493164,0.9999499320983888,0.997140884399414,0.8505299091339111,0.8023824691772461,0.9962159991264344,0.93818998336792,0.9764941930770874
