,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.3949451767929721,0.4993859821533208,0.3738847894008176,0.4048643682559211,0.3975302017964077,0.268515060920098,0.3014028262680549,0.2814974304089457,0.0600717417431168,0.2672991890007971,0.2412408492344164,0.4051575907158703,0.4208007358638573,0.4817667884418355,0.3056966606895226,0.609905047990596,0.1034489170510851,0.5842404340406083,0.4868676381859247,0.5838018390706401,0.5384768710323978,0.6473032638779059,0.5579621954959898,0.5804649498507823,0.5506908296495612,0.641927756454809,0.6376774955322219,0.628308942123665,0.507845352963246,0.5231509788741231,0.3429525404900484,0.518212818708197,0.2795030697499284,0.4550140221989555,0.4878514771643673,0.5856236477617989,0.7018606422008994,0.4391887054099356,0.5486741530940171,0.5911269364447046,0.3922445406977933,0.4023131557252851
bio_metrics_cLISI,0.9698433876037598,0.977919101715088,0.8579988479614258,0.971092700958252,0.9015389680862428,0.8194926381111145,0.8702812194824219,0.8481367230415344,0.5931938290596008,0.764806866645813,0.8492944836616516,0.8985670208930969,0.8888687491416931,0.916065752506256,0.9762864708900452,0.9792207479476928,0.7076748013496399,0.938793122768402,0.9436905980110168,0.9739194512367249,0.9884757995605468,0.979102611541748,0.9851335883140564,0.968163788318634,0.9451950192451476,0.9796088337898254,0.9680100679397584,0.9716182351112366,0.9111735224723816,0.9537010192871094,0.8786139488220215,0.9085488319396972,0.8615664839744568,0.9887116551399232,0.9433998465538024,0.9910580515861512,0.9851718544960022,0.92391437292099,0.9746150970458984,0.9919605255126952,0.8883029222488403,0.8965821862220764
bio_metrics_isolated_labels,0.4887737929821014,0.554585337638855,0.5116685628890991,0.5566890835762024,0.5290787220001221,0.489736795425415,0.4999606609344482,0.4821794629096985,0.4630983471870422,0.4770162403583526,0.5065796375274658,0.5115376710891724,0.5180199146270752,0.5066925883293152,0.4832948744297027,0.5548844337463379,0.4128570258617401,0.5291168689727783,0.5461418628692627,0.5468018054962158,0.5578882694244385,0.5813086032867432,0.5541869401931763,0.57185298204422,0.534081757068634,0.6103372573852539,0.5818231105804443,0.5783984661102295,0.529143214225769,0.5284281969070435,0.4843422174453735,0.5264230370521545,0.489389032125473,0.5579675436019897,0.529558539390564,0.5675972700119019,0.5920060873031616,0.5186248421669006,0.5459314584732056,0.5647569894790649,0.4868407845497131,0.5375763773918152
bio_metrics_ASW_label,0.4949233829975128,0.5331014394760132,0.5096254944801331,0.558340311050415,0.5323537588119507,0.4901670515537262,0.5048885941505432,0.4773234128952026,0.4647175669670105,0.4983734786510467,0.5123324990272522,0.5186830759048462,0.5154753923416138,0.516352653503418,0.4915966093540191,0.5524072647094727,0.4139030277729034,0.5142346024513245,0.5458388924598694,0.5540747046470642,0.5570205450057983,0.5858141779899597,0.5600253343582153,0.5765674710273743,0.5445095896720886,0.6066612005233765,0.6237292289733887,0.5904130339622498,0.54881751537323,0.5407854318618774,0.4950222969055176,0.5421576499938965,0.4969589710235595,0.5597721338272095,0.5385767817497253,0.5725881457328796,0.6165186166763306,0.5318092107772827,0.5420538783073425,0.5462706685066223,0.4986350834369659,0.5209195017814636
spatial_metrics_moran_i_mean,0.9413744742077436,0.909581882191936,0.2683453367098252,0.7216307241661839,0.3402231961120466,0.1147833864711894,0.172499890724787,0.5497222243798549,0.0345861221261354,0.1209697342654789,0.1211495976152119,0.1242458704301529,0.4331402973215983,0.1284185623214917,0.922006899542264,0.8349411670348927,0.3948080842985462,0.9159556271283592,0.5398586520791133,0.8568575468893802,0.9311826837344556,0.5106624818903772,0.909675916049878,0.8644597314577909,0.6781448027428582,0.933986916432404,0.3773171291520655,0.6783659780571032,0.7320402838068334,0.7706665448543379,0.6029163848484731,0.491914241475066,0.772139187678156,0.5322478302199607,0.3665905440888838,0.6778292083001618,0.763054027985105,0.8316091364489703,0.7335818148131082,0.8293123997143421,0.3811477014268775,0.377590278805455
spatial_metrics_moran_i_std,0.0031620380098138,0.0025437866303778,0.011336193683435,0.0095209428643623,0.0210644432287847,0.005950990898626,0.0144616897793756,0.018125800225581,0.0040514242543079,0.0110800295072284,0.0123688186411225,0.0094512370207398,0.0203783186944482,0.0127162174004945,0.00314733184086,0.013977867860366,0.0008917350478798,0.003612907884041,0.013944977374999,0.0077095984010762,0.0018857088899807,0.0210325745929785,0.0035672420364134,0.0069174062442752,0.0125434493627754,0.0021973801331504,0.0166099078678888,0.017104543642682,0.0149671459950273,0.0110141045022589,0.0330604719939435,0.0267394605666237,0.005748839047899,0.0194030825720157,0.0077923336398499,0.0086597322320889,0.0265966906377586,0.0099183671282182,0.0103731073826447,0.0172727333893131,0.0505270272402388,0.0135228096411569
spatial_metrics_greay_c_mean,0.0578009990850079,0.0904298801900363,0.7314244391355871,0.2737239812282401,0.6565902422014147,0.8828990081887921,0.8245172883978515,0.4393093521054763,0.9636697689573974,0.8758912591364278,0.8770791350363457,0.8713629153234052,0.5666736261054359,0.8650650954657029,0.0900532191998302,0.1626204467692226,0.608260452562163,0.0836287140624523,0.4597404239187033,0.1418625211380292,0.0661075641820648,0.4903897541380821,0.0889099820086477,0.1357397662188487,0.320928233996805,0.0665917502199677,0.6211536566039015,0.3192140611227444,0.268882508640787,0.2282619243043717,0.3980677718900156,0.5048056256331375,0.2259246846986933,0.4631265543318854,0.6308288252769951,0.3173882307232714,0.2305601397639435,0.1669822556142261,0.2650173381762235,0.1701797214180155,0.5946509214632968,0.6201861480117232
spatial_metrics_greay_c_std,0.003149643796313,0.0024433519608516,0.0113272322820709,0.0093630880724027,0.0215137240587695,0.0060443593337386,0.0143804807972086,0.0148877269424027,0.003394587924605,0.0095556642405649,0.012338261471922,0.0094161445009677,0.0210099903406669,0.012744154768366,0.0028453435327581,0.0137718906289321,0.0029439241379722,0.0033892389233347,0.0139962054333479,0.0081784184305182,0.0021205282262827,0.0210544490733943,0.0036466977538443,0.0072290626244527,0.0125230169731886,0.0019932489924111,0.0168430984878966,0.0168303890345478,0.0148668274442916,0.0100438353111032,0.0329725231845114,0.0264536462228331,0.0054200256816748,0.0185121614148658,0.0072475425479671,0.0082751087923911,0.0248396778466149,0.0105525702023154,0.0102010103559969,0.0169523922611225,0.0462430910927362,0.013199480549909
downstream_metrics_CHAOS_kmeans_mean,0.0619580131024122,0.0609236285090446,0.0732162818312645,0.0614829463884234,0.070046067237854,0.0754294246435165,0.0708400029689073,0.063513278029859,0.0780380349606275,0.0723227262496948,0.0748445726931095,0.0694116819649934,0.0716755203902721,0.06794273853302,0.0633843308314681,0.0619333116337657,0.0654817745089531,0.0611903592944145,0.0664312541484832,0.0624346220865845,0.0614673607051372,0.0608925288543105,0.061520998366177,0.0612535877153277,0.0672351084649562,0.0627161236479878,0.060839551500976,0.0623981961980462,0.0635172389447689,0.0642881095409393,0.0729774050414562,0.0681208465248346,0.0639924257993698,0.0608413107693195,0.0658380351960659,0.0607863776385784,0.0616083964705467,0.063050209544599,0.061108823865652,0.0605667727068066,0.0626678243279457,0.0623072544112801
downstream_metrics_CHAOS_kmeans_std,0.0007716204702659,0.001176538853993,0.0019407529719352,0.0010314368457885,0.0019334194992637,0.0009451421396836,0.0011135036920177,0.0015366623152049,0.0020308977403587,0.0011483296247796,0.0020456656842126,0.0015177439643557,0.00217278741888,0.0018420520909816,0.0009446049890952,0.0006998847276014,0.0008217166764516,0.0012405429353468,0.0010589117998191,0.0015045432147924,0.0013136464365044,0.0010507978829156,0.0011338041238815,0.0008552403379063,0.0015417809864255,0.0010871693572077,0.0009055278478685,0.001152491650041,0.0014725972805423,0.0008513292269984,0.0009530554933234,0.0018887953648568,0.0010075663367675,0.0008202499836879,0.0012659962636749,0.0010857680046971,0.0011727911558251,0.0010762857114663,0.0007409658290884,0.0009783871629842,0.0013727987331823,0.0011937572704644
