,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.4136765055236388,0.4466478174581938,0.2302288486298273,0.678404384395607,0.3564149556695548,0.3100732013832271,0.0511509810558773,0.1848336166713617,0.0259547233732126,0.2881085364257433,0.2545309339197057,0.2555637525163609,0.2654603613169177,0.1287692239601277,0.2596187192549407,0.3919575063582414,0.5088561787256876,0.2794058894619489,0.5658619077808635,0.5490394705580876,0.5981058821324114,0.5666623514373825,0.4162361997544424,0.068095708693886,0.5649393649625798,0.5728642118042514,0.3583863168426324,0.330671056791766,0.2944187164451385,0.1943494054456224,0.2217537097781129,0.5347772467492923,0.3685022157677394,0.3357757661902112,0.7528091827951218,0.3679604135189966,0.3766421860121197,0.6763111232317716,0.4667158495204903,0.3282409228949572,0.2932604767866579
bio_metrics_cLISI,0.9861159920692444,0.9881125092506408,0.7375382781028748,0.992161989212036,0.9401236176490784,0.7673857808113098,0.6388139128684998,0.8530290722846985,0.5766027569770813,0.7558895945549011,0.8137428164482117,0.7726191878318787,0.8016459345817566,0.9906924366950988,0.7875798344612122,0.9330558776855468,0.9970892071723938,0.830655574798584,0.9505137801170348,0.9885733723640442,0.9922577738761902,0.9588654041290284,0.9480217099189758,0.4927825927734375,0.9988243579864502,0.9911844730377196,0.9397528171539308,0.8588390350341797,0.8567071557044983,0.7186010479927063,0.9052457809448242,0.9836971163749696,0.9894497394561768,0.8583447933197021,0.9907536506652832,0.9967792630195618,0.9169185161590576,0.9756098389625548,0.8860318064689636,0.9398412704467772,0.978814661502838
bio_metrics_isolated_labels,0.5971088409423828,0.6383579969406128,0.5229041576385498,0.6360805034637451,0.5820311307907104,0.5113862752914429,0.5029526948928833,0.5416382551193237,0.4831370115280151,0.5166655778884888,0.526466965675354,0.532366931438446,0.5116962194442749,0.5779552459716797,0.5334413051605225,0.5656312704086304,0.7083082795143127,0.5262072086334229,0.5742150545120239,0.6047165989875793,0.6606159210205078,0.5726298689842224,0.5766180753707886,0.4429974555969238,0.7102428078651428,0.7032702565193176,0.5781775712966919,0.5778555870056152,0.5128725171089172,0.4886770248413086,0.5856629610061646,0.5687070488929749,0.5739933252334595,0.5414971113204956,0.5684083700180054,0.6593625545501709,0.5577460527420044,0.5723950266838074,0.5463225245475769,0.540939211845398,0.6676942110061646
bio_metrics_ASW_label,0.5556138753890991,0.5838390588760376,0.5000500679016113,0.6273068189620972,0.575263500213623,0.5066481232643127,0.4991594552993774,0.5206262469291687,0.4847407639026642,0.5119251608848572,0.5092892050743103,0.5126524567604065,0.5127434134483337,0.5503106713294983,0.5122542381286621,0.5160287618637085,0.663142204284668,0.5388578772544861,0.5395013689994812,0.5781951546669006,0.6377289295196533,0.5459403991699219,0.547737181186676,0.4714449644088745,0.6635779142379761,0.673023521900177,0.5800702571868896,0.5072181820869446,0.5268564820289612,0.5345214009284973,0.5543742179870605,0.5680332183837891,0.5682705044746399,0.5242359042167664,0.5682289004325867,0.6503544449806213,0.5354980826377869,0.5535479784011841,0.5923792719841003,0.5472542643547058,0.6224433183670044
spatial_metrics_moran_i_mean,0.7396338823615553,0.7491483610896151,0.1290935630790924,0.541342218214116,0.1864578822551933,0.0701851206460611,0.0364451207301499,0.4806085257127221,0.0238486348231548,0.0629097527555073,0.0591994976201251,0.1907760183852683,0.0564187160991,0.8751606282411948,0.1834289867571089,0.3584295537326714,0.7119055917210408,0.2343212088744357,0.5024239878745063,0.8051527992639563,0.3891100580906156,0.4833564694165247,0.407798893782594,0.1137370067585057,0.7749308494746833,0.2278518865594484,0.4039866423951675,0.4810202166355846,0.2206631055925501,0.4657607208709451,0.2012129573389936,0.6066869966885237,0.3327605572917886,0.1927431751012735,0.5288484444260161,0.5441902261849142,0.4155848420926301,0.5242877525674294,0.2222867980450273,0.2214488806151525,0.1772356625339872
spatial_metrics_moran_i_std,0.0133803542141811,0.0177348515118702,0.0069851755718616,0.00874591096292,0.0078796293768851,0.0002700669871979,0.0041050634096858,0.0059715429770744,0.0037388235251535,0.0023448804805694,0.001375207730957,0.0057413088069046,0.0026011996379887,0.0052941573801979,0.0063377676837299,0.0047781021994831,0.0186143078732823,0.0193907268700583,0.0127386825250561,0.0162990602005857,0.0172951049455716,0.0107668115245804,0.0269368513363959,0.0582455518347534,0.0063826984347537,0.0070904740657088,0.0085013227367813,0.071723261161866,0.0157121583969242,0.0433818573010393,0.0219460436873793,0.0164739720928844,0.0069486355628591,0.0047278774022719,0.0039782195209594,0.0114099185424161,0.0238112637325491,0.0054590847491122,0.02389411756511,0.0105845465465881,0.00806106187311
spatial_metrics_greay_c_mean,0.2474133052321656,0.2495397684588557,0.8700957097481611,0.4578586802199436,0.809829099196894,0.9271672164820672,0.957007994356154,0.5157618624452677,0.9735954943232268,0.93492209205357,0.9416094257208208,0.8078695312512664,0.9391539395713804,0.158245320605831,0.8154851968834569,0.6404409226010749,0.285890993617014,0.7546201973088721,0.4954970187157467,0.1839015976520172,0.6062323169762309,0.5154976064188751,0.5921906860387742,0.7660632877145256,0.2257854677402481,0.7666012450297539,0.5919400432615823,0.507102791187839,0.7841580322610476,0.5296359813464792,0.7949023850761435,0.3863836531093147,0.6604728888754833,0.8056782741171354,0.4560378588284628,0.4471126182175728,0.5776448410147306,0.4751419065031561,0.7758666097060934,0.7628017916352885,0.8203309550659789
spatial_metrics_greay_c_std,0.0120956936170286,0.0172794028836651,0.0066451789925164,0.0041865948507562,0.0036738531296186,0.0003979220687625,0.0013690314745062,0.0042286115245247,0.0050132194931049,0.001939187096357,0.0003362333466816,0.0042790490599894,0.0028661504724976,0.0032860651060712,0.0060937038727171,0.0059585513957232,0.0177212756325465,0.0191199248054858,0.011648342415394,0.0126338065894861,0.0163482535395355,0.0095489788687172,0.0270743884592409,0.0459594139522608,0.0062390042666551,0.0037859572591464,0.0055387765763072,0.0648884979715038,0.0160923293414289,0.0439785489316562,0.0199156927159029,0.0151693965868307,0.007129921447962,0.0040383901534315,0.001737584986204,0.0130543407730534,0.0238775242286379,0.0045007974266029,0.0229775676787711,0.0114312138410137,0.0066026027634668
downstream_metrics_CHAOS_kmeans_mean,0.0769092266758283,0.077058953543504,0.1020313650369644,0.0807728320360183,0.0933103859424591,0.0941566278537114,0.1083167617519696,0.0826853985587755,0.1126227676868438,0.1016211931904157,0.0978912884990374,0.0988958328962326,0.1000398198763529,0.079361210266749,0.0966541195909182,0.0866233557462692,0.0763059481978416,0.0955769916375478,0.0820838411649068,0.0737926214933395,0.0764467343688011,0.0811414321263631,0.0888823146621386,0.0704969440897305,0.0828138540188471,0.0730304221312205,0.088396872083346,0.0942801311612129,0.0973105331261952,0.0958439235885938,0.0955640549461046,0.0726604238152504,0.0739477624495824,0.0905820106466611,0.0746491700410842,0.0742234612504641,0.0864649241169293,0.0779482871294021,0.0749565561612447,0.0935629258553187,0.0784091353416442
downstream_metrics_CHAOS_kmeans_std,0.0019247309304903,0.001867533880962,0.0035544298090752,0.0025801552242626,0.0024589078571778,0.0021113657924137,0.0024696951259775,0.0025245878192962,0.0020443519909088,0.003949498469974,0.0017682431535152,0.002722891175979,0.0025286893838617,0.0015869093324364,0.0027395503338231,0.0024861212364046,0.0020173604659338,0.0015706412191731,0.0029259579348945,0.001990663949437,0.0039830586687996,0.0030112840120165,0.0030764122863733,0.0018278651874934,0.0017150961119386,0.0018847608632542,0.0018399898675657,0.0016544182667972,0.0032472583246301,0.0050884533872498,0.0014159254937062,0.002339428176133,0.0020242930641289,0.0024193546371094,0.0030249919249411,0.0022994817796773,0.0026381367255343,0.0012547825723447,0.0004147382010892,0.0016338905128293,0.0027707671348834
