,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.599374311745396,0.5792338851362427,0.1423279078054866,0.5802468455500448,0.1357480183205609,0.1558399951056157,0.1527169975295708,0.3837202577979956,0.1515277599612891,0.0639818959616979,0.1476236355854459,0.1944801240681189,0.1412372749807835,0.1370679882616302,0.614928183865444,0.169851451683707,0.4105224059727321,0.5480799298906133,0.3787298795978954,0.2279330318319956,0.2734374422759286,0.4871650031040799,0.4396861929053925,0.2580419990404406,0.0073838236883703,0.1645724423041201,0.5034390274357825,0.3832000632491081,0.0067379019481509,0.2035725861744312,0.3487460192717309
bio_metrics_cLISI,0.9974983930587769,0.9980728030204772,0.9082669019699096,0.9917067289352416,0.9070792198181152,0.8683754205703735,0.8946478962898254,0.9657983779907228,0.8835862874984741,0.8576152920722961,0.8916934728622437,0.933997929096222,0.9500170946121216,0.9242466688156128,0.9966623187065125,0.9063557386398317,0.9876861572265624,0.9956362843513488,0.9882271885871888,0.954685389995575,0.8620908856391907,0.9966623187065125,0.9895106554031372,0.989323616027832,0.7086763978004456,0.8844335675239563,0.9980745315551758,0.9977704882621764,0.7236431837081909,0.9878381490707396,0.9211904406547546
bio_metrics_isolated_labels,0.5571476817131042,0.5561516880989075,0.513665497303009,0.4971063137054443,0.4790322780609131,0.4870173633098602,0.5036545991897583,0.518208384513855,0.5081279873847961,0.4714061915874481,0.505558431148529,0.5131170153617859,0.5282366275787354,0.5077472925186157,0.5989657044410706,0.5199587941169739,0.5412618517875671,0.5597845911979675,0.5383941531181335,0.5270092487335205,0.4876095950603485,0.5719204545021057,0.5918378233909607,0.5449792742729187,0.4767780303955078,0.5150097012519836,0.6168429255485535,0.5498530864715576,0.4074821472167969,0.5241603255271912,0.5870645642280579
bio_metrics_ASW_label,0.5511537790298462,0.5104698538780212,0.4951459765434265,0.5387759208679199,0.5118263959884644,0.4813388288021087,0.4838927984237671,0.5265437960624695,0.488997220993042,0.4337512850761413,0.4877215623855591,0.4835234880447387,0.5248928070068359,0.5102803111076355,0.6346502304077148,0.5101253390312195,0.5229638814926147,0.5645074248313904,0.5247670412063599,0.525765597820282,0.4493165612220764,0.619862973690033,0.5380730032920837,0.5564006567001343,0.4543241858482361,0.4408301413059234,0.5536704659461975,0.5626894235610962,0.3454647660255432,0.5332372784614563,0.5163045525550842
spatial_metrics_moran_i_mean,0.8195497943908467,0.7748175069844232,0.1335808746501052,0.5121342749586492,0.1012752499943192,0.1059394216407117,0.109385861130194,0.6000512336200807,0.0683742303698047,0.0612396859923854,0.0960845530329948,0.104250804315291,0.293199524928294,0.1050377415497162,0.4896418320451515,0.1968956317596267,0.5924293694281546,0.841880285638605,0.5980331759327818,0.3078612038034748,0.2602777989268628,0.8339921967346684,0.293967872967409,0.4707969268107305,0.5222562254208691,0.1823743189928072,0.3760636793061579,0.6648483055280339,0.4622804869329202,0.365403278224563,0.5579264401364609
spatial_metrics_moran_i_std,0.0042658523268033,0.001950166085435,0.0079634385032505,0.0117222462258366,0.0039927069865742,4.567644816032279e-05,0.0079715447785385,0.0070107201942063,0.0033266175411156,0.0032630153097551,0.0055921804780023,0.0093113275518197,0.0203899652059759,0.0071588364920623,0.0123853705003679,0.017166121663061,0.0073584257950178,0.0003295348035752,0.008718576043595,0.0073593060320159,0.0069890889943549,0.0047114530611179,0.0050228787734374,0.0246058937562967,0.0005617957369744,0.0032287221698792,0.0206698444220445,0.0123657930469152,0.0009812039735953,0.0059811275821415,0.0083467459660323
spatial_metrics_greay_c_mean,0.1795824790087664,0.2255193869779128,0.8663132299899755,0.4946151865706484,0.900456747021832,0.8951590484332039,0.8944504988934506,0.4112206228653275,0.932033977137092,0.94069000496787,0.9049283870611842,0.8970599884656789,0.709884022949509,0.8951892636984815,0.5141246028359089,0.8046386328557646,0.4077031197229575,0.1573332348932446,0.4022402323277455,0.6943539372216161,0.6990126610085182,0.1692885223671336,0.7064189866309998,0.5350970423776249,0.4777314743238063,0.8225089186791916,0.6186865580593333,0.3398333103874447,0.5368428510689656,0.6391706959047769,0.4428650744952868
spatial_metrics_greay_c_std,0.0038474144411871,0.0020289036957725,0.0079767583127942,0.011993678310182,0.0044248987469923,1.213061775967583e-05,0.0083205218314723,0.0067145476652819,0.0035514242679806,0.0026715252463347,0.0056076618012082,0.0095059184268702,0.020061485683834,0.0071254617347955,0.0121109292318307,0.016867611538514,0.0069340524575395,0.0005150924850793,0.0084521167520443,0.0076284497212966,0.0293116751193859,0.0047463015676589,0.004437606070337,0.0242336719523915,0.0005773264654176,0.0041550100418756,0.0203398670417649,0.0123193819728793,0.0006280277377558,0.0068856384281882,0.0082758485924208
downstream_metrics_CHAOS_kmeans_mean,0.0079875136725604,0.0077309412881731,0.0114377737045288,0.0075462623499333,0.0109930471517145,0.012330955825746,0.0111926244571805,0.0078261985909193,0.0107041108421981,0.0111511284485459,0.0112240789458155,0.0109172374941408,0.0108785172924399,0.0110091334208846,0.0072159543633461,0.0101167326793074,0.0084928451105952,0.0075806740205734,0.0085174213163554,0.00936084613204,0.0086008999496698,0.0081760315224528,0.0093761249445378,0.0087273125536739,0.0082345642149448,0.0110052782110869,0.0070454222150146,0.0088903452269732,0.0072863635141402,0.0100858714431524,0.0074516809545457
downstream_metrics_CHAOS_kmeans_std,9.770086035132408e-05,0.0001415107399225,8.695665746927261e-05,6.686383858323097e-05,0.000111652072519,6.063748151063919e-05,7.27195292711258e-05,9.610806591808796e-05,8.853664621710777e-05,6.143935024738312e-05,9.080115705728532e-05,6.855791434645653e-05,6.224680691957474e-05,8.381996303796768e-05,0.0001295236870646,0.0001652128994464,9.719841182231904e-05,0.0002011621836572,7.943296805024147e-05,0.0001586908474564,0.0001080837100744,2.54148617386818e-05,0.0002024522982537,8.424511179327965e-05,3.326963633298874e-05,5.67273236811161e-05,0.0001240097917616,4.030531272292137e-05,0.0001392520498484,8.164625614881516e-05,0.0001401319168508
