,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_NMI_leiden,0.6297399633670724,0.6359947241333189,0.2744450778273731,0.6036589927630156,0.1710500629241084,0.3753578161540373,0.3016186203269335,0.4382526396349941,0.1688213907701208,0.2293123707142643,0.30168192219976,0.3214227655656524,0.353095336361566,0.3120006010191228,0.5918276835011912,0.3603715353054348,0.6497936062615981,0.5263964737641595,0.325477804908314,0.1200767591641,0.5858221064526831,0.3621494320931671,0.5708159492389561,0.3449448355363719,0.3659198788226718,0.4391917406939422,0.7160269666862388,0.3544976864636391,0.624586714567493
bio_metrics_cLISI,0.9977700114250184,0.9959331154823304,0.9167525768280028,0.9741961359977722,0.8718790411949158,0.9237749576568604,0.906073272228241,0.9596688151359558,0.8793179988861084,0.8877937197685242,0.925155758857727,0.9391806125640868,0.940362274646759,0.926787495613098,0.9953982830047609,0.938610315322876,0.9954436421394348,0.9863036274909972,0.9455164670944214,0.6936184763908386,0.994873344898224,0.9801669716835022,0.9906909465789796,0.916978120803833,0.9890342354774476,0.9976564049720764,0.9999998807907104,0.9729268550872804,0.993775486946106
bio_metrics_isolated_labels,0.5754591226577759,0.5419965386390686,0.498382955789566,0.5079447627067566,0.4777998030185699,0.4937143921852112,0.483701080083847,0.5035034418106079,0.4811055064201355,0.4422287046909332,0.4938295483589172,0.4868472516536712,0.5035504102706909,0.4899271428585052,0.5800669193267822,0.4992243349552154,0.5568591356277466,0.5234487056732178,0.5112088918685913,0.418511152267456,0.5587576031684875,0.5276749134063721,0.5321980714797974,0.4613622725009918,0.5521376729011536,0.5518402457237244,0.6247045397758484,0.5042157769203186,0.5639969706535339
bio_metrics_ASW_label,0.5685451030731201,0.5121641755104065,0.492777407169342,0.5102507472038269,0.478811651468277,0.4838166236877441,0.4748510718345642,0.4798021912574768,0.4773317277431488,0.4230791926383972,0.4834904670715332,0.4725986123085022,0.4968008399009704,0.4895763099193573,0.5730781555175781,0.4974845051765442,0.5577124357223511,0.5109153389930725,0.5066916346549988,0.3730115890502929,0.5598007440567017,0.5301623344421387,0.5593724846839905,0.4595726728439331,0.5460978746414185,0.5530714392662048,0.6028995513916016,0.5067371726036072,0.5638574957847595
spatial_metrics_moran_i_mean,0.8723585323491084,0.7919377301326842,0.1621849388976448,0.4525662342243451,0.0565039206894409,0.1331601084603896,0.0838341128326259,0.5835455632058244,0.0615132605151389,0.0670894340027948,0.1141871463230131,0.1046524010134741,0.3332638617777199,0.0959556792707148,0.4859920075823127,0.2832595887784733,0.8515536008863633,0.6879550066065278,0.3394732172599358,0.2149304762832348,0.3794243213411438,0.5012547698964994,0.4529630528151807,0.280394158504103,0.3735166458241787,0.7104226917687988,0.8647686477086975,0.2874574227809863,0.7298435614539746
spatial_metrics_moran_i_std,0.0121051266289041,0.0157076555636263,0.0087286828727304,0.0203336554152853,0.0072943326794033,0.0227818702989114,0.0178559651579686,0.0182725309273734,0.0093341293071796,0.0130077788627799,0.0186283490081718,0.0201815445472048,0.0238292277846213,0.0114540560897601,0.0433641136804595,0.0011389532467003,0.0200336879240166,0.0378593176686895,0.0037473332747247,0.0506998936659419,0.0217135404367487,0.0024162230980229,0.0374209216284685,0.0239970284708097,0.017243893897934,0.0088437628189583,0.0173587525768791,0.0094699127373427,0.0314145231863618
spatial_metrics_greay_c_mean,0.1224853019499704,0.2078508459783667,0.837760462191863,0.550743114561843,0.9448409704109932,0.8669367097677896,0.91664759183359,0.4205738837996978,0.9389596123234102,0.9349077229858932,0.8862508569756812,0.8960997241142998,0.6669540831287822,0.9047936575483224,0.5108069620714417,0.7163484750801756,0.1432445644414876,0.3094246557485254,0.661338954344532,0.6613136649999216,0.621585954704448,0.4983826971432069,0.5293516749905711,0.7204061003408484,0.6282922419051972,0.2903642473118958,0.1350141243806315,0.7141944290013006,0.2699600706845441
spatial_metrics_greay_c_std,0.0117319582972299,0.0152197635469199,0.0087231400234603,0.0211698058235064,0.0077261500095421,0.0231623451631737,0.0183639341983394,0.0187570912275906,0.0096487482643977,0.0137293762371309,0.0188430250558253,0.0207471240371795,0.0245448828389645,0.012143087319271,0.0428315286431917,0.0013719379074043,0.0207842078296913,0.0380457189271444,0.0034349460828919,0.0366080692524993,0.0220303787816224,0.0025990912452819,0.0375113916860556,0.0240491960938903,0.0145429213361473,0.0093367644900291,0.0173854362230486,0.0107819436199948,0.0330645130330822
downstream_metrics_CHAOS_kmeans_mean,0.0053873502183705,0.0056378724984824,0.0103045711293816,0.005978611530736,0.0110423159785568,0.0090306578204035,0.0110453255474567,0.0067291304003447,0.0128175164572894,0.0110842082649469,0.0102937640622258,0.0097783245146274,0.00977926957421,0.0096177221275866,0.0052273026667535,0.00925341877155,0.0056511256843805,0.006199681898579,0.0086172472219914,0.0074407793581485,0.0061569672543555,0.0082559587899595,0.0053364764899015,0.0097921870183199,0.0050631742924451,0.007180904271081,0.0046624039532616,0.0091795469634234,0.0049411938525736
downstream_metrics_CHAOS_kmeans_std,0.0009401214774698,0.0009930119849741,0.0019549904391169,0.000979422358796,0.0021311012096703,0.0011125737801194,0.0018293559551239,0.0011747966054826,0.0019743726588785,0.0018734373152256,0.0016353875398635,0.00198186468333,0.0020277446601539,0.0017880680970847,0.0009343409910798,0.0020064546260982,0.0008998028934001,0.0010213681962341,0.0015212234575301,0.0022156909108161,0.0009070413652807,0.0016284089069813,0.0007110242731869,0.0019830737728625,0.0007981439121067,0.0014235747512429,0.0007894727168604,0.0018165842629969,0.0008142227306962
downstream_metrics_PAS_kmeans_mean,0.0995064953620573,0.1524922670513259,0.6968978227834446,0.1778561991497873,0.7170102734275963,0.5829855709915738,0.7553174379468361,0.3136997321661836,0.9349598791352756,0.7918112303997471,0.6683172477346049,0.5739586210490533,0.5721230380997988,0.5387885738828939,0.0901233990283749,0.593218773945964,0.110749735336541,0.2606338075264648,0.3965272394336187,0.3635103859449514,0.1687465970427279,0.4614609285799034,0.0322843430294807,0.5450228553315667,0.0786173797863359,0.2973977397565275,0.0150989996405706,0.4655232868517772,0.0431946576679794
downstream_metrics_PAS_kmeans_std,0.004781194817749,0.0024354866934138,0.0225680502635069,0.0031684911183036,0.0207623701875503,0.1058935084940211,0.0609328195500002,0.0063026220906069,0.0229106955976634,0.0256301291961333,0.0523678409914478,0.023468641354518,0.0333513715802732,0.0248837447136522,0.0096323468296045,0.0389619833865338,0.0206060222927223,0.028362984798658,0.0850771865691475,0.041960107848368,0.0617645709629222,0.0166945112246932,0.0231407474622645,0.002241792559902,0.0375593071857955,0.0126931934120078,0.001804564115646,0.0218871372387581,0.011906722515064
downstream_metrics_CHAOS_mclust_mean,0.0048185056075453,0.0055816478561609,0.0097549338825047,0.0060703346971422,0.0101171750575304,0.0090476404875516,0.0105014173313975,0.0061133080162107,0.0120606864802539,0.0104714510962367,0.0092861433513462,0.0098901588935405,0.009303294122219,0.0097690166439861,0.005300915101543,0.0092385574243962,0.0052051846869289,0.0059573478065431,0.0087564750574529,0.0067686799447983,0.0066515626385807,0.0085909983608871,0.005449914606288,0.0097918722312897,0.0054352597799152,0.0071119975764304,0.0046565927332267,0.0091614334378391,0.0049005670007318
downstream_metrics_CHAOS_mclust_std,0.0006432589143514,0.0009757883381098,0.0018288851715624,0.0010816489811986,0.0021260753273963,0.0017063049599528,0.0017670597881078,0.0010294150561094,0.0018684049136936,0.0018340721726417,0.00155157642439,0.0020810530986636,0.00180677883327,0.0020113692153245,0.0008786537218838,0.0018996079452335,0.0009301658719778,0.0010592131875455,0.0020657149143517,0.0027876871172338,0.0010041100904345,0.0017616234254091,0.0007141230162233,0.0019809652585536,0.0011628640349954,0.0012486407067626,0.0007842710474506,0.0017811830621212,0.0007894441951066
downstream_metrics_PAS_mclust_mean,0.0362080053196228,0.1371072822417594,0.6749204399178694,0.2177176142224702,0.5271111318899756,0.5046567272723577,0.7001236729825722,0.2258802278979482,0.8638621029508948,0.6983960280792254,0.5313616012095388,0.5380601307325839,0.5452902469815495,0.5000331852416895,0.1169329728942863,0.5196884359697207,0.0720760105251374,0.1925965550289081,0.4210019031052894,0.1495879370138863,0.2064433383016038,0.5130867075336542,0.032368346757475,0.5449053787289901,0.1528196434117996,0.2736896705232856,0.0145359595779078,0.4860941529952108,0.0398202561424612
downstream_metrics_PAS_mclust_std,0.0211122618885228,0.0001837073028229,6.095962005592259e-05,0.0039297769667236,0.0066438119170495,0.0102628012548773,0.0455636228592217,0.0044955703422447,0.0296607480540785,0.0110060160136594,0.0532709875900845,0.007657847103497,0.0125278209199267,0.0425716626261101,0.0261822974038214,0.0705727536766746,0.0003173857845649,0.0352366458774807,0.0034117398128118,0.1485285214581346,0.050865157622589,0.0194108646390306,0.02774760038946,0.0023592691624786,0.0150544216702381,0.040968520818935,0.0012611034867459,0.0265452631491051,0.0124677871758637
downstream_metrics_CHAOS_leiden_mean,0.0048193091060966,0.005165844457224,0.009855112992227,0.0057506787125021,0.010165577288717,0.0085265766829252,0.0097471652552485,0.0063107837922871,0.0115673574618995,0.0097989197820425,0.0090126919094473,0.0092453584074974,0.0092949362006038,0.0088666137307882,0.0050015666056424,0.0094825669657439,0.0054030432365834,0.0056825205683708,0.0083698071539402,0.008234187727794,0.0063990172930061,0.0082139910664409,0.005150171695277,0.0097984517924487,0.0063647006172686,0.0073650847189128,0.0047109494917094,0.0084215491078794,0.0046833879314363
downstream_metrics_CHAOS_leiden_std,0.0007436287123709,0.0008758578915148,0.0019701076671481,0.0010829099919646,0.0019796644337475,0.001646720804274,0.0017712395638227,0.0011306535452604,0.0018121427856385,0.0017505818977952,0.0014080766122788,0.0019049532711505,0.0019224074203521,0.0016599539667367,0.0009495422709733,0.0018582402262836,0.0008991574868559,0.0009772651828825,0.0015487633645534,0.000695337774232,0.0009107231162488,0.0016793750692158,0.000538908643648,0.0019897152669727,0.0017301242332905,0.0012439438141882,0.0008024456910789,0.0016902866773307,0.0007719849236309
downstream_metrics_PAS_leiden_mean,0.018089388379387,0.078413757420423,0.5396921362585649,0.1343028412539647,0.5491232948847554,0.4695846059115402,0.5857059565673386,0.2341466816572725,0.7819525509970555,0.5944301390102229,0.4615347428896184,0.4998933838438819,0.528255457747427,0.4532334648651126,0.0424055417814624,0.5747677602067076,0.0795479916962642,0.1401914397646184,0.3949548328604728,0.6730171292751413,0.2071070143260091,0.4402477205101879,0.043602685093158,0.5444584833534486,0.0667296200689729,0.2718409923260132,0.0182479423816278,0.4369777351409646,0.0162711384233446
downstream_metrics_PAS_leiden_std,0.0082017743291853,0.0036203204466203,0.0414254578206142,0.0175552470101226,0.0189152374408897,0.0205277800382581,0.0298262526083771,0.0125346043199369,0.0345272465368604,0.0485780451930898,0.0589620052931896,0.0363873069185412,0.0225140139994501,0.0188833062716991,0.0087289157094884,0.0110880568430633,0.0196545038159337,0.0263957707353668,0.0328136259841756,0.2787264921603667,0.0774520039489092,0.0009635446085549,0.0337346504767192,0.0023235418959555,0.0365127341621426,0.045365681991988,0.0011746761404874,0.0030387446565693,0.0067946924821613
