,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.5269509553909302,1.8718724250793457,1.2961664199829102,1.5365653038024902,1.810936450958252,1.6192376613616943,1.7117109298706057,1.871069073677063,1.7884085178375244,1.81724750995636,1.706502914428711,1.818996548652649,1.7941468954086304,1.0118452310562134,1.1769150495529177,1.8272522687911987,1.49557626247406,1.418283224105835,1.439069151878357,1.60819411277771,1.861892580986023,1.0227351188659668,1.0420763492584229,1.86009418964386,1.58617103099823,1.699678897857666,1.682161808013916,1.2799118757247925,1.1571426391601562,1.913169860839844,1.5485458374023438,1.2373367547988892,1.5667084455490112,1.870475172996521
batch_metrics_ASW_batch,0.8271568417549133,0.9072551727294922,0.9834057688713074,0.9360795617103576,0.9479500651359558,0.9457847476005554,0.9562097191810608,0.9268082976341248,0.9460687041282654,0.928708553314209,0.9699788093566896,0.976595938205719,0.9692403674125672,0.9232358336448668,0.9293832182884216,0.9182369709014891,0.9392268657684326,0.9316091537475586,0.949202299118042,0.9039470553398132,0.9243762493133544,0.7678014636039734,0.8824634552001953,0.6306325793266296,0.9315989017486572,0.8918454647064209,0.9162390232086182,0.9557263255119324,0.9628764986991882,0.9213201999664308,0.908607006072998,0.954571008682251,0.8938367962837219,0.8884299397468567,0.927155077457428
batch_metrics_PCR_comparison,0.0,0.4233909854011638,0.9194239178974496,0.1260216068650783,0.800640117207513,0.6698773432349878,0.0,0.6465549904939527,0.5745834303717205,0.0,0.0,0.0,0.2671079072468182,0.9314365790594242,0.0,0.9212080510085648,0.0,0.0,0.0,0.9935907867477216,0.0,0.0,0.4117487904334022,0.0,0.4479101347683249,0.9499090555138984,0.0,0.0,0.0,0.9999990480425062,0.7022538250906303,0.0,0.0,0.9082597656302808,0.9173995399501582
batch_metrics_kBET,0.0007354395148551,0.3114548326209359,0.8149412246871534,0.1348283720248184,0.5685372040270634,0.6203264030348308,0.3630449460853193,0.4035369046211511,0.8032142532596293,0.5324835336103999,0.6251711208034803,0.47017941385138,0.5560056410765802,0.6271539009233073,0.0253862874579129,0.1848247279705105,0.6150090052554724,0.3614098017918084,0.341988134655832,0.3009290480766928,0.4553143342145991,0.6776606921831227,0.0719319348958312,0.0491049535300885,0.5481200145233778,0.3252533133980036,0.3782520872771318,0.5698344442192068,0.213441657644794,0.1146856734346628,0.1455304916494642,0.3625695050765851,0.2636477133913483,0.3483020641184399,0.2850956061592319
batch_metrics_graph_connectivity,0.9862875734366836,0.9340249439729476,0.5625180080434623,0.9925082112912458,0.358921098847603,0.6400638364955143,0.7896105526847431,0.8998430751456673,0.5748309140395021,0.2987574444627262,0.6051755079656173,0.557970491075411,0.7051321529320367,0.4787366174892179,0.9945651350835134,0.9760413189324462,0.7286248362546519,0.9785006604480976,0.9883463153761778,0.9644160983271508,0.6351242794542827,0.4684397497969556,0.9019261922293508,0.906916134556208,0.6969095325837448,0.6946525735210264,0.7736646786289302,0.5352354058847886,0.9361479415758308,0.9688586388314012,0.981428649894786,0.9143126627136088,0.9816627002123912,0.5716559240803567,0.8048109912265877
bio_metrics_ARI_kmeans,0.4394837646293577,0.388095132440891,0.0897413866549784,0.2732468315321886,0.1001819906028916,0.011041023601328,0.0974545942408448,0.1819029938360365,0.0027405992573083,0.0412180493429881,0.0863887614552699,0.1624132928339923,0.1011112068380563,0.1344581421235384,0.3240198010773621,0.5606425995451509,0.2166586561978462,0.2869783743766762,0.1966407680621083,0.2643995664450966,0.2152400924647844,0.2122082397556492,0.447199515383896,0.4219237247027769,0.1939022511206601,0.165088973824195,0.3664549148584911,0.0593230947125887,0.3342540460339609,0.4051955320233981,0.1023221142335197,0.3694901413096982,0.7047902551935044,0.1720859026373794,0.0469219837913856
bio_metrics_ARI_mclust,0.5551007217658406,0.4096882814743227,0.0543234783534351,0.2521803254559752,-0.0059902695203812,0.0091254021125306,0.0987481631563617,0.2034980576023603,0.0028948339721568,0.0412009547948679,0.0223709553964551,0.1132915731239177,0.1102790442520373,0.130564164289369,0.5074799495369028,0.4012494986093026,0.2072081577567813,0.4166293089515181,0.3067464701924272,0.3220851109734931,0.2134505152600405,0.2428338001007719,0.4386096087411765,0.3087921750480423,0.1535830452430327,0.2291680879672486,0.4065237536740609,0.1021761003578799,0.4111714862647406,0.466628315953758,0.1172958063229346,0.5270540108258372,0.7035464087592109,0.0307498672871325,0.0525068448245255
bio_metrics_ARI_leiden,0.3759773320369742,0.4478653013410836,-0.0003462975464823,0.3187816740138717,0.0016166974796548,0.0059024481578646,0.134418163421437,0.1387312886206267,0.0001455390849988,0.0365248009358357,0.0254842643755238,0.1729519678676484,0.0813638056581024,0.000601750500943,0.6430839277319014,0.6139374646692316,0.2303687107242434,0.3630402232397971,0.233404960630163,0.4249211488143766,0.2016642979702053,0.1553688407295193,0.5523089760217089,0.4952725173139294,0.1691636645865856,0.2567204549043304,0.3992670059826891,0.0136563038908744,0.4889484892076581,0.5882765457489284,0.0966211780624509,0.4860925045315212,0.7079074266574431,0.0298534577274043,0.0449053554224209
bio_metrics_NMI_kmeans,0.4577990568750154,0.4229098296993996,0.1171528853096526,0.33681833874739,0.1359584802917759,0.010475899179415,0.1371737280072798,0.2081944645988263,0.0081838846746655,0.0346663391397663,0.0910920591732476,0.1826605021508104,0.1223965093896626,0.1334599295893195,0.3446816903186809,0.5402873290043659,0.2008347031460795,0.281147127019511,0.2525976659914647,0.2579367558763458,0.2237464471061854,0.2497779108370495,0.5080752214689024,0.4409003839666607,0.2265877100033104,0.1654793350001347,0.3736138589266515,0.0988948880691326,0.3509063061004301,0.4432366887979066,0.1394825393818277,0.3662002330147493,0.6990739761872266,0.169276154381655,0.0745332936855804
bio_metrics_NMI_mclust,0.5514834381977968,0.4675830232694179,0.1085886846349323,0.3300809887826815,0.0356709096059416,0.0110733170804436,0.1474052084291861,0.219318617052848,0.0088471502878302,0.0346448002075159,0.0298325448697615,0.1498940197481155,0.1369063729423689,0.1290791561232585,0.5303754642850168,0.5258868681348772,0.1897860775927464,0.3766550563686108,0.3613408748290178,0.2931185424488167,0.220853031156132,0.2424702538519313,0.499561646370572,0.3809823781269666,0.212095170804818,0.228725391674006,0.3966638288490303,0.1058057566267025,0.3983655028221647,0.4836294619780394,0.165012824657296,0.558235267343766,0.7151613067885068,0.0415521526119859,0.0714637456982992
