,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,STAMP,STAligner,STAIR,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche,STAGATE
batch_metrics_iLISI,1.0,1.4000942707061768,1.893860101699829,1.2116392850875854,1.599907398223877,1.7184611558914185,1.0177825689315796,1.387149691581726,1.1441866159439087,1.753753900527954,1.554080367088318,1.781384825706482,1.7316842079162598,1.0000001192092896,1.7865134477615356,1.669464111328125,1.3112430572509766,1.6871755123138428,1.0,1.0022441148757937,1.000000238418579,1.7998878955841064,1.6889493465423584,1.6883796453475952,1.7371975183486938,1.0230894088745115,1.750521540641785,1.1630878448486328,1.763217568397522,1.503780722618103,1.0061776638031006,1.6342183351516724,1.81831443309784,1.0923932790756226
batch_metrics_ASW_batch,0.7556767463684082,0.8720991611480713,0.9778382778167723,0.9536583423614502,0.9673905968666076,0.952865481376648,0.8851228952407837,0.87153160572052,0.7889804840087891,0.9718809127807616,0.9357787370681764,0.9751091003417968,0.9773440361022948,0.8309515714645386,0.9489330649375916,0.9183868169784546,0.9379303455352784,0.9356004595756532,0.6726319789886475,0.8189530372619629,0.371934026479721,0.947677195072174,0.9186739325523376,0.8504726886749268,0.9504073858261108,0.8903117775917053,0.9393295049667358,0.9395147562026978,0.7885794639587402,0.9572802782058716,0.7496134042739868,0.7600181102752686,0.90823495388031,0.7917615175247192
batch_metrics_PCR_comparison,0.0,0.530257594408847,0.9902190063662234,0.3975082683758764,0.7968547843305506,0.6497782499779465,0.0,0.8638500558687592,0.0,0.275212448308032,0.0,0.3891596981082143,0.9326858774419192,0.0,0.1428289674170188,0.0,0.0,0.0,0.0,0.4656713707359974,0.0,0.6136028733650368,0.9894813941755232,0.0,0.2685959933545581,0.0,0.6801867727371148,0.9999993131137128,0.0,0.0,0.0,0.7759020991884328,0.9081559318417785,0.0
batch_metrics_kBET,0.001710012898614,0.2448979792328661,0.6843634228974933,0.0731352860680443,0.6003408759351885,0.7024652702905001,0.0391882832601887,0.1865644926456256,0.2223267201139869,0.6771851673521005,0.2362240984822204,0.6549036282712186,0.770411244351188,0.0085575773857507,0.6276126940618623,0.4625874766579402,0.2669077974353563,0.4416248776197412,0.0056809236101445,0.0598840810202976,0.004248284723654,0.7068195529134805,0.480898182574605,0.4146103444084678,0.7133103183704412,0.0729156579687215,0.354676842533544,0.0820387620808136,0.3097853570780374,0.329000769843106,0.102789535821412,0.5956604972052505,0.3916349199169792,0.1402398420643849
batch_metrics_graph_connectivity,0.7920507905855122,0.964473448676623,0.6568584544387357,0.9869445717778456,0.4701362397767807,0.6002520090889991,0.774648898954177,0.9603738873013872,0.7248873939377003,0.5977912582015434,0.6990817438874577,0.7962844399941128,0.2915533385525804,0.906190583870474,0.8540460792413656,0.9587430262364702,0.9877584974212368,0.651428820596845,0.874965173032713,0.9534268005971344,0.7253391439057952,0.8393883425248481,0.748321552976182,0.9103787411741574,0.6281968110883891,0.9894831540757852,0.7377290567510377,0.954790020397712,0.707716962248963,0.8944676035055417,0.9761831339427388,0.5400356840517289,0.7752394436024512,0.9516528159981535
bio_metrics_ARI_kmeans,0.1630808992363241,0.3604269406189017,0.1330784188519034,0.5518555212891276,0.1791844322133512,0.0480802590277636,0.1740410578762908,0.2315087136852687,0.1535760723505267,0.1042529309273144,0.244140667437524,0.1557763002959308,0.1879297732042285,0.4575641374394705,0.3469930439972969,0.5068965908914935,0.352101824101518,0.2748569166280102,0.3169436304519042,0.4814602944643357,0.2639955922470182,0.2782719821445254,0.2217010386116119,0.5628023197382014,0.0898517058787058,0.6344892767056087,0.2210238317125647,0.6454940272044505,0.0786480626566931,0.4922070839063139,0.637089911802189,0.1803044262242892,0.1667337394318309,0.4068129921998883
bio_metrics_ARI_mclust,0.1829894324378543,0.3920825700869041,0.1036318921459047,0.6000221727390349,0.1064558163582199,0.0290096331768455,0.1026702850206957,0.2393343370859217,0.1441362835469446,0.0733614861971904,0.2931434903585646,0.2056597933402222,0.2831336593077262,0.4904628687009475,0.2514397681959502,0.6301535011525671,0.6708815645769732,0.2352936255879908,0.271527588199571,0.3974130372774956,0.2923137540604406,0.402751069744904,0.0591801366069065,0.5348077195997971,0.0762610684794398,0.6578482356409394,0.2029884584448621,0.6038434220731699,0.1281542125416669,0.5918965046021373,0.6669493983025347,0.1728802198155622,0.146417188066954,0.6123659567633238
bio_metrics_ARI_leiden,0.2485482818147981,0.416124481104871,0.1065408747725956,0.5098575735510426,0.081639906570194,0.0690629121834253,0.1695954589983141,0.281534338691034,0.159483672278684,0.0908357046878998,0.2945722975258991,0.1806139067381336,0.135202425362219,0.2634059924436371,0.304310585033836,0.5898198600282667,0.5470098310480929,0.298247916826974,0.2915631513167429,0.4816880212229347,0.3176747223489236,0.2664817281640887,0.255891815629792,0.5406555664549654,0.0823550430360326,0.5225256068222484,0.2466856616123947,0.5382562449709162,0.1014778310093154,0.5966088293475712,0.6356872136306507,0.1889453590561245,0.1828527740794382,0.5555986022251658
bio_metrics_NMI_kmeans,0.2900572549918944,0.5236654561630929,0.2248144763422966,0.6037864101059884,0.2338623216469702,0.0932637440856226,0.2927985123230489,0.37427612104165,0.264801565609089,0.1855125056592088,0.4107084526243659,0.250079551343299,0.3157098465334276,0.5882766144287734,0.4552038848674652,0.6001209855533242,0.5188789274168939,0.4299755980858142,0.4455952537175088,0.6370267481121097,0.4601321205318806,0.388472698332272,0.3351359304000171,0.6797053528090139,0.1623049814085326,0.730810209974411,0.3082757854159348,0.6975757652287828,0.1741929637447473,0.636729583296667,0.7197457217960423,0.3156650703387328,0.2726495737731741,0.5569489225530623
bio_metrics_NMI_mclust,0.3385525763775811,0.5420597212827217,0.1846485487180289,0.6457613176755581,0.2292116550719798,0.0852624455573979,0.2754122933001884,0.387372432787704,0.2584121663119561,0.1324889517326912,0.4684221783275398,0.3029275313614567,0.3883133597981963,0.659321334333758,0.4167415035446063,0.6801311947436228,0.7087802662473738,0.3957755246038628,0.4349861521472839,0.5991670876535523,0.4814360301744227,0.5487795113589176,0.2063670707810866,0.6720911175750397,0.1364343058010791,0.7378363269371349,0.3089177038769237,0.6991691211873927,0.2552972519493544,0.7064093069487235,0.7288521592874727,0.3085618143919673,0.2597969795105368,0.6831532572894737
