,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAIG,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.814031362533569,2.07912015914917,3.1719870567321777,1.0905559062957764,1.6036114692687988,3.136599063873291,2.959840774536133,2.618420124053955,3.257366418838501,3.1500704288482666,3.1138391494750977,3.069709300994873,3.150854110717773,3.255812883377075,1.0772827863693235,2.4669315814971924,3.177677631378174,2.725451707839966,3.0910983085632324,2.247189998626709,1.5437355041503906,2.5400331020355225,1.8251705169677728,2.925919532775879,2.9636340141296387,2.023141622543335,2.915593147277832,2.990025281906128,3.0317800045013428,3.018218278884888,3.0035316944122314,3.156826496124268,3.2159390449523926,1.4030516147613523,3.268191337585449,1.3188529014587402,3.113357782363892,3.200819492340088,2.4489240646362305,2.5442302227020264,2.8991594314575195,3.2286529541015625
batch_metrics_ASW_batch,0.8191046118736267,0.8869292140007019,0.9767642617225648,0.8636252284049988,0.9081234335899352,0.9379398226737976,0.8941492438316345,0.8678328394889832,0.9219598770141602,0.9137889742851256,0.9729373455047609,0.9536318182945251,0.9640713334083556,0.9674482345581056,0.8499534726142883,0.9351142048835754,0.7963529229164124,0.7515556216239929,0.9398147463798524,0.9128055572509766,0.8720776438713074,0.8522914052009583,0.8914861679077148,0.8246471881866455,0.9165415167808532,0.8240585923194885,0.7883457541465759,0.8858148455619812,0.8682047724723816,0.9211781620979308,0.8814511299133301,0.8704375624656677,0.922103226184845,0.9249345660209656,0.9201726913452148,0.9327545762062072,0.8423963189125061,0.8483364582061768,0.9469725489616394,0.8510444164276123,0.8479259610176086,0.8330755233764648
batch_metrics_PCR_comparison,0.7046702768396241,0.2876749138559856,0.9632419007818248,0.0,0.0,0.6533148398762856,0.0,0.6390413128681021,0.586970296701227,0.1715964691853762,0.5452951341715135,0.053127732713616,0.1872873557042802,0.9200061096815552,0.0,0.0482537863657802,0.737770049172514,0.0,0.0,0.0,0.0,0.6747250753397721,0.9986362525618788,0.0,0.0,0.0798501762809009,0.0,0.0,0.4045586856052115,0.0,0.0,0.5094995492605187,0.9099324749539022,0.0,0.5506211778708567,0.9999911503119616,0.0,0.1925438544339744,0.0,0.0,0.9545583397153228,0.6550926271251405
batch_metrics_kBET,0.2316474391248487,0.1906596989188965,0.5013141193148974,0.1405654275353855,0.0672290864137095,0.441758121528687,0.3366997851888695,0.1896218680745978,0.5287898063824704,0.6184244341851236,0.4067455860798623,0.518807127916565,0.5836162168356607,0.5803607294929944,0.1528900193939496,0.3016723082783121,0.3030626566608035,0.272322723903855,0.4724898928012478,0.2582170063851891,0.1807704416270632,0.1909348338035728,0.1545617127880703,0.2499504562914369,0.3178283355488219,0.205722945249166,0.1135343762076134,0.4030492360129662,0.2840786535837173,0.4081254552640838,0.3579052633522548,0.406064071367185,0.3954192059259118,0.11253066178231,0.4153962361581791,0.1276791629412438,0.3670742857371611,0.380085866735596,0.2197265297124832,0.1908728287628378,0.3021079593302431,0.2889085636694142
batch_metrics_graph_connectivity,0.871756233615455,0.86790983243826,0.7040919750755421,0.898305538742457,0.7730520062850906,0.612713450706276,0.7314916718260106,0.7682924631542628,0.4557956620043555,0.5630763601730119,0.594334201911152,0.5921683304931759,0.7662918025188638,0.3854678101690924,0.8845185548161051,0.8970040440048398,0.4643860183867743,0.8288510563105213,0.7688503009004353,0.9684398367142512,0.8798385169144511,0.8508039369296115,0.8843454670727556,0.7766522129081838,0.7595285648216218,0.8294738368365526,0.6828025400284118,0.7639523684193309,0.7353619944097037,0.7487694266508588,0.6170182457716965,0.6463250347589887,0.6487469911698257,0.903064224981689,0.7450495211743212,0.8843655165115735,0.768830239886364,0.7897466981056053,0.8448596837682943,0.8505583739182104,0.5613228369784122,0.6072788827746652
bio_metrics_ARI_kmeans,0.1669357347026955,0.3285410943534089,0.1759548020320239,0.3587327076241275,0.2676947538314731,0.1034462832122993,0.1134128733050043,0.165035069910857,0.044472689858582,0.0574151517609252,0.1163637350894843,0.1880251381999547,0.2662551507229218,0.2311157166682855,0.1900418583195691,0.2922071917107519,0.1378030936933469,0.4512405741115836,0.3050730266486409,0.2522313694482875,0.2362503138420837,0.323141528464971,0.2367746283359457,0.4466678876759485,0.3149779207922679,0.3539482459468404,0.2509450996744577,0.4089960762580301,0.1436391767671568,0.2812733199508539,0.3148166367763682,0.4862880069799208,0.0140335264668658,0.3571784675546075,0.3048604618696073,0.4023902280076795,0.3486439429073804,0.4077279214933811,0.3903522760890041,0.3155521286279034,0.0916616404619839,0.3099606206566664
bio_metrics_ARI_mclust,0.3605624621029661,0.3664137355665841,0.1762178426673409,0.5533923166264424,0.364425067560838,0.1600631819019396,0.1224620098160537,0.1339790777560646,0.0970918389703771,0.0984207504771165,0.0624359296731044,0.3567360982578954,0.3164899146656836,0.372129648298802,0.3158728995507652,0.3804772730540949,0.2627244538253755,0.3382594479247622,0.292872263255886,0.3590592600221689,0.4057856788938824,0.365360292913966,0.3110492291273075,0.4864592379776941,0.4654187919827358,0.3915164534372386,0.227961322151136,0.3988067943287388,0.4856402855155189,0.4677356124375106,0.2600676341366045,0.5236296204093225,0.0229098334510871,0.4918677902002307,0.4561686066192782,0.3807411736081235,0.3824026626121969,0.5356027564474178,0.3909598285497642,0.5331647198595464,0.0912875059849635,0.3044733619570402
bio_metrics_ARI_leiden,0.2957044389335707,0.3550358957763441,0.1916262745709952,0.3738946713110697,0.2827065785949904,0.1453843676121206,0.1223098633494148,0.1502733907235464,0.0652324713758248,0.0597314437743453,0.0956551007944164,0.258170910480403,0.3750640619913537,0.3664216263368096,0.2188861896172524,0.3866748928452759,0.1061544952961116,0.4793769963009152,0.3072179926081151,0.3497170999707708,0.3509601424185697,0.3628152770274148,0.3963931596944915,0.4236630533299742,0.2253859618358276,0.4088048195077675,0.2570848122441989,0.3791555980503974,0.2462191929805277,0.3871035772965237,0.1762692101667238,0.3160457110131264,0.0171917889583347,0.4652223393827089,0.2572296796597869,0.3962601316334049,0.3914429570761562,0.3175639753088562,0.4428758729374302,0.3427963266972273,-0.0195052914032239,0.3476222508037758
bio_metrics_NMI_kmeans,0.249930369092777,0.4795743703056207,0.2833095050356807,0.5204247738426001,0.3941282866005835,0.1499430420688383,0.1784344638451865,0.1869706909911922,0.150784444445977,0.0839698940048263,0.1979968988386235,0.2771904795028382,0.3786834411719363,0.3509548809043866,0.2425487625576856,0.4451414325571101,0.2111941253831013,0.5630043274603225,0.4297294663641045,0.411859364529793,0.3872832939595722,0.4768143973931098,0.4025709296249715,0.5797239313602468,0.4611427679260128,0.5184164581745286,0.3451030164840766,0.5720155340566776,0.1717084534174819,0.4430325730036468,0.4575738761429015,0.4654000058549439,0.0461575515658407,0.5188868676820327,0.4044863525470435,0.5990910960096486,0.4308008967632658,0.4868639450238306,0.5740632488410778,0.5227007811648284,0.1437791285140553,0.3571999354407932
bio_metrics_NMI_mclust,0.4670276650372219,0.5249350746522786,0.2703822264666612,0.5730508270108451,0.3753162646190691,0.1304564262542639,0.1867069341861819,0.1956413147250462,0.1513985808507579,0.1017474030335297,0.2040295410211083,0.4589462590103387,0.4478424264038603,0.4599041368292969,0.4274752256871199,0.575308964439623,0.3101915610720793,0.5348720288250612,0.4220724924353307,0.5464743236517005,0.5673538341363142,0.5197400733924438,0.5056428708873623,0.5846648983403372,0.5587098307029313,0.5709606424910887,0.3186880272401946,0.5765709089333744,0.4455162371878085,0.5881056586879416,0.4272087461663273,0.4792255202611403,0.0604279338762705,0.5903921087663053,0.5232326294859201,0.5746375821204939,0.4855293366871215,0.5259871161241885,0.5941591575733497,0.6237987705521614,0.1378206354151994,0.4077469881367271
