,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.000000238418579,1.3133976459503174,1.8514790534973145,1.1818927526474,1.5511436462402344,1.8207194805145264,1.6506612300872805,1.4659006595611572,1.853036642074585,1.80853009223938,1.7945297956466677,1.8074746131896973,1.82987117767334,1.2488749027252195,1.819271445274353,1.139922022819519,1.263768434524536,1.374783992767334,1.3816587924957275,1.9519168138504028,1.3341799974441528,1.609230875968933,1.703578233718872,1.7793920040130615,1.818490028381348,1.8501673936843872,1.2623445987701416,1.827826738357544,1.116297483444214,1.8926012516021729,1.55910325050354,1.5649394989013672,1.7721295356750488,1.8815374374389648
batch_metrics_ASW_batch,0.8481444716453552,0.9326858520507812,0.9833233952522278,0.9535180330276488,0.9786524176597596,0.9688333868980408,0.8196596503257751,0.916902244091034,0.9439472556114196,0.9817072749137878,0.977433741092682,0.9587115049362184,0.9791648387908936,0.9104224443435668,0.9495964050292968,0.921025276184082,0.9208937883377076,0.9406425952911376,0.9436439871788024,0.9339094161987304,0.9103615283966064,0.8694549798965454,0.9504845142364502,0.9443759918212892,0.9121554493904114,0.9479817152023317,0.9214274883270264,0.9425498247146606,0.914281964302063,0.9386743903160096,0.9428566694259644,0.8622442483901978,0.9531668424606324,0.879250705242157
batch_metrics_PCR_comparison,0.0,0.9020809406431056,0.969122244956052,0.3331935867599013,0.7446543709878259,0.6565787705039247,0.0,0.8488416265715739,0.5593741451672369,0.6765292909042315,0.7809626457577518,0.5606203917571625,0.9384710521508854,0.9872101959150468,0.8124017538391318,0.0,0.652563819471887,0.987543568420618,0.0,0.9902740902742108,0.978641933290338,0.0332161504178035,0.8995264422844969,0.8652895766671805,0.5345754107080647,0.8654132363959993,0.4303431493660296,0.862387254641258,0.9999964214579244,0.8354345809880481,0.3506994397346127,0.6065816989548011,0.8718039913775635,0.8969240906743593
batch_metrics_kBET,0.017782949095892,0.2502479080075273,0.5887532139692319,0.150650031181229,0.5866235617310247,0.5877326321317963,0.4236873422163183,0.3452692798225293,0.6160423105527602,0.547522322149097,0.6257296537501263,0.5976269166878231,0.6940694564259525,0.2492728619863691,0.5590244805849647,0.1440329237201884,0.2651631616511078,0.3550219076021056,0.2756531199454364,0.0,0.2820501048505746,0.2833063491695887,0.5201614452552052,0.5649751301702728,0.5779723887712591,0.6754288931484118,0.1914525809958762,0.4180981786264019,0.1947375904090074,0.2316166687375499,0.4125142007302141,0.3869214843800669,0.5935011998488775,0.3844297875420375
batch_metrics_graph_connectivity,0.9600551731371916,0.9602839081689624,0.7335962037926795,0.9740884196785567,0.5578752807374765,0.6180296525879931,0.6653514200402069,0.971521415792266,0.329094600599171,0.6456781619516647,0.717472794085691,0.7971015022033101,0.6530255203290708,0.9553332413096488,0.7458328314229444,0.9575263308098642,0.9633004428061042,0.954990574601958,0.7514546715020206,0.005224141307464,0.9214883494920152,0.8029691932143644,0.8612003208572151,0.7996345441886418,0.8330991362457726,0.5269968597257025,0.8844341733367607,0.8861236157361968,0.9619600672513492,0.8876314760713352,0.9467319604828804,0.9417941823441476,0.852783822107625,0.8054603126552596
bio_metrics_ARI_kmeans,0.484392000242978,0.3213272713650014,0.111944854592099,0.3895150155024272,0.1855190192595369,0.1419644436659784,0.0545928317169278,0.406614608121551,0.0654409911670306,0.1003824714828314,0.1894679548448292,0.242924702281783,0.1689045713653267,0.5093301460012933,0.1512047418941716,0.4198248000011216,0.5091500537983388,0.4633310653620162,0.2821811076615645,0.0233298988468654,0.3631458436595539,0.3584070531418272,0.2142170905863678,0.3441279152720096,0.439784806046325,0.1982820649672778,0.4732137773296893,0.3628246306779558,0.4235121846790017,0.3466338610664399,0.540104164209337,0.4607375290532061,0.2524166251468761,0.4765432406751602
bio_metrics_ARI_mclust,0.4892070534669412,0.3662467621711361,0.1799435311766128,0.3560733895677882,0.1585740085015148,0.1675095291173846,0.0303207340959928,0.4245041954326085,0.0325352690409757,0.1202170101652958,0.2175464997133938,0.2412335264008686,0.1981757142180675,0.5246919764186408,0.1539593170137081,0.4755632548962228,0.554731011785612,0.4578242621238453,0.2426548169182825,0.0212696821121428,0.4020222946895506,0.3612059677682874,0.2160584683458856,0.4484131965002561,0.428203064295332,0.1982503034287502,0.5191722968922702,0.4440257537880409,0.5440967257993025,0.3403343147212488,0.4815896566138879,0.3345333210791436,0.3591274173668394,0.4187431623236259
bio_metrics_ARI_leiden,0.595339757147936,0.5578630689384477,0.2823299086348471,0.6276679860117832,0.2149546100279968,0.1956003533301183,0.2187205909303385,0.5515885915085731,0.0656176711421916,0.1405633767207746,0.2921012227615939,0.2911110467580345,0.2246195971451489,0.5259437900449987,0.2364625668512601,0.6677979957197343,0.664158804136799,0.8118485639589011,0.3062872627313961,0.0128749104842318,0.4325033084720103,0.3614667201087762,0.3570206221536873,0.5723521524676956,0.4450214619977728,0.1998194908256459,0.6071492718711199,0.5222155072089277,0.6832362528314696,0.4155539306820252,0.6494540759828608,0.5383460822497009,0.3348986399303393,0.458528435735048
bio_metrics_NMI_kmeans,0.6462310641757694,0.5101917830127903,0.1912609274366233,0.6019647720994232,0.3460675515060197,0.2156627248399692,0.1748263049399128,0.5786812705238545,0.1105027170113619,0.1948524809682517,0.3247289286303496,0.4004427437454078,0.3505053001457344,0.6963690961679951,0.345607246232011,0.5932336262095257,0.6328917467071475,0.5997906534054678,0.4674970517749042,0.0551882983411163,0.5784147081927061,0.5527256605723343,0.4198794560577734,0.5291776178009423,0.6297017679628376,0.3456383837003242,0.630192931549077,0.4604011493847363,0.6269156269848507,0.5012109830187326,0.6941714940977768,0.6801003694106214,0.4531918656472518,0.5519795443641347
bio_metrics_NMI_mclust,0.6674449574637004,0.5739900823112128,0.2814404189792083,0.5786962071403354,0.2967839126045309,0.2727754766306239,0.1541125536943915,0.6225810905078836,0.1059102821343037,0.2052091832808056,0.358417005317064,0.3961461393103431,0.3415727079113773,0.6827509912527916,0.387173906255949,0.6617050264137839,0.6865657053505894,0.6455421957993601,0.3883420866137928,0.055433581654922,0.6012013700431826,0.5651378244087619,0.3769960417974728,0.635266395369559,0.627549366989135,0.3365050015053774,0.6473696980987828,0.5338800251533615,0.6716261348326744,0.5062835953526893,0.661842030837769,0.6113880676652712,0.4355979419652178,0.543980936548431
